	0	1	2	3	4	5	6	7	8	9
53000		[1.9679415420646906, 1.9679415420646906, 1923.8714534129044, 0.40666666626930237, 0.0]								
54000		[1.9679366506784892, 1.9679366506784892, 1923.8161625666742, 0.40666666626930237, 0.0]								
55000		[1.9679365023499824, 1.9679365023499824, 1923.8470455263487, 0.40666666626930237, 0.0]								
56000		[1.9679363852560912, 1.9679363852560912, 1923.8502616533815, 0.40666666626930237, 0.0]								
57000		[1.9679359404766206, 1.9679359404766206, 1923.846066022777, 0.40666666626930237, 0.0]								
58000		[1.9679351564484526, 1.9679351564484526, 1923.8929249791504, 0.40666666626930237, 0.0]								
59000		[1.9679350331361918, 1.9679350331361918, 1923.8995543136207, 0.40666666626930237, 0.0]								
60000		[1.9679349762015004, 1.9679349762015004, 1923.8982500935178, 0.40666666626930237, 0.0]								
61000		[1.9679347601280932, 1.9679347601280932, 1923.8834187897817, 0.40666666626930237, 0.0]								
62000		[1.9679346572110707, 1.9679346572110707, 1923.885677074099, 0.40666666626930237, 0.0]								
63000		[1.9679346459282152, 1.9679346459282152, 1923.887576486508, 0.40666666626930237, 0.0]								
64000		[1.9679346280765275, 1.9679346280765275, 1923.89214292253, 0.40666666626930237, 0.0]								
65000		[1.9679287915615256, 1.9679287915615256, 1923.9379875062482, 0.40666666626930237, 0.0]								
66000		[1.9679273687904677, 1.9679273687904677, 1923.953054351055, 0.40666666626930237, 0.0]								
67000		[1.9679272894770072, 1.9679272894770072, 1923.9584003161533, 0.40666666626930237, 0.0]								
68000		[1.9679272826691057, 1.9679272826691057, 1923.9562865808075, 0.40666666626930237, 0.0]								
69000		[1.967927277586459, 1.967927277586459, 1923.9546253054264, 0.40666666626930237, 0.0]								
70000		[1.9679272722306596, 1.9679272722306596, 1923.9533845805017, 0.40666666626930237, 0.0]								
71000		[1.9679272540740016, 1.9679272540740016, 1923.9510715688036, 0.40666666626930237, 0.0]								
72000		[1.9679257977906535, 1.9679257977906535, 1923.9071935734885, 0.40666666626930237, 0.0]								
73000		[1.9679257415944025, 1.9679257415944025, 1923.915115516012, 0.40666666626930237, 0.0]								
74000		[1.9679256092677724, 1.9679256092677724, 1923.9386630609451, 0.40666666626930237, 0.0]								
75000		[1.9679255666865147, 1.9679255666865147, 1923.9405834409058, 0.40666666626930237, 0.0]								
76000		[1.9679255272521667, 1.9679255272521667, 1923.9405640034288, 0.40666666626930237, 0.0]								
77000		[1.9679254290821517, 1.9679254290821517, 1923.9368432346719, 0.40666666626930237, 0.0]								
78000		[1.967923052263034, 1.967923052263034, 1923.9015475130159, 0.40666666626930237, 0.0]								
79000		[1.9679230443233509, 1.9679230443233509, 1923.9035601522112, 0.40666666626930237, 0.0]								
80000		[1.9679194079750333, 1.9679194079750333, 1923.8823316758135, 0.40666666626930237, 0.0]								
81000		[1.9679192182275032, 1.9679192182275032, 1923.8559015184253, 0.40666666626930237, 0.0]								
82000		[1.967919172515876, 1.967919172515876, 1923.850539428303, 0.40666666626930237, 0.0]								
83000		[1.9679191549118822, 1.9679191549118822, 1923.8461211346453, 0.40666666626930237, 0.0]								
84000		[1.9679191518103307, 1.9679191518103307, 1923.8442932207063, 0.40666666626930237, 0.0]								
85000		[1.967918949993857, 1.967918949993857, 1923.8478171060508, 0.40666666626930237, 0.0]								
86000		[1.9679184962760594, 1.9679184962760594, 1923.871880917573, 0.40666666626930237, 0.0]								
87000		[1.9679184959736369, 1.9679184959736369, 1923.8727640431393, 0.40666666626930237, 0.0]								
88000		[1.967918495929773, 1.967918495929773, 1923.8729071746875, 0.40666666626930237, 0.0]								
89000		[1.9679184958939768, 1.9679184958939768, 1923.8728966807398, 0.40666666626930237, 0.0]								
90000		[1.9679184957854834, 1.9679184957854834, 1923.8728512567695, 0.40666666626930237, 0.0]								
