Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
BRCA_TCGA-AQ-A04H	1.63E+00	5.54E-01	9.94E-01	1.87E+00	1.08E+00	0.00E+00	7.57E-01	7.27E-01	1.98E+00	1.67E+00	7.75E-01	3.48E-01
BRCA_TCGA-AQ-A0Y5	1.79E+00	0.00E+00	1.16E+00	9.07E-01	4.00E-01	6.96E-01	6.23E-01	1.16E+00	7.30E-01	1.13E+00	1.10E+00	5.39E-01
BRCA_TCGA-AQ-A1H2	1.03E+00	0.00E+00	1.04E+00	6.40E-01	5.47E-01	0.00E+00	8.33E-01	7.02E-01	7.27E-01	1.08E+00	7.15E-01	7.57E-01
BRCA_TCGA-AQ-A1H3	7.16E-01	0.00E+00	1.00E-01	0.00E+00	0.00E+00	0.00E+00	3.89E-01	6.18E-01	5.00E-01	8.33E-01	0.00E+00	5.42E-01
BRCA_TCGA-AQ-A54O	1.01E+00	3.33E-01	0.00E+00	5.78E-01	7.34E-01	0.00E+00	6.80E-01	7.89E-01	1.48E+00	8.09E-01	3.33E-01	2.60E-01
BRCA_TCGA-AQ-A7U7	1.29E+00	0.00E+00	1.46E+00	1.28E+00	1.37E+00	0.00E+00	4.73E-01	1.27E+00	9.87E-01	4.96E-01	2.24E+00	4.99E-01
BRCA_TCGA-AR-A0TP	7.06E-01	0.00E+00	1.78E+00	0.00E+00	1.10E+00	7.92E-01	1.19E+00	2.48E+00	9.64E-01	2.85E+00	7.34E-01	7.57E-01
BRCA_TCGA-AR-A0TQ	1.21E+00	3.06E-01	8.03E-01	6.70E-01	1.11E+00	5.96E-01	0.00E+00	1.15E+00	8.06E-01	1.15E+00	2.15E+00	2.24E-01
BRCA_TCGA-AR-A0TR	1.36E+00	0.00E+00	5.86E-01	1.06E+00	9.83E-01	0.00E+00	1.00E+00	1.52E+00	1.65E+00	8.36E-01	4.76E-01	0.00E+00
BRCA_TCGA-AR-A0TS	1.36E+00	2.24E-01	2.00E-01	7.46E-01	9.34E-01	1.19E+00	7.00E-01	1.69E+00	2.25E+00	1.99E+00	1.55E+00	1.01E+00
BRCA_TCGA-AR-A0TT	1.75E+00	0.00E+00	1.24E+00	1.26E+00	0.00E+00	0.00E+00	9.04E-01	1.48E+00	1.53E+00	2.80E+00	1.72E+00	5.17E-01
BRCA_TCGA-AR-A0TU	1.08E+00	1.10E+00	7.37E-01	1.49E+00	7.81E-01	7.18E-01	1.20E+00	1.73E+00	1.67E+00	2.82E+00	1.48E+00	6.53E-01
BRCA_TCGA-AR-A0TV	1.37E+00	7.34E-01	1.56E+00	8.00E-01	1.53E+00	1.33E-01	8.33E-01	1.21E+00	1.98E+00	2.04E+00	1.25E+00	4.47E-01
BRCA_TCGA-AR-A0TW	8.67E-01	9.40E-01	6.80E-01	5.67E-01	1.03E+00	1.18E+00	7.34E-01	1.21E+00	3.00E-01	2.26E+00	9.91E-01	0.00E+00
BRCA_TCGA-AR-A0TX	1.35E+00	4.73E-01	3.24E+00	1.10E+00	1.33E+00	0.00E+00	8.03E-01	3.00E-01	2.23E+00	1.47E+00	3.93E+00	0.00E+00
BRCA_TCGA-AR-A0TZ	1.29E+00	1.25E+00	1.20E+00	7.89E-01	1.14E+00	7.61E-01	1.54E+00	7.42E-01	8.19E-01	1.56E+00	1.45E+00	2.60E-01
BRCA_TCGA-AR-A0U0	9.78E-01	5.17E-01	3.06E-01	7.27E-01	7.61E-01	0.00E+00	7.64E-01	9.83E-01	1.82E+00	1.16E+00	1.12E+00	3.79E-01
BRCA_TCGA-AR-A0U1	8.84E-01	1.05E+00	8.72E-01	9.98E-01	0.00E+00	1.03E+00	2.40E+00	2.66E+00	1.41E+00	3.39E+00	1.28E+00	8.72E-01
BRCA_TCGA-AR-A0U2	2.00E+00	0.00E+00	4.73E-01	1.81E+00	1.46E+00	7.77E-01	1.00E-01	1.85E+00	1.58E+00	2.04E+00	0.00E+00	2.21E-01
BRCA_TCGA-AR-A0U3	1.00E+00	7.60E-01	9.57E-01	9.10E-01	6.63E-01	5.22E-01	4.42E-01	2.13E-01	1.55E+00	1.39E+00	0.00E+00	0.00E+00
BRCA_TCGA-AR-A0U4	9.43E-01	1.13E+00	1.52E+00	1.23E+00	2.41E+00	9.24E-01	1.85E+00	2.79E+00	2.47E+00	4.24E+00	3.16E+00	1.01E+00
BRCA_TCGA-AR-A1AH	1.63E+00	1.58E+00	9.52E-01	1.78E+00	5.17E-01	2.57E+00	1.36E+00	2.96E+00	1.50E+00	2.74E+00	1.37E+00	9.68E-01
BRCA_TCGA-AR-A1AI	1.72E+00	6.99E-01	1.35E+00	1.07E+00	1.58E+00	8.88E-01	6.96E-01	5.93E-01	2.05E+00	1.34E+00	1.33E+00	1.00E-01
BRCA_TCGA-AR-A1AJ	1.76E+00	0.00E+00	9.98E-01	2.21E-01	1.10E+00	0.00E+00	6.01E-01	8.67E-01	5.26E-01	1.01E+00	1.46E+00	0.00E+00
BRCA_TCGA-AR-A1AK	1.11E+00	3.27E-01	1.42E+00	3.42E-01	0.00E+00	2.00E-01	7.00E-01	1.69E+00	2.02E+00	1.71E+00	1.40E+00	0.00E+00
BRCA_TCGA-AR-A1AL	1.09E+00	0.00E+00	2.21E-01	3.40E-01	5.00E-01	9.07E-01	5.81E-01	9.94E-01	8.67E-01	1.31E+00	9.45E-01	5.78E-01
BRCA_TCGA-AR-A1AN	2.01E+00	0.00E+00	4.58E-01	5.00E-01	4.58E-01	0.00E+00	7.37E-01	3.06E-01	9.34E-01	1.24E+00	8.44E-01	1.00E-01
BRCA_TCGA-AR-A1AO	1.39E+00	5.96E-01	1.69E+00	1.51E+00	8.44E-01	1.63E+00	6.00E-01	2.07E+00	1.67E+00	2.56E+00	1.55E+00	8.88E-01
BRCA_TCGA-AR-A1AP	1.21E+00	4.76E-01	1.22E+00	8.69E-01	0.00E+00	0.00E+00	6.37E-01	2.00E-01	1.35E+00	6.67E-01	1.17E+00	8.43E-01
BRCA_TCGA-AR-A1AQ	1.22E+00	0.00E+00	7.18E-01	1.03E+00	5.77E-01	1.33E-01	0.00E+00	8.56E-01	1.30E+00	1.30E+00	5.78E-01	0.00E+00
BRCA_TCGA-AR-A1AR	1.53E+00	7.16E-01	5.00E-01	1.07E+00	0.00E+00	0.00E+00	6.11E-01	2.60E+00	1.91E+00	2.84E+00	1.26E+00	6.29E-01
BRCA_TCGA-AR-A1AS	2.00E-01	6.70E-01	1.03E+00	6.40E-01	1.05E+00	0.00E+00	6.90E-01	2.13E-01	5.37E-01	8.17E-01	7.30E-01	4.47E-01
BRCA_TCGA-AR-A1AT	7.31E-01	3.59E-01	6.11E-01	8.46E-01	1.27E+00	1.53E-01	4.27E-01	8.70E-01	9.32E-01	1.70E+00	4.73E-01	0.00E+00
BRCA_TCGA-AR-A1AU	7.42E-01	4.00E-01	2.00E-01	9.12E-01	1.00E-01	0.00E+00	7.60E-01	4.42E-01	1.03E+00	6.83E-01	8.33E-01	5.54E-01
BRCA_TCGA-AR-A1AV	1.98E+00	7.22E-01	7.30E-01	9.20E-01	1.00E-01	0.00E+00	7.16E-01	8.19E-01	1.49E+00	1.26E+00	1.17E+00	6.63E-01
BRCA_TCGA-AR-A1AW	1.66E+00	7.06E-01	8.00E-01	1.33E+00	8.17E-01	0.00E+00	1.44E+00	6.51E-01	1.87E+00	5.97E-01	5.33E-01	4.00E-01
BRCA_TCGA-AR-A1AX	1.31E+00	0.00E+00	1.13E+00	3.79E-01	3.59E-01	0.00E+00	0.00E+00	8.95E-01	1.67E+00	1.06E+00	4.96E-01	7.86E-01
BRCA_TCGA-AR-A1AY	1.73E+00	6.54E-01	5.42E-01	9.83E-01	2.14E+00	0.00E+00	2.13E-01	9.83E-01	2.54E+00	1.84E+00	1.65E+00	6.36E-01
BRCA_TCGA-AR-A24H	1.15E+00	1.25E+00	2.34E+00	1.51E+00	1.51E+00	3.00E-01	1.45E+00	1.67E+00	3.08E+00	3.37E+00	2.32E+00	2.00E-01
BRCA_TCGA-AR-A24K	5.54E-01	0.00E+00	5.17E-01	2.00E-01	1.10E+00	5.16E-01	6.96E-01	0.00E+00	1.66E+00	1.27E+00	0.00E+00	0.00E+00
BRCA_TCGA-AR-A24L	4.00E-01	0.00E+00	3.00E-01	1.36E+00	3.42E-01	0.00E+00	1.04E+00	1.04E+00	1.21E+00	2.08E+00	7.12E-01	4.23E-01
BRCA_TCGA-AR-A24M	6.29E-01	4.82E-01	0.00E+00	7.12E-01	4.71E-01	8.88E-01	7.61E-01	9.68E-01	0.00E+00	9.21E-01	3.48E-01	0.00E+00
BRCA_TCGA-AR-A24N	1.39E+00	0.00E+00	4.73E-01	1.17E+00	1.05E+00	3.00E-01	5.78E-01	3.40E-01	2.35E+00	1.01E+00	1.13E+00	4.23E-01
BRCA_TCGA-AR-A24O	7.64E-01	3.35E-01	0.00E+00	2.13E-01	1.03E+00	0.00E+00	0.00E+00	5.33E-01	1.69E+00	4.73E-01	4.90E-01	4.58E-01
BRCA_TCGA-AR-A24P	7.57E-01	2.00E-01	3.67E-01	5.04E-01	6.99E-01	1.53E-01	2.00E-01	0.00E+00	9.87E-01	5.22E-01	0.00E+00	0.00E+00
BRCA_TCGA-AR-A24Q	1.11E+00	1.21E+00	1.99E+00	1.64E+00	1.69E+00	1.04E+00	1.09E+00	3.25E+00	2.24E+00	3.90E+00	2.24E+00	1.00E+00
BRCA_TCGA-AR-A24R	9.09E-01	0.00E+00	4.52E-01	1.53E-01	4.58E-01	7.16E-01	3.27E-01	6.40E-01	9.98E-01	1.17E+00	4.01E-01	8.16E-01
BRCA_TCGA-AR-A24S	1.36E+00	4.07E-01	8.54E-01	8.46E-01	2.67E-01	9.92E-01	1.51E+00	0.00E+00	2.10E+00	1.04E+00	1.06E+00	3.27E-01
BRCA_TCGA-AR-A24T	5.16E-01	0.00E+00	4.33E-01	2.00E-01	0.00E+00	0.00E+00	1.00E-01	6.90E-01	8.92E-01	1.02E+00	6.40E-01	0.00E+00
BRCA_TCGA-AR-A24U	9.89E-01	0.00E+00	4.96E-01	7.86E-01	2.00E-01	3.27E-01	0.00E+00	0.00E+00	8.60E-01	6.96E-01	1.06E+00	0.00E+00
BRCA_TCGA-AR-A24V	1.28E+00	0.00E+00	5.39E-01	5.47E-01	2.00E-01	0.00E+00	5.86E-01	5.47E-01	6.01E-01	8.88E-01	4.99E-01	0.00E+00
BRCA_TCGA-AR-A24W	0.00E+00	0.00E+00	4.76E-01	4.99E-01	4.90E-01	3.00E-01	0.00E+00	1.00E-01	7.33E-01	4.67E-01	0.00E+00	0.00E+00
BRCA_TCGA-AR-A24X	5.67E-01	3.00E-01	8.46E-01	7.52E-01	0.00E+00	8.31E-01	5.81E-01	1.40E+00	8.36E-01	1.55E+00	0.00E+00	4.23E-01
BRCA_TCGA-AR-A24Z	1.19E+00	0.00E+00	1.82E+00	7.42E-01	1.12E+00	0.00E+00	0.00E+00	1.75E+00	1.25E+00	1.86E+00	1.02E+00	4.42E-01
BRCA_TCGA-AR-A250	2.56E+00	1.03E+00	1.63E+00	1.53E+00	1.05E+00	1.11E+00	7.77E-01	8.67E-01	1.94E+00	2.66E+00	1.25E+00	2.00E-01
BRCA_TCGA-AR-A251	1.11E+00	1.16E+00	1.70E+00	1.24E+00	1.75E+00	1.93E+00	1.51E+00	3.26E+00	3.72E+00	4.96E+00	2.72E+00	7.90E-01
BRCA_TCGA-AR-A252	1.02E+00	0.00E+00	4.00E-01	2.13E-01	7.00E-01	0.00E+00	8.54E-01	7.30E-01	1.16E+00	2.00E-01	3.89E-01	3.42E-01
BRCA_TCGA-AR-A254	1.16E+00	5.62E-01	5.78E-01	1.26E+00	4.42E-01	0.00E+00	0.00E+00	6.00E-01	1.35E+00	1.30E+00	9.55E-01	0.00E+00
BRCA_TCGA-AR-A255	1.41E+00	8.33E-01	1.06E+00	7.77E-01	1.15E+00	6.05E-01	7.19E-01	1.31E+00	1.88E+00	1.27E+00	1.61E+00	7.22E-01
BRCA_TCGA-AR-A256	9.09E-01	6.67E-01	1.39E+00	5.86E-01	8.23E-01	9.83E-01	1.44E+00	3.62E+00	2.60E+00	4.39E+00	2.03E+00	2.04E+00
BRCA_TCGA-AR-A2LE	1.89E+00	2.00E+00	4.68E+00	1.15E+00	1.26E+00	0.00E+00	2.13E-01	4.00E-01	2.82E+00	9.52E-01	4.29E+00	2.21E-01
BRCA_TCGA-AR-A2LH	1.14E+00	2.69E-01	1.13E+00	5.43E-01	2.00E-01	7.02E-01	5.33E-01	4.99E-01	1.00E-01	1.07E+00	1.55E+00	0.00E+00
BRCA_TCGA-AR-A2LK	1.48E+00	0.00E+00	4.42E-01	6.51E-01	4.58E-01	1.16E+00	3.79E-01	7.03E-01	1.48E+00	1.01E+00	7.18E-01	0.00E+00
BRCA_TCGA-AR-A2LL	1.71E+00	6.00E-01	7.12E-01	2.00E-01	3.96E-01	0.00E+00	4.33E-01	3.96E-01	1.76E+00	1.26E+00	2.69E-01	0.00E+00
BRCA_TCGA-AR-A2LM	4.71E-01	0.00E+00	4.94E-01	0.00E+00	2.13E-01	3.00E-01	0.00E+00	1.16E+00	5.78E-01	8.54E-01	0.00E+00	0.00E+00
BRCA_TCGA-AR-A2LN	9.34E-01	0.00E+00	1.30E+00	4.00E-01	2.00E-01	4.00E-01	7.06E-01	1.00E-01	1.47E+00	1.01E+00	1.00E+00	0.00E+00
BRCA_TCGA-AR-A2LO	5.39E-01	0.00E+00	4.76E-01	1.00E-01	0.00E+00	0.00E+00	0.00E+00	1.00E-01	0.00E+00	5.42E-01	4.07E-01	1.67E-01
BRCA_TCGA-AR-A2LQ	7.02E-01	0.00E+00	2.00E-01	1.00E-01	0.00E+00	0.00E+00	4.07E-01	6.50E-01	8.03E-01	8.75E-01	0.00E+00	3.00E-01
BRCA_TCGA-AR-A2LR	1.02E+00	5.67E-01	4.58E-01	1.61E+00	3.00E-01	1.04E+00	4.00E-01	2.39E+00	1.07E+00	2.51E+00	5.47E-01	5.42E-01
BRCA_TCGA-AR-A5QM	1.21E+00	0.00E+00	5.86E-01	2.21E-01	9.98E-01	7.33E-01	0.00E+00	1.42E+00	1.27E+00	1.67E+00	0.00E+00	0.00E+00
BRCA_TCGA-AR-A5QN	1.73E+00	0.00E+00	9.09E-01	1.51E+00	5.78E-01	0.00E+00	1.21E+00	5.26E-01	1.63E+00	1.21E+00	7.00E-01	0.00E+00
BRCA_TCGA-AR-A5QP	1.19E+00	3.35E-01	4.52E-01	6.80E-01	8.57E-01	0.00E+00	1.07E+00	6.18E-01	1.35E+00	7.48E-01	4.42E-01	0.00E+00
