	0	1	2	3	4	5	6	7	8	9
11000	[2.3090506117726943, 2.0784158483940107, 2.306347633786835, 1.0, 0.0]	[2.339872446807667, 2.1229907570738504, 2.1688168973381683, 1.0, 0.0]	[2.310371290058053, 2.113564119865992, 1.9680717019206106, 1.0, 0.0]	[2.318712385390598, 2.1185552329148836, 2.001571524757144, 1.0, 0.0]	[2.317013863357499, 2.1153758135735816, 2.0163804978391733, 1.0, 0.0]	[2.3183463197906633, 2.118241695774902, 2.001046240157612, 1.0, 0.0]	[2.3173200621760337, 2.116183752735113, 2.0113630944092087, 1.0, 0.0]	[2.31772873946596, 2.116581801977837, 2.011469374881226, 1.0, 0.0]	[2.3201877098817683, 2.1206268589730968, 1.9956085090867162, 1.0, 0.0]	[2.3177826172509928, 2.1166955659795503, 2.010870512714423, 1.0, 0.0]
12000	[2.3090203872658246, 2.0777920218519257, 2.3122836541389895, 1.0, 0.0]	[2.3392139882036327, 2.121907667273335, 2.1730632093029776, 1.0, 0.0]	[2.310334031620772, 2.1127417716668284, 1.9759225995394347, 1.0, 0.0]	[2.3185134148513242, 2.1180731511148703, 2.0044026373645383, 1.0, 0.0]	[2.317025402796203, 2.115231262753023, 2.017941400431801, 1.0, 0.0]	[2.3183010847979744, 2.1176290652322085, 2.0067201956576572, 1.0, 0.0]	[2.3171169715225446, 2.115961868748821, 2.0115510277372395, 1.0, 0.0]	[2.317485576846884, 2.1163316789813087, 2.0115389786557545, 1.0, 0.0]	[2.3195404146994347, 2.1201143267302744, 1.9942608796916008, 1.0, 0.0]	[2.317584005179821, 2.1163929351240784, 2.0119107005574257, 1.0, 0.0]
13000	[2.30836639089063, 2.07742367354898, 2.309427173416497, 1.0, 0.0]	[2.3382883731228774, 2.120105100818274, 2.1818327230460373, 1.0, 0.0]	[2.3101296955573036, 2.112047077978782, 1.9808261757852141, 1.0, 0.0]	[2.3183620807359526, 2.1176889202374216, 2.0067316049853083, 1.0, 0.0]	[2.3169569025765, 2.115104416244016, 2.0185248633248434, 1.0, 0.0]	[2.3180387976029886, 2.117220841227391, 2.008179563755974, 1.0, 0.0]	[2.31714645394731, 2.1157490130553493, 2.0139744089196054, 1.0, 0.0]	[2.3173764475822654, 2.1160863602814888, 2.0129008730077675, 1.0, 0.0]	[2.3195269600355384, 2.1195975166071377, 1.999294434284008, 1.0, 0.0]	[2.317451819178247, 2.116102715949301, 2.0134910322894632, 1.0, 0.0]
14000	[2.308022931051078, 2.0772105043429274, 2.308124267081504, 1.0, 0.0]	[2.33740946547194, 2.118922012420502, 2.184874530514384, 1.0, 0.0]	[2.3097740199916657, 2.111248803658638, 1.9852521633302769, 1.0, 0.0]	[2.3182560562142847, 2.1174102110316415, 2.0084584518264332, 1.0, 0.0]	[2.3169054427011653, 2.1150324859448526, 2.018729567563125, 1.0, 0.0]	[2.317794261720707, 2.1169282404363634, 2.0086602128434348, 1.0, 0.0]	[2.317092377986419, 2.1155350607639285, 2.015573172224906, 1.0, 0.0]	[2.317332865151651, 2.1159024785232448, 2.0143038662840658, 1.0, 0.0]	[2.3192701570639223, 2.1192669798438635, 2.0000317722005883, 1.0, 0.0]	[2.317314519839612, 2.115942114063174, 2.01372405776438, 1.0, 0.0]
15000	[2.3080460588072804, 2.077088947087426, 2.309571117198542, 1.0, 0.0]	[2.336517777912991, 2.1180659161856368, 2.184518617273543, 1.0, 0.0]	[2.3098739109557456, 2.1106923221510985, 1.9918158880464714, 1.0, 0.0]	[2.31785609241653, 2.117252683510189, 2.006034089063408, 1.0, 0.0]	[2.3168464525784427, 2.114955856686299, 2.0189059589214358, 1.0, 0.0]	[2.317681488367957, 2.1166284861283593, 2.010530022395977, 1.0, 0.0]	[2.3170131863028103, 2.1153731937534865, 2.0163999254932383, 1.0, 0.0]	[2.3172696864709383, 2.115749413097305, 2.0152027337363356, 1.0, 0.0]	[2.3191370357484544, 2.1189064712256953, 2.0023056452275902, 1.0, 0.0]	[2.317261993120562, 2.11577619979799, 2.0148579332257186, 1.0, 0.0]
16000			[2.3093991064943165, 2.109793770671032, 1.9960533582328415, 1.0, 0.0]	[2.3180069352626718, 2.116757582228369, 2.0124935303430274, 1.0, 0.0]	[2.3168089184460006, 2.1149166052021733, 2.0189231324382746, 1.0, 0.0]	[2.3174922346733595, 2.1164176903087597, 2.010745443645997, 1.0, 0.0]	[2.316863102224914, 2.1152701898619943, 2.015929123629198, 1.0, 0.0]	[2.3172126463181058, 2.1156300816387223, 2.0158256467938327, 1.0, 0.0]	[2.3191500443046134, 2.11852755804087, 2.0062248626374353, 1.0, 0.0]	[2.317163153878613, 2.115690163137792, 2.0147299074082103, 1.0, 0.0]
17000			[2.3088989595446283, 2.108982033385694, 1.9991692615893444, 1.0, 0.0]	[2.317742492713865, 2.1165784290917458, 2.0116406362211903, 1.0, 0.0]	[2.3167858532839816, 2.114873804781906, 2.0191204850207556, 1.0, 0.0]	[2.317381936743244, 2.1162837326064285, 2.0109820413681554, 1.0, 0.0]	[2.3168435656015927, 2.1151668999121322, 2.0167666568946045, 1.0, 0.0]	[2.317111927142336, 2.115544778717795, 2.0156714842454075, 1.0, 0.0]	[2.3189888048067187, 2.118357539793169, 2.0063126501354964, 1.0, 0.0]	[2.3171392781783102, 2.1155905013609053, 2.0154877681740473, 1.0, 0.0]
18000			[2.308806988450707, 2.108363070782428, 2.004439176682789, 1.0, 0.0]	[2.3175714655407402, 2.1164111024503467, 2.011603630903937, 1.0, 0.0]	[2.3167608660181433, 2.114860239988026, 2.0190062603011736, 1.0, 0.0]	[2.3173149079860984, 2.1161404962200416, 2.011744117660566, 1.0, 0.0]	[2.3167421105569197, 2.115124880545839, 2.0161723001108034, 1.0, 0.0]	[2.317033089046482, 2.1154550584976906, 2.0157803054879158, 1.0, 0.0]	[2.3188923496408917, 2.118224013781582, 2.006683358593096, 1.0, 0.0]	[2.31710268154652, 2.115515391780576, 2.0158728976594413, 1.0, 0.0]
19000			[2.308736453267313, 2.107699643522284, 2.01036809745029, 1.0, 0.0]	[2.3175324415119696, 2.1162550682712507, 2.012773732407191, 1.0, 0.0]	[2.3167702109680746, 2.1148331020959055, 2.01937108872169, 1.0, 0.0]	[2.317252014630285, 2.1159657128372267, 2.01286301793058, 1.0, 0.0]	[2.316759546320995, 2.115031841546358, 2.0172770477463677, 1.0, 0.0]	[2.317039749993566, 2.11539021436194, 2.0164953563162644, 1.0, 0.0]	[2.318810854617374, 2.1181118983384986, 2.006989562788752, 1.0, 0.0]	[2.317087635132883, 2.1154531564229204, 2.016344787099628, 1.0, 0.0]
20000			[2.308541789689673, 2.1069310711300546, 2.0161071855961845, 1.0, 0.0]	[2.317503117797813, 2.11609691897968, 2.0140619881813313, 1.0, 0.0]	[2.316787437011247, 2.114820842120961, 2.01966594890286, 1.0, 0.0]	[2.3171662854425294, 2.1158764860332417, 2.0128979940928793, 1.0, 0.0]	[2.3166801684089227, 2.115001998386825, 2.0167817002209762, 1.0, 0.0]	[2.317027484355611, 2.1152813389770464, 2.0174614537856455, 1.0, 0.0]	[2.318923164129685, 2.1179384393782064, 2.0098472475147866, 1.0, 0.0]	[2.3170991469128586, 2.115382175948836, 2.0171697096402292, 1.0, 0.0]
21000			[2.308686240601462, 2.1062952788304634, 2.0239096177099887, 1.0, 0.0]	[2.317420245121384, 2.1159603164007583, 2.014599287206255, 1.0, 0.0]	[2.3168063864308897, 2.1148136693218005, 2.0199271710908895, 1.0, 0.0]	[2.317194481899773, 2.1157326277180273, 2.014618541817457, 1.0, 0.0]	[2.3166425154498578, 2.114980136032126, 2.0166237941773155, 1.0, 0.0]	[2.317020063715274, 2.1152014057948665, 2.018186579204074, 1.0, 0.0]	[2.318846206679359, 2.117773761379878, 2.0107244529948103, 1.0, 0.0]	[2.317099516540915, 2.115279620190126, 2.018198963507893, 1.0, 0.0]
22000			[2.3082721211193453, 2.105616738511463, 2.026553826078824, 1.0, 0.0]	[2.317334582510425, 2.1158579266171555, 2.0147665589326964, 1.0, 0.0]	[2.3167933837672865, 2.1148110795310764, 2.019823042362102, 1.0, 0.0]	[2.3171278093369034, 2.115644578175505, 2.0148323116139863, 1.0, 0.0]	[2.3166430906732876, 2.1149650953530514, 2.0167799532023616, 1.0, 0.0]	[2.3169347134277327, 2.115170107882343, 2.0176460554538984, 1.0, 0.0]	[2.318787586146653, 2.1176033861945154, 2.0118419995213737, 1.0, 0.0]	[2.317043772015003, 2.1152260485221257, 2.0181772349287717, 1.0, 0.0]
