Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
RNF168_2_multinomial_train3.21	0.9999999999999956	0.9	0.451	45.1%	0.062	46.38%	0.16427	0.778
RNF168_2_multinomial_train3.22	0.9999999999999956	0.929	0.386	38.6%	0.053	37.969%	0.13342	0.85
EXO1_1_multinomial_train3.16	0.9999999999999949	0.937	0.36	36.0%	0.049	37.425%	0.11402	0.866
EXO1_1_multinomial_train3.17	0.9999999999999947	0.922	0.387	38.7%	0.055	42.038%	0.12186	0.83
RNF168_2_multinomial_train3.23	0.9999999999999953	0.912	0.409	40.9%	0.059	42.42%	0.14494	0.811
EXO1_1_multinomial_train3.18	0.9999999999999949	0.933	0.343	34.3%	0.051	37.61%	0.09633	0.857
RNF168_2_multinomial_train3.24	0.9999999999999952	0.932	0.386	38.6%	0.052	36.245%	0.13931	0.86
RNF168_2_multinomial_train3.25	0.9999999999999959	0.927	0.374	37.4%	0.055	38.099%	0.13716	0.85
RNF168_2_multinomial_train3.26	0.9999999999999959	0.92	0.385	38.5%	0.057	40.328%	0.15099	0.833
RNF168_2_multinomial_train3.27	0.9999999999999958	0.932	0.378	37.8%	0.052	38.109%	0.13328	0.854
RNF168_2_multinomial_train3.28	0.9999999999999956	0.922	0.382	38.2%	0.056	39.163%	0.13472	0.839
EXO1_1_multinomial_train3.19	0.9999999999999949	0.914	0.396	39.6%	0.058	43.324%	0.11513	0.814
RNF168_2_multinomial_train3.29	0.9999999999999951	0.919	0.409	40.9%	0.056	40.578%	0.1461	0.826
EXO1_1_multinomial_train3.20	0.999999999999995	0.925	0.365	36.5%	0.054	40.859%	0.11211	0.837
RNF168_2_multinomial_train3.30	0.9999999999999962	0.932	0.402	40.2%	0.052	37.288%	0.14562	0.856
RNF168_2_multinomial_train3.31	0.9999999999999953	0.925	0.387	38.7%	0.054	38.848%	0.14024	0.841
RNF168_2_multinomial_train3.32	0.999999999999996	0.918	0.389	38.9%	0.056	40.385%	0.14715	0.824
