Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
BRCA_TCGA-E2-A1B4	0	0	8	5	1	0	0	1	2	0	6	6	5	8	0
BRCA_TCGA-E2-A1B5	0	5	3	5	0	0	0	4	3	0	4	18	0	3	1
BRCA_TCGA-E2-A1B6	0	2	4	0	14	2	0	0	0	3	0	2	24	5	0
BRCA_TCGA-E2-A1BC	0	1	8	0	4	0	0	2	0	5	5	2	4	10	0
BRCA_TCGA-E2-A1BD	1	15	0	2	3	3	0	0	0	4	4	1	3	7	0
BRCA_TCGA-E2-A1IE	0	5	0	1	4	4	2	0	2	0	3	0	3	4	2
BRCA_TCGA-E2-A1IF	0	0	2	1	4	0	0	0	1	6	3	0	1	6	0
BRCA_TCGA-E2-A1IG	0	1	1	7	17	0	0	3	1	0	10	6	6	5	0
BRCA_TCGA-E2-A1IH	1	1	5	3	7	0	0	1	5	6	6	33	7	9	1
BRCA_TCGA-E2-A1II	0	4	2	0	0	0	0	14	0	3	0	0	11	0	0
BRCA_TCGA-E2-A1IJ	0	2	0	0	8	1	0	1	0	0	0	0	0	5	1
BRCA_TCGA-E2-A1IK	0	0	1	4	2	0	0	0	1	1	0	0	8	0	0
BRCA_TCGA-E2-A1IL	1	2	7	4	0	0	0	0	0	3	5	0	4	4	1
BRCA_TCGA-E2-A1IN	1	10	3	10	2	9	2	0	1	6	0	175	20	7	2
BRCA_TCGA-E2-A1IO	0	3	0	2	4	0	0	3	1	0	0	1	0	2	0
BRCA_TCGA-E2-A1IU	0	2	1	7	0	2	0	0	0	0	1	5	7	5	1
BRCA_TCGA-E2-A1L6	0	2	1	7	0	4	0	0	0	4	3	1	4	2	0
BRCA_TCGA-E2-A1L7	2	0	0	1	18	2	0	2	4	5	5	4	17	16	5
BRCA_TCGA-E2-A1L8	0	1	0	0	13	0	0	2	5	0	4	6	6	1	0
BRCA_TCGA-E2-A1L9	0	5	1	2	1	4	0	0	1	3	1	3	5	1	1
BRCA_TCGA-E2-A1LA	1	8	0	1	0	9	0	0	1	18	3	9	50	1	6
BRCA_TCGA-E2-A1LB	2	1	0	3	8	1	1	3	2	0	3	23	8	0	0
BRCA_TCGA-E2-A1LG	2	5	0	16	10	4	0	0	0	1	4	168	7	0	2
BRCA_TCGA-E2-A1LH	10	9	0	2	7	0	7	0	13	10	4	57	92	11	9
BRCA_TCGA-E2-A1LI	0	0	1	2	3	0	2	0	0	3	0	11	12	3	0
BRCA_TCGA-E2-A1LK	0	16	10	7	6	0	0	2	0	5	0	2	2	3	1
BRCA_TCGA-E2-A1LL	1	5	5	0	5	1	0	0	4	2	4	5	17	7	5
BRCA_TCGA-E2-A2P6	1	4	13	19	1	0	0	11	0	2	29	106	0	0	0
BRCA_TCGA-E2-A56Z	0	0	7	4	17	0	0	4	8	0	7	0	11	1	1
BRCA_TCGA-E2-A570	0	6	1	1	0	0	0	0	3	0	9	1	7	1	1
BRCA_TCGA-E2-A572	0	5	0	0	8	0	0	0	4	0	0	3	5	4	0
BRCA_TCGA-E2-A573	3	4	8	2	9	5	0	7	5	0	0	5	21	1	2
BRCA_TCGA-E2-A574	2	5	11	15	15	0	0	2	1	0	19	58	27	0	1
BRCA_TCGA-E2-A576	0	13	1	4	15	8	0	1	0	0	9	0	16	2	1
BRCA_TCGA-E2-A9RU	5	15	11	10	12	0	0	0	1	6	12	18	9	7	1
BRCA_TCGA-E9-A1N3	3	0	3	0	4	2	1	0	0	4	0	3	5	4	2
BRCA_TCGA-E9-A1N4	0	1	1	4	8	0	0	0	0	2	0	10	6	2	0
BRCA_TCGA-E9-A1N5	0	1	2	0	0	8	0	0	3	2	0	13	7	2	1
BRCA_TCGA-E9-A1N8	3	0	1	5	0	0	0	0	7	2	0	9	8	1	0
BRCA_TCGA-E9-A1N9	1	14	0	1	0	1	5	2	1	5	4	8	18	5	1
BRCA_TCGA-E9-A1NA	3	5	2	6	5	6	4	2	2	0	10	22	20	29	1
BRCA_TCGA-E9-A1NE	5	0	7	0	4	2	0	0	2	0	3	6	33	0	0
BRCA_TCGA-E9-A1NF	0	3	0	6	2	4	0	4	1	1	13	20	3	4	0
BRCA_TCGA-E9-A1NG	0	4	0	1	1	4	0	0	1	0	3	1	3	3	0
BRCA_TCGA-E9-A1NH	1	5	0	0	5	1	0	0	5	4	5	2	0	8	1
BRCA_TCGA-E9-A1QZ	0	0	2	1	4	0	0	0	3	0	1	0	0	12	0
BRCA_TCGA-E9-A1R0	0	7	4	4	1	0	0	0	1	0	6	8	4	0	0
BRCA_TCGA-E9-A1R2	0	3	2	1	0	0	0	0	7	8	4	13	16	11	1
BRCA_TCGA-E9-A1R3	0	2	2	2	3	1	0	0	0	5	0	3	6	1	0
BRCA_TCGA-E9-A1R4	4	4	5	9	4	4	0	5	0	4	15	86	0	13	0
BRCA_TCGA-E9-A1R5	0	4	0	3	18	0	0	0	0	6	2	4	8	6	0
BRCA_TCGA-E9-A1R6	3	9	0	5	3	2	0	0	1	2	0	1	7	2	1
BRCA_TCGA-E9-A1R7	1	3	5	1	0	4	0	0	3	0	13	10	13	6	4
BRCA_TCGA-E9-A1RA	1	3	0	1	2	0	0	1	0	1	6	4	3	0	3
BRCA_TCGA-E9-A1RB	0	5	2	0	0	3	4	0	0	8	4	0	6	6	0
BRCA_TCGA-E9-A1RC	0	6	6	4	11	0	0	1	1	8	2	1	9	6	0
BRCA_TCGA-E9-A1RD	0	4	2	1	0	2	0	0	0	0	2	7	3	2	0
BRCA_TCGA-E9-A1RE	0	11	7	4	11	6	0	3	4	1	4	2	7	6	0
BRCA_TCGA-E9-A1RF	5	12	6	4	19	7	0	0	0	6	5	20	63	23	0
BRCA_TCGA-E9-A1RG	0	1	1	1	8	0	1	0	2	2	3	8	14	0	0
BRCA_TCGA-E9-A1RH	3	14	0	5	3	7	1	2	9	0	14	14	24	14	1
BRCA_TCGA-E9-A1RI	2	1	2	1	4	1	0	1	1	0	5	4	5	2	0
BRCA_TCGA-E9-A226	1	6	4	10	0	0	0	0	2	0	4	42	10	0	0
BRCA_TCGA-E9-A227	0	2	0	1	0	1	0	0	0	2	4	4	5	0	0
BRCA_TCGA-E9-A228	0	15	3	0	4	0	2	0	1	0	7	12	6	0	2
BRCA_TCGA-E9-A229	1	6	4	0	0	0	0	0	1	1	4	5	5	1	2
BRCA_TCGA-E9-A22A	0	2	0	1	7	1	0	0	0	0	0	7	15	3	0
BRCA_TCGA-E9-A22B	0	7	5	4	8	0	0	9	0	4	10	10	7	10	2
BRCA_TCGA-E9-A22D	0	4	5	6	13	0	0	0	0	1	0	4	7	0	0
BRCA_TCGA-E9-A22E	2	4	2	1	15	2	0	0	3	1	5	33	60	8	8
BRCA_TCGA-E9-A22G	3	3	0	2	0	3	4	0	14	14	9	7	33	18	7
BRCA_TCGA-E9-A22H	0	8	1	2	1	0	0	0	2	2	2	1	7	0	0
BRCA_TCGA-E9-A243	3	0	2	2	11	7	0	0	3	10	0	18	26	6	1
BRCA_TCGA-E9-A244	5	10	5	0	12	8	1	1	0	11	5	6	35	20	2
BRCA_TCGA-E9-A245	2	0	0	1	1	2	0	2	1	1	1	0	0	11	1
BRCA_TCGA-E9-A247	0	15	11	2	5	1	1	0	2	0	0	0	6	4	0
BRCA_TCGA-E9-A248	1	5	5	1	0	0	4	1	0	0	2	6	3	0	0
BRCA_TCGA-E9-A249	0	2	5	2	4	0	0	0	0	3	0	1	5	3	0
BRCA_TCGA-E9-A24A	3	5	0	2	0	0	0	0	0	1	2	0	6	2	1
BRCA_TCGA-E9-A295	6	16	0	4	40	0	0	0	0	0	0	5	4	34	0
BRCA_TCGA-E9-A2JS	1	24	4	7	7	0	3	0	3	0	10	1	0	27	2
BRCA_TCGA-E9-A2JT	1	0	0	0	0	1	0	3	0	0	0	22	0	1	0
BRCA_TCGA-E9-A3HO	0	0	0	2	2	8	0	0	2	5	5	7	34	5	2
BRCA_TCGA-E9-A3QA	0	1	0	1	0	2	3	0	0	3	4	22	20	6	0
BRCA_TCGA-E9-A3X8	0	4	2	1	0	0	0	0	0	0	10	6	11	1	2
BRCA_TCGA-E9-A54Y	1	10	2	3	0	2	0	3	1	2	7	19	0	8	0
BRCA_TCGA-E9-A5FK	1	5	1	1	3	5	0	0	0	1	8	3	4	6	1
BRCA_TCGA-E9-A5FL	3	4	9	5	0	7	3	0	6	9	3	23	43	16	2
BRCA_TCGA-E9-A5UO	0	7	2	1	2	3	2	0	1	1	5	1	7	6	0
BRCA_TCGA-E9-A6HE	0	5	4	2	0	1	0	0	2	0	5	0	0	2	1
BRCA_TCGA-EW-A1IW	2	15	0	2	0	6	0	3	1	2	14	65	9	7	1
BRCA_TCGA-EW-A1IX	1	0	0	1	0	7	0	0	0	1	1	28	1	2	0
BRCA_TCGA-EW-A1IY	0	0	0	8	0	1	2	2	4	0	7	14	0	0	0
BRCA_TCGA-EW-A1IZ	0	68	52	27	82	50	30	3	44	54	6	1	15	0	3
BRCA_TCGA-EW-A1J1	0	4	2	2	1	0	2	0	0	0	0	0	7	3	2
BRCA_TCGA-EW-A1J3	0	1	3	0	3	0	0	1	4	0	11	1	6	0	0
BRCA_TCGA-EW-A1J5	5	0	0	32	11	9	0	21	0	0	30	432	0	0	0
BRCA_TCGA-EW-A1J6	0	6	0	0	11	0	0	0	0	0	4	2	5	16	0
BRCA_TCGA-EW-A1OV	0	4	0	10	4	3	0	8	0	0	15	94	1	1	0
BRCA_TCGA-EW-A1OX	0	0	3	1	2	1	0	0	0	0	0	5	9	0	0
BRCA_TCGA-EW-A1OZ	1	17	2	3	6	4	0	1	1	3	9	11	9	2	7
BRCA_TCGA-EW-A1P0	0	1	0	1	4	4	1	0	1	4	2	0	1	7	2
BRCA_TCGA-EW-A1P1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0
BRCA_TCGA-EW-A1P3	0	6	0	1	0	1	0	0	0	3	8	1	4	4	0
BRCA_TCGA-EW-A1P4	1	7	0	3	6	7	0	0	11	0	0	8	25	7	2
BRCA_TCGA-EW-A1P5	1	5	6	1	1	0	0	0	0	1	0	1	1	3	0
BRCA_TCGA-EW-A1P6	0	2	1	1	7	0	0	0	1	1	4	0	4	5	0
BRCA_TCGA-EW-A1P7	0	1	0	0	0	5	0	0	2	0	1	0	9	0	1
BRCA_TCGA-EW-A1P8	0	0	7	3	1	0	2	1	0	3	7	1	13	1	0
BRCA_TCGA-EW-A1PA	1	1	4	6	0	0	4	0	1	0	3	4	17	0	0
BRCA_TCGA-EW-A1PB	7	6	0	2	1	7	0	0	5	0	8	82	50	14	0
BRCA_TCGA-EW-A1PD	3	0	3	1	2	7	4	0	4	0	10	18	39	0	2
BRCA_TCGA-EW-A1PE	0	3	6	2	0	1	0	4	3	0	2	6	5	4	2
BRCA_TCGA-EW-A1PG	0	2	1	3	0	0	0	0	3	0	0	0	2	0	0
BRCA_TCGA-EW-A1PH	1	15	0	5	0	2	0	0	2	6	4	7	16	2	2
BRCA_TCGA-EW-A2FR	1	8	0	2	1	1	0	0	0	4	7	14	10	6	0
BRCA_TCGA-EW-A2FS	1	7	0	0	6	3	3	4	3	5	8	1	4	0	0
BRCA_TCGA-EW-A2FV	0	1	1	4	2	2	0	3	0	4	3	0	3	9	0
BRCA_TCGA-EW-A2FW	1	9	2	0	0	0	0	1	1	0	3	3	4	2	0
BRCA_TCGA-EW-A423	0	9	9	4	1	3	0	6	0	7	17	18	14	0	0
BRCA_TCGA-EW-A6S9	1	6	2	2	3	0	1	0	0	4	3	4	5	0	0
BRCA_TCGA-EW-A6SA	1	3	10	8	21	12	0	10	0	2	13	16	18	9	0
BRCA_TCGA-EW-A6SB	0	12	1	7	0	4	4	0	7	7	7	5	20	3	4
BRCA_TCGA-EW-A6SC	0	0	4	0	3	5	0	1	2	5	8	7	1	3	0
BRCA_TCGA-EW-A6SD	3	6	3	1	1	0	3	1	2	7	1	33	3	4	0
BRCA_TCGA-GI-A2C8	2	11	7	0	7	8	4	0	0	8	0	22	49	28	2
BRCA_TCGA-GM-A2D9	10	0	3	38	16	11	0	32	0	0	67	468	0	0	0
BRCA_TCGA-GM-A2DA	1	6	0	4	9	5	0	0	0	1	0	7	8	4	0
BRCA_TCGA-GM-A2DB	3	9	2	4	19	2	2	0	2	5	7	10	43	18	2
BRCA_TCGA-GM-A2DC	0	12	0	0	0	1	0	0	0	0	5	0	5	2	2
BRCA_TCGA-GM-A2DD	1	4	5	3	2	5	2	2	5	5	3	4	25	0	2
BRCA_TCGA-GM-A2DF	0	7	3	3	6	1	1	0	2	0	10	6	11	0	3
BRCA_TCGA-GM-A2DH	7	4	4	7	7	11	2	0	0	6	7	102	43	30	2
BRCA_TCGA-GM-A2DI	0	0	1	10	4	1	0	3	0	0	7	59	0	6	0
BRCA_TCGA-GM-A2DK	0	5	0	3	0	3	1	5	4	4	3	3	1	4	1
BRCA_TCGA-GM-A2DL	4	6	0	3	2	2	0	4	1	0	3	11	0	13	0
BRCA_TCGA-GM-A2DM	1	0	0	3	2	1	0	2	5	2	0	4	5	2	0
BRCA_TCGA-GM-A2DN	0	3	0	1	2	0	0	1	1	2	3	2	4	0	0
BRCA_TCGA-GM-A2DO	2	3	1	28	3	4	0	4	1	0	15	159	0	0	0
BRCA_TCGA-GM-A3NW	1	8	6	5	9	0	0	0	0	0	5	48	11	0	2
BRCA_TCGA-GM-A3XL	1	9	0	3	0	7	0	0	4	14	0	41	52	13	0
BRCA_TCGA-GM-A4E0	0	5	2	3	8	1	1	0	1	1	0	0	5	7	0
BRCA_TCGA-GM-A5PV	0	1	0	3	8	0	0	1	4	4	5	8	11	2	0
BRCA_TCGA-GM-A5PX	0	7	0	2	0	5	0	0	3	3	6	8	2	4	2
BRCA_TCGA-HN-A2NL	0	3	0	1	18	0	2	0	2	9	4	8	30	14	0
BRCA_TCGA-HN-A2OB	0	2	1	1	4	2	0	0	0	0	0	3	4	0	2
BRCA_TCGA-JL-A3YX	1	6	3	2	3	3	4	2	0	2	4	17	1	1	0
BRCA_TCGA-LD-A66U	2	8	5	1	2	9	0	0	5	0	3	1	3	5	0
BRCA_TCGA-LD-A74U	0	12	1	26	4	2	0	17	0	0	47	243	0	0	0
BRCA_TCGA-LD-A7W5	1	10	3	4	9	7	0	0	0	4	6	15	5	0	1
BRCA_TCGA-LD-A7W6	1	1	5	1	13	0	0	1	2	0	6	2	14	0	0
BRCA_TCGA-LD-A9QF	0	6	1	3	9	0	0	0	2	0	4	2	12	0	0
BRCA_TCGA-LL-A440	0	2	0	1	0	0	0	0	0	0	2	1	0	0	0
BRCA_TCGA-LL-A50Y	0	6	1	0	11	3	0	2	4	2	3	2	9	0	0
BRCA_TCGA-LL-A5YL	0	8	1	13	8	4	0	4	2	0	15	31	2	5	0
BRCA_TCGA-LL-A5YM	0	3	3	1	6	4	0	0	0	0	5	4	9	5	0
BRCA_TCGA-LL-A5YN	0	6	0	3	1	5	0	0	3	1	10	0	7	3	4
BRCA_TCGA-LL-A5YO	2	0	5	1	1	5	0	0	1	4	0	14	15	10	3
BRCA_TCGA-LL-A5YP	4	0	5	2	6	9	0	0	4	1	14	14	29	17	0
BRCA_TCGA-LL-A6FP	3	2	3	7	0	5	0	1	3	1	17	14	7	11	1
BRCA_TCGA-LL-A6FQ	0	15	7	4	3	0	0	2	0	7	12	3	6	10	0
BRCA_TCGA-LL-A6FR	0	8	0	4	13	10	0	0	4	1	1	3	19	0	0
BRCA_TCGA-LL-A73Y	2	4	4	12	2	8	0	0	13	5	0	122	12	7	2
BRCA_TCGA-LL-A73Z	0	7	1	1	4	9	0	2	0	1	3	2	14	3	1
BRCA_TCGA-LL-A740	2	8	4	2	0	6	0	0	8	0	14	5	19	0	0
BRCA_TCGA-LL-A7SZ	3	7	5	8	10	4	0	1	0	11	5	8	8	2	3
BRCA_TCGA-LL-A7T0	1	10	9	6	13	1	0	2	2	3	0	11	5	13	1
BRCA_TCGA-LL-A8F5	2	7	0	4	15	12	4	2	7	19	14	17	73	18	6
BRCA_TCGA-LL-A9Q3	0	11	7	5	0	3	4	2	1	0	3	7	18	6	1
BRCA_TCGA-OK-A5Q2	0	5	0	8	11	3	0	0	0	3	0	5	5	0	3
BRCA_TCGA-OL-A5D6	0	5	0	4	13	1	0	1	1	2	7	6	11	5	1
BRCA_TCGA-OL-A5D7	1	12	0	0	0	7	0	0	5	4	5	14	25	4	3
BRCA_TCGA-OL-A5D8	0	3	6	0	7	0	0	3	0	3	4	3	4	1	5
BRCA_TCGA-OL-A5DA	1	7	2	16	0	6	0	0	2	1	6	60	8	3	2
BRCA_TCGA-OL-A5RU	0	8	5	1	3	0	0	1	2	0	10	1	9	6	0
BRCA_TCGA-OL-A5RV	0	3	0	1	5	3	0	0	0	0	0	0	4	0	1
BRCA_TCGA-OL-A5RW	1	0	8	8	1	14	0	0	8	14	4	114	70	7	4
BRCA_TCGA-OL-A5RX	0	7	6	3	0	1	0	0	2	4	0	3	1	8	0
BRCA_TCGA-OL-A5RY	0	2	2	0	1	2	0	0	0	2	0	3	1	0	0
BRCA_TCGA-OL-A5RZ	4	20	15	9	10	0	2	1	4	0	12	18	39	16	2
BRCA_TCGA-OL-A5S0	0	13	0	3	1	5	0	0	4	0	2	5	7	2	2
BRCA_TCGA-OL-A66H	0	3	2	0	0	3	0	1	0	2	1	0	11	4	0
BRCA_TCGA-OL-A66I	0	2	4	3	12	0	2	0	0	1	10	4	17	1	0
BRCA_TCGA-OL-A66J	2	4	6	1	18	0	0	0	0	10	12	9	4	1	1
BRCA_TCGA-OL-A66K	0	5	13	1	1	0	0	0	0	1	5	3	16	2	0
BRCA_TCGA-OL-A66L	1	5	4	7	0	0	0	5	1	5	9	57	0	0	0
BRCA_TCGA-OL-A66N	0	10	4	4	13	2	0	0	0	5	5	2	5	7	1
BRCA_TCGA-OL-A66O	0	4	3	0	11	0	0	3	0	5	3	1	6	1	1
BRCA_TCGA-OL-A66P	5	8	4	6	0	6	3	3	15	3	9	2	39	19	1
BRCA_TCGA-OL-A6VO	3	9	2	0	1	3	0	0	0	3	4	2	10	0	1
BRCA_TCGA-OL-A6VQ	3	8	2	5	0	4	0	4	4	0	4	43	5	0	0
BRCA_TCGA-OL-A6VR	0	2	5	1	1	2	0	0	1	0	0	1	1	3	0
BRCA_TCGA-OL-A97C	1	8	5	0	1	10	6	4	4	2	6	1	20	2	0
BRCA_TCGA-PE-A5DC	0	11	4	4	10	6	3	0	7	3	12	20	39	27	8
BRCA_TCGA-PE-A5DD	0	11	2	7	0	1	0	2	1	5	13	37	0	6	0
BRCA_TCGA-PE-A5DE	2	0	15	82	0	7	0	32	0	0	69	482	0	0	0
BRCA_TCGA-PL-A8LV	7	3	4	2	11	5	0	0	6	14	10	43	43	5	2
BRCA_TCGA-PL-A8LX	0	7	3	0	3	6	1	0	7	0	2	0	18	0	2
BRCA_TCGA-PL-A8LY	0	0	0	0	1	1	0	0	0	3	1	0	0	0	1
BRCA_TCGA-PL-A8LZ	1	0	6	8	8	3	9	0	0	6	23	12	30	30	0
BRCA_TCGA-S3-A6ZF	1	21	0	0	0	2	0	0	2	0	6	6	9	3	2
BRCA_TCGA-S3-A6ZG	0	9	0	10	7	6	0	0	0	6	1	2	11	5	3
BRCA_TCGA-S3-A6ZH	1	7	6	5	2	3	0	0	0	0	0	3	11	3	4
BRCA_TCGA-S3-AA0Z	5	16	0	0	0	5	0	4	5	4	12	18	3	4	1
BRCA_TCGA-S3-AA10	0	2	3	0	9	8	1	1	9	1	16	20	73	2	5
BRCA_TCGA-S3-AA11	5	0	6	6	1	5	2	1	5	3	13	3	24	22	0
BRCA_TCGA-S3-AA12	0	7	0	3	8	0	1	1	3	2	12	5	12	4	2
BRCA_TCGA-S3-AA14	0	5	2	0	6	1	0	0	0	0	0	5	5	0	0
BRCA_TCGA-S3-AA15	1	3	2	5	0	0	2	0	0	1	5	34	5	0	2
BRCA_TCGA-S3-AA17	0	6	3	6	7	10	0	5	4	14	5	17	45	15	4
BRCA_TCGA-UL-AAZ6	4	3	7	4	10	17	4	1	6	4	8	19	32	17	4
BRCA_TCGA-UU-A93S	5	0	26	2	9	0	6	0	0	11	25	18	49	41	4
BRCA_TCGA-V7-A7HQ	0	5	2	1	0	1	0	0	2	0	3	5	6	6	0
BRCA_TCGA-W8-A86G	0	2	2	1	11	2	0	3	2	0	3	1	8	0	0
BRCA_TCGA-WT-AB41	0	5	0	4	7	7	0	5	2	0	11	18	0	3	0
BRCA_TCGA-WT-AB44	2	8	10	2	7	1	0	3	0	4	5	0	10	7	1
BRCA_TCGA-XX-A899	0	0	1	9	3	4	0	3	1	0	9	24	3	3	0
BRCA_TCGA-XX-A89A	2	10	4	19	10	2	0	0	0	8	3	195	12	0	0
BRCA_TCGA-Z7-A8R5	0	13	0	0	8	5	0	1	0	2	0	1	1	3	0
BRCA_TCGA-Z7-A8R6	3	5	10	10	1	5	0	4	2	0	13	51	2	0	1
COAD_TCGA-3L-AA1B	4	51	14	20	31	0	1	0	0	5	12	8	2	32	0
COAD_TCGA-4N-A93T	5	30	2	10	36	9	0	1	0	13	6	1	10	19	1
COAD_TCGA-4T-AA8H	6	41	25	10	25	2	3	0	0	8	32	1	14	12	0
COAD_TCGA-5M-AAT4	9	59	26	7	22	2	3	1	0	5	2	17	52	27	23
COAD_TCGA-5M-AAT5	9	42	13	3	9	1	1	0	0	3	12	3	3	22	3
COAD_TCGA-5M-AAT6	0	637	424	96	440	148	26	0	182	533	0	0	0	0	23
COAD_TCGA-5M-AATA	1	31	16	8	29	2	0	1	4	3	5	0	15	1	2
COAD_TCGA-5M-AATE	3	42	16	11	48	8	0	1	0	3	7	12	15	11	7
COAD_TCGA-A6-2671	2	25	11	4	17	0	0	5	0	2	0	1	11	16	0
COAD_TCGA-A6-2674	1	48	14	10	25	0	0	2	0	7	5	23	10	19	3
COAD_TCGA-A6-2675	1	46	19	5	32	0	0	0	0	5	3	8	10	9	2
COAD_TCGA-A6-2677	2	50	15	21	31	7	1	2	0	10	12	0	15	30	3
COAD_TCGA-A6-2681	1	48	10	7	36	0	0	7	0	17	0	0	24	25	7
COAD_TCGA-A6-2684	1	55	17	8	6	0	1	0	0	9	12	9	7	21	1
COAD_TCGA-A6-2685	1	25	4	3	5	3	0	0	0	3	2	7	7	7	0
COAD_TCGA-A6-2686	8	684	366	98	211	401	221	0	64	265	65	6	83	33	22
COAD_TCGA-A6-3809	8	268	200	16	164	164	99	14	135	266	0	0	32	61	49
COAD_TCGA-A6-3810	0	38	17	14	60	7	0	0	0	15	23	19	30	14	13
COAD_TCGA-A6-4105	0	40	35	5	45	0	1	7	1	11	1	12	17	41	3
COAD_TCGA-A6-4107	11	80	8	10	24	18	1	3	0	21	14	7	17	30	3
COAD_TCGA-A6-5656	1	51	21	10	38	0	0	0	0	8	2	2	10	19	2
COAD_TCGA-A6-5657	0	31	4	16	48	0	0	0	0	1	13	10	0	36	0
COAD_TCGA-A6-5659	12	106	16	36	0	7	6	0	4	12	22	6	7	73	2
COAD_TCGA-A6-5660	1	53	9	10	27	5	0	1	2	15	1	8	20	15	0
COAD_TCGA-A6-5661	9	372	277	57	240	230	110	0	0	162	0	0	65	34	5
COAD_TCGA-A6-5662	0	12	11	8	26	1	0	0	0	5	4	4	8	12	0
COAD_TCGA-A6-5664	3	15	6	1	21	0	0	6	4	10	0	0	3	7	2
COAD_TCGA-A6-5665	8	457	315	64	238	147	135	0	434	297	0	0	28	59	38
COAD_TCGA-A6-5666	5	30	9	14	32	0	0	1	0	10	0	3	0	14	5
COAD_TCGA-A6-5667	0	29	0	6	5	6	0	4	0	0	16	4	9	11	0
COAD_TCGA-A6-6137	3	31	9	13	36	5	0	0	2	6	13	3	12	24	4
COAD_TCGA-A6-6138	0	30	9	6	35	7	0	3	2	11	28	0	9	9	2
COAD_TCGA-A6-6142	0	34	2	3	5	9	1	11	10	1	9	4	7	18	3
COAD_TCGA-A6-6648	2	28	27	3	0	0	0	5	5	9	18	6	12	2	0
COAD_TCGA-A6-6649	1	37	18	9	45	4	0	0	0	9	5	9	18	6	4
COAD_TCGA-A6-6651	2	27	11	2	8	1	0	2	2	12	0	14	15	22	3
COAD_TCGA-A6-6652	1	31	1	1	17	12	0	0	5	3	9	6	8	9	5
COAD_TCGA-A6-6653	0	450	128	66	253	166	43	0	95	101	3	0	21	36	19
COAD_TCGA-A6-6654	0	93	28	15	84	0	0	1	0	6	0	6	1	8	1
COAD_TCGA-A6-6780	0	319	175	18	138	123	152	3	134	309	0	2	35	34	35
COAD_TCGA-A6-6781	0	995	324	79	451	283	65	0	0	242	0	0	31	0	4
COAD_TCGA-A6-6782	6	30	8	12	40	3	0	0	2	4	7	12	19	41	7
COAD_TCGA-A6-A565	0	119	71	16	65	73	24	0	18	70	14	4	5	7	3
COAD_TCGA-A6-A566	6	59	14	13	47	6	0	1	0	1	20	5	3	41	1
COAD_TCGA-A6-A567	5	20	0	10	13	1	0	0	2	3	1	0	8	12	2
COAD_TCGA-A6-A56B	0	43	9	9	19	2	0	2	0	7	0	3	16	21	0
COAD_TCGA-AA-3489	6	15	7	9	28	4	0	7	3	7	10	9	19	22	1
COAD_TCGA-AA-3492	0	510	506	93	365	288	151	26	189	367	0	18	112	17	32
COAD_TCGA-AA-3496	5	55	6	13	16	9	0	1	11	5	8	4	10	20	9
COAD_TCGA-AA-3502	0	76	30	25	41	0	0	2	0	14	3	3	11	37	5
COAD_TCGA-AA-3506	4	77	16	16	35	0	0	0	9	0	2	1	4	39	8
COAD_TCGA-AA-3510	1592	22	419	1456	9	84	10	701	91	0	0	0	0	199	0
COAD_TCGA-AA-3511	2	46	2	17	0	11	0	19	8	0	5	16	32	6	14
COAD_TCGA-AA-3522	1	0	5	3	4	0	0	0	0	1	0	0	2	0	0
COAD_TCGA-AA-3556	0	11	7	0	1	0	0	0	0	2	2	0	0	2	1
COAD_TCGA-AA-3655	0	29	18	8	12	0	1	5	10	1	5	2	0	15	1
COAD_TCGA-AA-3660	2	42	35	12	32	0	0	0	0	3	14	2	0	35	1
COAD_TCGA-AA-3662	3	36	0	4	28	2	0	2	0	8	4	4	6	17	0
COAD_TCGA-AA-3663	21	282	261	24	128	335	322	4	450	339	29	5	57	20	83
COAD_TCGA-AA-3697	0	27	17	12	74	6	0	0	0	11	0	24	48	49	11
COAD_TCGA-AA-3712	9	2	14	7	55	0	0	0	0	1	1	74	6	28	0
COAD_TCGA-AA-3713	2	220	327	41	180	58	78	0	15	132	33	6	68	22	23
COAD_TCGA-AA-3947	23	495	590	74	196	312	332	32	164	392	14	10	143	65	117
COAD_TCGA-AA-3984	1837	173	931	2325	47	73	131	1456	517	0	6	0	0	12	54
COAD_TCGA-AA-A00N	1675	266	979	2621	14	0	127	1070	484	0	0	0	0	0	92
COAD_TCGA-AA-A010	3941	156	1316	2205	984	235	727	844	555	0	0	0	0	0	214
COAD_TCGA-AA-A01P	0	244	170	45	212	116	35	4	84	113	0	3	22	29	19
COAD_TCGA-AA-A01R	0	902	382	120	477	182	89	0	33	258	0	0	51	2	10
COAD_TCGA-AA-A022	0	460	407	90	386	150	80	0	20	238	0	0	55	19	2
COAD_TCGA-AD-5900	0	402	359	85	197	253	185	8	63	265	0	7	43	43	0
COAD_TCGA-AD-6548	0	58	0	11	17	9	0	0	10	3	9	9	4	31	10
COAD_TCGA-AD-6888	1	59	16	12	5	2	6	10	4	7	0	0	3	17	2
COAD_TCGA-AD-6889	15	482	286	50	112	376	198	8	65	315	23	11	53	55	21
COAD_TCGA-AD-6890	1	37	17	7	45	0	0	2	0	8	0	5	0	20	2
