Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
BRCA_TCGA-AC-A2FO	1	0	0	2	5	0	0	1	0	0	3	10	4	1	0
BRCA_TCGA-AC-A2QH	1	3	4	0	8	2	1	0	0	0	0	4	3	1	0
BRCA_TCGA-AC-A3HN	0	2	4	1	0	0	0	0	2	0	1	2	7	1	2
BRCA_TCGA-AC-A3OD	3	0	6	5	4	2	2	1	0	0	8	6	2	0	0
BRCA_TCGA-AC-A3QP	0	1	0	3	0	1	0	0	2	7	1	0	7	13	0
BRCA_TCGA-AC-A3QQ	2	6	5	0	0	1	0	0	0	0	9	1	10	0	2
BRCA_TCGA-AC-A3W5	1	4	13	7	0	8	1	0	0	6	20	59	81	5	6
BRCA_TCGA-AC-A3YI	0	1	3	3	0	0	0	0	2	1	2	0	1	5	0
BRCA_TCGA-AC-A3YJ	1	5	3	1	3	0	0	1	3	1	12	4	4	0	0
BRCA_TCGA-AC-A4ZE	0	4	6	3	6	5	0	1	0	10	4	7	17	11	0
BRCA_TCGA-AC-A5EH	8	11	0	5	0	16	4	0	5	17	17	26	57	32	7
BRCA_TCGA-AC-A5EI	0	3	1	3	6	0	0	2	2	3	6	10	7	0	0
BRCA_TCGA-AC-A5XS	15	0	5	61	0	0	1	12	0	0	68	529	24	0	0
BRCA_TCGA-AC-A5XU	1	20	13	3	12	0	2	7	2	0	11	18	3	21	0
BRCA_TCGA-AC-A62V	6	18	23	3	0	2	0	0	0	3	13	8	27	3	0
BRCA_TCGA-AC-A62X	6	27	8	1	7	0	1	0	4	2	7	4	10	8	2
BRCA_TCGA-AC-A62Y	0	7	1	2	16	4	0	0	2	8	2	27	18	0	2
BRCA_TCGA-AC-A6IV	0	3	0	4	0	3	2	0	0	2	5	0	3	5	0
BRCA_TCGA-AC-A6IW	0	14	14	5	0	3	1	0	2	9	28	90	43	17	5
BRCA_TCGA-AC-A6IX	0	2	5	1	6	1	0	4	2	6	14	30	0	0	0
BRCA_TCGA-AC-A6NO	0	4	1	2	10	4	0	0	3	4	3	3	0	9	0
BRCA_TCGA-AC-A7VB	0	5	5	0	6	1	0	0	0	5	6	0	0	7	0
BRCA_TCGA-AC-A7VC	0	4	1	3	4	3	0	0	1	1	2	0	4	3	0
BRCA_TCGA-AC-A8OP	9	25	8	14	23	15	16	6	8	10	8	24	62	14	2
BRCA_TCGA-AC-A8OQ	0	5	10	10	34	1	0	1	3	0	14	17	20	16	6
BRCA_TCGA-AC-A8OR	0	4	6	0	3	1	0	0	0	0	4	1	8	4	1
BRCA_TCGA-AC-A8OS	0	6	0	1	6	4	0	4	4	7	10	17	13	3	4
BRCA_TCGA-AN-A0XL	3	6	0	2	2	0	3	0	3	3	9	0	1	8	0
BRCA_TCGA-AN-A0XN	5	4	6	4	6	10	6	0	13	7	8	15	53	28	10
BRCA_TCGA-AN-A0XO	0	0	3	6	3	0	0	1	4	5	3	9	9	0	0
BRCA_TCGA-AN-A0XP	1	4	2	1	1	1	0	0	7	0	1	7	7	0	2
BRCA_TCGA-AN-A0XR	0	4	0	0	4	5	0	0	0	0	6	6	8	5	0
BRCA_TCGA-AN-A0XS	0	3	1	3	0	5	0	1	0	0	2	8	5	4	0
BRCA_TCGA-AN-A0XT	0	3	1	1	11	1	0	0	0	0	5	0	0	0	0
BRCA_TCGA-AN-A0XU	9	4	0	3	11	7	2	0	0	13	8	16	52	12	0
BRCA_TCGA-AN-A0XV	0	4	7	4	0	1	0	0	4	2	2	5	12	3	0
