Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
BRCA_TCGA-AR-A1AK	6.54E-01	1.07E+00	0.00E+00	2.67E-01	2.22E+00	9.89E-01	7.72E-01	2.05E+00	1.86E+00
BRCA_TCGA-AR-A1AL	1.00E-01	1.31E+00	4.82E-01	5.26E-01	1.28E+00	6.40E-01	6.15E-01	9.67E-01	1.05E+00
BRCA_TCGA-AR-A1AN	0.00E+00	1.79E+00	8.84E-01	2.13E-01	1.44E+00	0.00E+00	6.99E-01	7.78E-01	1.28E+00
BRCA_TCGA-AR-A1AO	1.12E+00	1.41E+00	9.64E-01	2.13E+00	7.94E+00	1.27E+00	7.61E-01	1.26E+00	7.37E+00
BRCA_TCGA-AR-A1AP	8.62E-01	9.92E-01	0.00E+00	1.10E+00	1.69E+00	4.00E-01	6.50E-01	9.17E-01	1.73E+00
BRCA_TCGA-AR-A1AQ	0.00E+00	1.08E+00	9.31E-01	8.27E-01	1.90E+00	3.00E-01	0.00E+00	6.36E-01	1.20E+00
BRCA_TCGA-AR-A1AR	7.72E-01	1.26E+00	1.00E-01	7.46E-01	5.16E+00	4.01E-01	6.05E-01	1.30E+00	4.57E+00
BRCA_TCGA-AR-A1AS	4.52E-01	4.16E-01	3.67E-01	6.87E-01	1.03E+00	4.00E-01	1.02E+00	8.82E-01	1.78E+00
BRCA_TCGA-AR-A1AT	4.42E-01	1.06E+00	1.35E+00	7.45E-01	2.05E+00	4.33E-01	3.06E-01	4.27E-01	1.97E+00
BRCA_TCGA-AR-A1AU	1.00E-01	6.67E-01	0.00E+00	9.20E-01	1.19E+00	0.00E+00	8.94E-01	8.03E-01	1.06E+00
BRCA_TCGA-AR-A1AV	1.20E+00	1.81E+00	6.96E-01	1.00E+00	1.91E+00	6.00E-01	9.67E-01	1.38E+00	2.15E+00
BRCA_TCGA-AR-A1AW	6.57E-01	1.25E+00	9.07E-01	1.18E+00	2.14E+00	0.00E+00	1.49E+00	6.86E-01	1.78E+00
BRCA_TCGA-AR-A1AX	6.05E-01	1.36E+00	5.47E-01	3.59E-01	1.31E+00	1.10E+00	2.00E-01	7.67E-01	1.35E+00
BRCA_TCGA-AR-A1AY	7.92E-01	1.33E+00	1.80E+00	7.92E-01	3.26E+00	1.98E+00	5.00E-01	1.75E+00	3.14E+00
BRCA_TCGA-AR-A24H	1.36E+00	1.49E+00	2.03E+00	1.79E+00	1.24E+01	1.39E+00	1.65E+00	2.13E+00	1.14E+01
BRCA_TCGA-AR-A24K	3.00E-01	9.43E-01	1.09E+00	1.00E-01	2.40E+00	1.13E+00	7.61E-01	0.00E+00	2.14E+00
BRCA_TCGA-AR-A24L	0.00E+00	4.82E-01	2.00E-01	1.29E+00	3.80E+00	5.00E-01	1.21E+00	7.16E-01	3.84E+00
BRCA_TCGA-AR-A24M	2.00E-01	7.06E-01	1.16E+00	4.73E-01	1.34E+00	1.15E+00	7.22E-01	3.48E-01	1.69E+00
BRCA_TCGA-AR-A24N	0.00E+00	1.07E+00	1.29E+00	1.33E+00	1.75E+00	2.54E+00	5.26E-01	1.23E+00	1.02E+00
BRCA_TCGA-AR-A24O	3.59E-01	7.92E-01	9.80E-01	2.13E-01	1.50E+00	1.43E+00	1.00E-01	4.90E-01	9.32E-01
BRCA_TCGA-AR-A24P	3.06E-01	9.80E-01	4.67E-01	7.06E-01	1.19E+00	1.08E+00	2.13E-01	0.00E+00	7.22E-01
BRCA_TCGA-AR-A24Q	1.38E+00	6.05E-01	2.21E+00	1.76E+00	1.68E+01	2.30E+00	8.69E-01	1.92E+00	1.72E+01
BRCA_TCGA-AR-A24R	0.00E+00	9.98E-01	8.70E-01	4.23E-01	1.07E+00	1.55E+00	3.79E-01	5.04E-01	1.19E+00
BRCA_TCGA-AR-A24S	5.21E-01	1.25E+00	0.00E+00	9.43E-01	2.16E+00	1.59E+00	1.56E+00	1.09E+00	1.24E+00
BRCA_TCGA-AR-A24T	0.00E+00	7.45E-01	1.00E-01	2.00E-01	1.36E+00	1.00E-01	1.53E-01	7.02E-01	1.28E+00
BRCA_TCGA-AR-A24U	0.00E+00	1.06E+00	0.00E+00	7.57E-01	1.85E+00	4.52E-01	0.00E+00	1.04E+00	1.28E+00
BRCA_TCGA-AR-A24V	0.00E+00	1.22E+00	3.35E-01	5.26E-01	2.03E+00	2.00E-01	6.57E-01	7.33E-01	1.29E+00
BRCA_TCGA-AR-A24W	3.42E-01	2.13E-01	5.54E-01	8.57E-01	1.35E+00	1.40E+00	0.00E+00	5.04E-01	4.73E-01
BRCA_TCGA-AR-A24X	7.92E-01	7.06E-01	2.67E-01	8.57E-01	2.06E+00	5.16E-01	7.77E-01	0.00E+00	2.02E+00
BRCA_TCGA-AR-A24Z	6.05E-01	1.27E+00	1.35E+00	8.31E-01	4.63E+00	6.00E-01	3.06E-01	1.02E+00	4.46E+00
BRCA_TCGA-AR-A250	1.92E+00	2.71E+00	6.57E-01	1.70E+00	3.37E+00	2.08E+00	9.40E-01	1.81E+00	2.99E+00
BRCA_TCGA-AR-A251	1.25E+00	5.73E-01	2.35E+00	1.46E+00	1.73E+01	2.22E+00	1.51E+00	2.67E+00	1.78E+01
BRCA_TCGA-AR-A252	0.00E+00	1.01E+00	5.42E-01	6.80E-01	7.06E-01	4.27E-01	9.48E-01	5.54E-01	4.42E-01
BRCA_TCGA-AR-A254	6.96E-01	1.40E+00	0.00E+00	1.16E+00	2.63E+00	1.20E+00	0.00E+00	6.84E-01	2.10E+00
BRCA_TCGA-AR-A255	1.34E+00	1.55E+00	1.66E+00	7.78E-01	3.47E+00	5.54E-01	9.33E-01	1.70E+00	2.50E+00
BRCA_TCGA-AR-A256	6.63E-01	1.05E+00	1.78E+00	5.96E-01	1.92E+01	1.47E+00	1.15E+00	2.25E+00	1.87E+01
BRCA_TCGA-AR-A2LE	2.68E+00	1.53E+00	1.19E+00	9.60E-01	2.86E+00	2.57E+00	7.90E-01	5.99E+00	5.36E+00
BRCA_TCGA-AR-A2LH	3.67E-01	1.17E+00	4.99E-01	8.27E-01	1.15E+00	7.57E-01	4.96E-01	1.94E+00	1.36E+00
BRCA_TCGA-AR-A2LK	0.00E+00	9.68E-01	8.00E-01	1.24E+00	1.70E+00	1.95E+00	5.26E-01	1.12E+00	1.86E+00
BRCA_TCGA-AR-A2LL	8.97E-01	1.38E+00	4.16E-01	4.00E-01	1.92E+00	2.26E+00	5.47E-01	5.04E-01	9.36E-01
BRCA_TCGA-AR-A2LM	4.52E-01	5.17E-01	1.63E-01	0.00E+00	1.62E+00	2.67E-01	0.00E+00	3.07E-01	1.70E+00
BRCA_TCGA-AR-A2LN	0.00E+00	1.34E+00	0.00E+00	7.57E-01	1.56E+00	9.36E-01	7.52E-01	1.73E+00	9.66E-01
BRCA_TCGA-AR-A2LO	2.00E-01	6.05E-01	0.00E+00	0.00E+00	1.36E+00	0.00E+00	0.00E+00	4.73E-01	1.25E+00
BRCA_TCGA-AR-A2LQ	0.00E+00	7.60E-01	2.00E-01	0.00E+00	7.34E-01	4.00E-01	6.01E-01	0.00E+00	1.08E+00
BRCA_TCGA-AR-A2LR	6.32E-01	1.34E+00	1.00E-01	1.22E+00	5.24E+00	2.31E+00	4.00E-01	7.00E-01	3.38E+00
BRCA_TCGA-AR-A5QM	0.00E+00	1.03E+00	1.21E+00	0.00E+00	2.35E+00	8.97E-01	0.00E+00	0.00E+00	2.41E+00
BRCA_TCGA-AR-A5QN	0.00E+00	1.89E+00	8.31E-01	1.89E+00	2.23E+00	2.40E+00	1.32E+00	9.43E-01	9.33E-01
BRCA_TCGA-AR-A5QP	4.00E-01	1.05E+00	1.19E+00	9.20E-01	2.68E+00	1.27E+00	1.01E+00	5.33E-01	7.37E-01
BRCA_TCGA-AR-A5QQ	5.63E-01	1.61E+00	2.12E+00	1.02E+00	5.80E+00	1.00E+00	1.71E+00	1.13E+00	5.59E+00
BRCA_TCGA-B6-A0I1	0.00E+00	1.32E+00	2.67E-01	0.00E+00	6.45E+00	1.69E+00	5.81E-01	1.26E+00	5.85E+00
BRCA_TCGA-B6-A0IH	7.06E-01	1.18E+00	0.00E+00	1.12E+00	1.87E+00	1.58E+00	9.89E-01	3.06E-01	1.67E+00
BRCA_TCGA-B6-A0RH	5.26E-01	1.42E+00	3.42E-01	6.40E-01	1.87E+00	1.84E+00	4.67E-01	1.26E+00	1.67E+00
BRCA_TCGA-B6-A0RL	8.27E-01	2.01E+00	1.97E+00	9.83E-01	3.33E+00	1.99E+00	9.89E-01	1.06E+00	1.40E+00
BRCA_TCGA-B6-A0RM	7.45E-01	1.03E+00	1.06E+00	1.05E+00	2.01E+00	1.10E+00	5.21E-01	1.06E+00	1.22E+00
BRCA_TCGA-B6-A0RN	8.83E-01	1.19E+00	1.17E+00	9.55E-01	1.66E+00	5.93E-01	8.43E-01	3.40E-01	1.21E+00
BRCA_TCGA-B6-A0RO	1.03E+00	7.18E-01	1.25E+00	5.37E-01	1.72E+00	1.60E+00	3.94E-01	8.84E-01	1.97E+00
BRCA_TCGA-B6-A0RP	0.00E+00	5.17E-01	4.16E-01	1.02E+00	2.41E+00	1.86E+00	8.09E-01	1.00E-01	1.97E+00
BRCA_TCGA-B6-A0RQ	4.96E-01	7.12E-01	8.19E-01	4.23E-01	2.69E+00	1.89E+00	1.35E+00	1.46E+00	7.12E-01
BRCA_TCGA-B6-A0RT	1.14E+00	7.77E-01	0.00E+00	1.14E+00	4.49E+00	1.59E+00	8.27E-01	1.08E+00	4.06E+00
BRCA_TCGA-B6-A0RU	1.42E+00	1.35E+00	1.63E+00	7.86E-01	2.69E+00	9.68E-01	1.82E+00	1.16E+00	2.64E+00
BRCA_TCGA-B6-A0RV	7.92E-01	8.94E-01	0.00E+00	0.00E+00	9.04E-01	4.82E-01	7.86E-01	1.65E+00	8.95E-01
BRCA_TCGA-B6-A0WS	4.48E-01	4.07E-01	7.37E-01	2.60E-01	9.89E-01	0.00E+00	1.16E+00	4.90E-01	4.96E-01
BRCA_TCGA-B6-A0WT	1.05E+00	1.12E+00	5.97E-01	1.00E-01	5.37E-01	0.00E+00	7.42E-01	4.01E-01	6.71E-01
BRCA_TCGA-B6-A0WV	0.00E+00	7.15E-01	8.54E-01	5.39E-01	2.08E+00	1.67E+00	8.97E-01	7.63E-01	1.73E+00
BRCA_TCGA-B6-A0WW	1.38E+00	1.11E+00	5.17E-01	7.16E-01	2.51E+00	0.00E+00	1.11E+00	8.62E-01	2.12E+00
