Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_dirichlet_train_fold1.13	0.999999999999996	0.785	0.753	75.3%	0.103	62.003%	0.45061	0.622
EXO1_dirichlet_train_fold1.14	0.9999999999999959	0.773	0.692	69.2%	0.115	63.268%	0.46339	0.642
RNF168_dirichlet_train_fold1.17	0.9999999999999994	0.761	0.692	69.2%	0.097	65.126%	0.41524	0.472
EXO1_dirichlet_train_fold1.15	0.9999999999999956	0.753	0.683	68.3%	0.094	67.045%	0.37037	0.383
RNF168_dirichlet_train_fold1.18	0.9999999999999996	0.78	0.773	77.3%	0.109	62.909%	0.46257	0.652
RNF168_dirichlet_train_fold1.19	0.9999999999999996	0.782	0.692	69.2%	0.104	62.104%	0.4892	0.618
RNF168_dirichlet_train_fold1.20	0.9999999999999996	0.8	0.699	69.9%	0.101	60.105%	0.45409	0.657
EXO1_dirichlet_train_fold1.16	0.9999999999999956	0.704	0.792	79.2%	0.111	72.488%	0.52958	0.386
EXO1_dirichlet_train_fold1.17	0.9999999999999952	0.871	0.623	62.3%	0.088	49.052%	0.3418	0.802
RNF168_dirichlet_train_fold1.21	0.9999999999999996	0.762	0.693	69.3%	0.106	64.488%	0.48563	0.564
EXO1_dirichlet_train_fold1.18	0.9999999999999957	0.832	0.615	61.5%	0.083	55.811%	0.30739	0.649
EXO1_dirichlet_train_fold1.19	0.9999999999999953	0.776	0.703	70.3%	0.104	63.261%	0.42026	0.594
EXO1_dirichlet_train_fold1.20	0.9999999999999953	0.811	0.624	62.4%	0.091	58.337%	0.35858	0.633
EXO1_dirichlet_train_fold1.21	0.9999999999999956	0.766	0.684	68.4%	0.098	64.373%	0.3969	0.513
RNF168_dirichlet_train_fold1.22	0.9999999999999996	0.824	0.67	67.0%	0.091	56.822%	0.45231	0.683
RNF168_dirichlet_train_fold1.23	0.9999999999999996	0.761	0.735	73.5%	0.103	65.509%	0.48427	0.532
EXO1_dirichlet_train_fold1.22	0.9999999999999946	0.782	0.691	69.1%	0.097	65.089%	0.39952	0.573
RNF168_dirichlet_train_fold1.24	0.9999999999999996	0.739	0.775	77.5%	0.124	67.24%	0.54935	0.588
EXO1_dirichlet_train_fold1.23	0.9999999999999953	0.809	0.652	65.2%	0.087	58.892%	0.35532	0.585
EXO1_dirichlet_train_fold1.24	0.9999999999999956	0.765	0.73	73.0%	0.1	64.692%	0.41204	0.518
EXO1_dirichlet_train_fold1.25	0.9999999999999951	0.81	0.631	63.1%	0.085	59.47%	0.33501	0.574
EXO1_dirichlet_train_fold1.26	0.999999999999996	0.762	0.703	70.3%	0.103	65.04%	0.45009	0.542
EXO1_dirichlet_train_fold1.27	0.9999999999999951	0.801	0.696	69.6%	0.097	59.978%	0.3888	0.646
RNF168_dirichlet_train_fold1.25	0.9999999999999997	0.723	0.719	71.9%	0.107	69.769%	0.53215	0.419
RNF168_dirichlet_train_fold1.26	0.9999999999999996	0.808	0.748	74.8%	0.107	58.854%	0.49684	0.703
EXO1_dirichlet_train_fold1.28	0.9999999999999956	0.705	0.762	76.2%	0.116	71.111%	0.44962	0.435
RNF168_dirichlet_train_fold1.27	0.9999999999999996	0.838	0.694	69.4%	0.101	54.883%	0.42788	0.756
RNF168_dirichlet_train_fold1.28	0.9999999999999997	0.85	0.648	64.8%	0.089	52.705%	0.3671	0.75
EXO1_dirichlet_train_fold1.29	0.9999999999999961	0.807	0.649	64.9%	0.093	59.182%	0.40024	0.631
EXO1_dirichlet_train_fold1.30	0.9999999999999958	0.815	0.659	65.9%	0.096	57.979%	0.39375	0.678
RNF168_dirichlet_train_fold1.29	0.9999999999999996	0.789	0.697	69.7%	0.106	61.411%	0.45314	0.647
RNF168_dirichlet_train_fold1.30	0.9999999999999994	0.804	0.666	66.6%	0.093	59.944%	0.41252	0.617
EXO1_dirichlet_train_fold1.31	0.9999999999999951	0.763	0.696	69.6%	0.097	65.466%	0.37796	0.479
EXO1_dirichlet_train_fold1.32	0.9999999999999953	0.782	0.692	69.2%	0.101	62.613%	0.41772	0.607
