Samples	SBS96A	SBS96B	SBS96C
OGG1_0_multinomial_train1.26	6.55E-02	1.53E-26	1.77E-01
UNG_0_multinomial_train1.30	7.59E-02	8.55E-02	5.74E-02
OGG1_0_multinomial_train1.27	6.53E-02	1.53E-26	1.67E-01
OGG1_0_multinomial_train1.28	6.61E-02	1.53E-26	1.64E-01
UNG_0_multinomial_train1.31	7.45E-02	8.12E-02	5.79E-02
UNG_0_multinomial_train1.32	7.39E-02	8.34E-02	5.74E-02
UNG_0_multinomial_train1.33	7.40E-02	7.83E-02	5.55E-02
OGG1_0_multinomial_train1.29	6.51E-02	1.53E-26	1.58E-01
OGG1_0_multinomial_train1.30	6.63E-02	1.53E-26	1.66E-01
UNG_0_multinomial_train1.34	7.52E-02	8.47E-02	5.64E-02
OGG1_0_multinomial_train1.31	6.61E-02	1.53E-26	1.65E-01
UNG_0_multinomial_train1.35	6.93E-02	7.51E-02	6.02E-02
UNG_0_multinomial_train1.36	7.40E-02	7.87E-02	5.48E-02
UNG_0_multinomial_train1.37	6.21E-02	7.52E-02	6.17E-02
OGG1_0_multinomial_train1.32	6.44E-02	3.56E-03	1.55E-01
UNG_0_multinomial_train1.38	7.17E-02	8.05E-02	5.69E-02
OGG1_0_multinomial_train1.33	6.45E-02	3.09E-03	1.55E-01
OGG1_0_multinomial_train1.34	6.51E-02	1.53E-26	1.60E-01
OGG1_0_multinomial_train1.35	6.46E-02	1.53E-26	1.57E-01
OGG1_0_multinomial_train1.36	6.60E-02	1.53E-26	1.71E-01
OGG1_0_multinomial_train1.37	6.65E-02	1.53E-26	1.70E-01
OGG1_0_multinomial_train1.38	6.52E-02	1.53E-26	1.70E-01
UNG_0_multinomial_train1.39	7.40E-02	8.18E-02	6.06E-02
OGG1_0_multinomial_train1.39	6.43E-02	5.27E-03	1.54E-01
UNG_0_multinomial_train1.40	5.20E-02	8.27E-02	5.90E-02
OGG1_0_multinomial_train1.40	6.42E-02	1.53E-26	1.60E-01
OGG1_0_multinomial_train1.41	6.62E-02	1.53E-26	1.66E-01
UNG_0_multinomial_train1.41	7.71E-02	7.90E-02	5.68E-02
OGG1_0_multinomial_train1.42	6.66E-02	1.53E-26	1.68E-01
UNG_0_multinomial_train1.42	7.47E-02	7.32E-02	6.54E-02
OGG1_0_multinomial_train1.43	6.55E-02	1.53E-26	1.63E-01
OGG1_0_multinomial_train1.44	6.57E-02	1.53E-26	1.62E-01
OGG1_0_multinomial_train1.45	6.53E-02	1.53E-26	1.63E-01
OGG1_0_multinomial_train1.46	6.46E-02	1.53E-26	1.56E-01
UNG_0_multinomial_train1.43	7.56E-02	8.88E-02	5.87E-02
OGG1_0_multinomial_train1.47	6.58E-02	1.53E-26	1.63E-01
OGG1_0_multinomial_train1.48	6.53E-02	1.53E-26	1.61E-01
OGG1_0_multinomial_train1.49	6.54E-02	1.53E-26	1.61E-01
OGG1_0_multinomial_train1.50	6.58E-02	1.53E-26	1.65E-01
UNG_0_multinomial_train1.44	7.24E-02	8.00E-02	5.52E-02
OGG1_0_multinomial_train1.51	6.54E-02	1.53E-26	1.60E-01
OGG1_0_multinomial_train1.52	6.61E-02	1.53E-26	1.67E-01
ATP2B4_0_multinomial_train1	1.21E-01	4.65E-02	1.02E-01
ATP2B4_1_multinomial_train1	1.53E-01	5.02E-02	1.26E-01
ATP2B4_0_multinomial_train1.1	1.28E-01	4.97E-02	1.12E-01
