Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
ATP2B4_0_multinomial_train1.22	1.4041035384196547e-292	2.18e-321	0.0567907656904384	1.7388984431762633e-05	0.1746739752491248	6.57760781803765e-238	0.6168134676290256	3.451521118176166e-82	2.032274797792975e-87	0.04766241444615788	0.10404198800082139
ATP2B4_0_multinomial_train1.23	2.3805025263404275e-154	3.329598832182559e-165	0.07087004376989711	6.662926925264534e-29	0.06805190130047416	0.05757294211987405	0.6201576881583711	2.788839886843672e-54	7.295772590632217e-66	0.13140308371297782	0.05194434093840571
ATP2B4_0_multinomial_train1.24	1.245e-321	1.09e-321	1.764e-321	2.287041825021958e-206	2.591220472974692e-116	0.1317102589482438	0.6225439379865292	9.395034675182275e-38	0.008803420682491334	0.08063331607846629	0.15630906630426944
ATP2B4_1_multinomial_train1.30	1.19e-321	1.07e-321	2.787e-321	2.060787965063944e-111	7.051195821864117e-265	7.479474048788821e-259	0.7092720764655287	0.02480004826677862	1.9886710129581025e-277	0.21844240882298116	0.047485466444711424
ATP2B4_1_multinomial_train1.31	1.000182126608122e-241	1.487e-321	7.821444835399297e-78	1.0533806192593375e-108	0.023796679274780623	1.067e-321	0.472630846427176	4.646462190998654e-104	9.098213590513017e-203	0.29417540223758604	0.20939707206045746
ATP2B4_1_multinomial_train1.32	0.04331102870537706	5.092159675425401e-219	2.45e-321	1.1194637863546938e-149	0.0006953106104479929	9.24e-322	0.5929451151964731	2.0749266838225834e-91	1.42479422588026e-236	0.2017663421962342	0.16128220329146759
ATP2B4_0_multinomial_train1.25	2.0713244238695203e-147	1.806910864712707e-209	2.448287342265662e-98	1.6616643862185633e-27	3.3244729462384843e-34	0.06304909741401939	0.5874335859696205	1.7729876398027533e-78	0.06278491295360307	0.16438529574642152	0.12234710791633559
ATP2B4_0_multinomial_train1.26	1.013e-321	8.25e-322	0.030559288823301112	6.124265228674436e-79	1.87644350815719e-15	0.17888588869760297	0.5227713332623964	1.6151940737884772e-47	8.716655786140663e-53	0.22154110277716368	0.04624238643953409
ATP2B4_0_multinomial_train1.27	0.00016441723909204538	0.08829885023888655	0.06268171128731359	0.0019774864610661814	1.1379783228850987e-46	1.1001187819019145e-66	0.47692972335785766	3.69905021273119e-248	0.1750515080359088	0.19489630337987532	1.245e-321
ATP2B4_1_multinomial_train1.33	2.26e-321	1.65e-321	0.00821586466160811	4.429175737920219e-100	9.547776110119816e-34	3.0082374657019543e-15	0.5509099579129006	0.10958795701943447	6.647716679809995e-60	0.2704759715419985	0.06081024886405521
ATP2B4_0_multinomial_train1.28	1.55e-321	1.43e-321	1.5802965400959317e-129	8.399848628179855e-21	2.908812213760953e-184	0.005807012672304869	0.6403670021855601	1.8891298021487137e-17	0.07836637138632915	0.16101668881076636	0.11444292494503944
ATP2B4_1_multinomial_train1.34	1.33e-321	1.22e-321	0.029635713946062278	1.1307409504356887e-09	5.1171877321402825e-289	5.8e-322	0.570312570587356	0.1597947375521556	1.244694543763e-312	0.24025697678368518	1.2735403228985146e-48
ATP2B4_1_multinomial_train1.35	2.026e-321	1.334e-321	0.005744037516861264	0.013556232313967654	1.566e-321	5.04e-322	0.539998904030864	0.017353875481163995	1.02e-321	0.27280464231721363	0.15054230833992943
ATP2B4_0_multinomial_train1.29	9e-322	7.36e-322	0.02851012207880329	1.7570862140151663e-185	0.010771566940114724	0.020901505286367722	0.6095519090461141	4.1855663643657567e-29	0.16961012072092194	0.04187933217505261	0.11877544375262562
ATP2B4_1_multinomial_train1.36	2.297e-321	1.28e-321	1.82e-321	0.027575688163776892	1.364e-321	4.9e-322	0.5667757878950139	3.6241797842616146e-52	8.25e-322	0.3587378170108327	0.04691070693037655
ATP2B4_0_multinomial_train1.30	1.03e-321	1.156e-321	1.714e-321	0.011527260175993342	6.781495394225721e-72	0.004185704742462965	0.8188647522952286	6.71848335108851e-39	1.7179028675119554e-20	0.014591892758778226	0.15083039002753698
ATP2B4_1_multinomial_train1.37	5.011352363330686e-155	1.85e-321	9.58158405168664e-48	0.014417610795208851	1.645e-321	8.55e-322	0.564773330645995	4.8744932301594644e-36	2.308442e-317	0.3296263818512714	0.09118267670752472
ATP2B4_0_multinomial_train1.31	8.08796003004e-313	2.26e-321	0.07812483219613997	0.10393755393688321	4.176176336939e-51	0.13175770769742667	0.58578130399608	1.9884066675971133e-70	4.631719342459387e-25	1.2044669052977504e-124	0.10039860217347008
ATP2B4_0_multinomial_train1.32	1.73e-321	1.6e-321	0.018093454285970003	0.1409411402887848	1.5068345046696982e-75	0.10232817596044172	0.48222254130275266	1.4728848988261526e-46	0.1917066166738074	0.0007002606460496823	0.06400781084219377
ATP2B4_0_multinomial_train1.33	2.47218655347143e-106	1.1564928640879171e-117	0.008360825856647661	0.0011791420950951596	2.2859775944524988e-48	5.000033536801742e-47	0.7409070840099685	1.2429729931633991e-129	0.17763992987203434	0.0719130181662544	3.520442949476074e-259
ATP2B4_0_multinomial_train1.34	2.503429311287653e-80	1.4041800585106843e-74	0.013082457011911752	0.05728686318107661	0.1696939437181515	0.001536741200799258	0.5913737554457461	8.042965046004589e-91	4.326569180809392e-61	0.10884885676708013	0.05817738267523476
ATP2B4_1_multinomial_train1.38	3.209798096851024e-40	7.620064705268328e-106	0.1286438600662076	2.36679948416419e-22	7.740117510302413e-135	7e-322	0.5473084489881349	0.164840466622766	5.970922605604536e-213	0.15920722432289136	4.823309520744482e-248
ATP2B4_0_multinomial_train1.35	8.1e-322	8.94e-322	4.404104809388331e-187	0.13864217539603974	5.052509198809397e-48	0.039623874066464344	0.4668170844325549	1.8406860170638596e-140	0.23167804147038829	0.019763876602611245	0.10347494803194134
ATP2B4_1_multinomial_train1.39	1.47e-321	1.09e-321	5.055801535746393e-266	2.7160640526007912e-58	3.552232435373152e-79	3.6770776498192726e-67	0.6315102428287784	0.1569613190353993	1.2415155696118543e-115	0.21152843813582228	7.239480660336365e-152
ATP2B4_0_multinomial_train1.36	5.445051071699274e-167	1.4705171333188309e-205	2.6372788604809577e-215	0.07555558841566588	0.07747140417398803	1.9608878003633624e-172	0.6588406810164114	1.7351532216084586e-105	8.54443235371495e-09	3.0497228447210595e-186	0.18813231784950227
ATP2B4_0_multinomial_train1.37	1.86e-321	2.37e-321	0.0329283149262983	0.13036514511246278	1.9530565071677967e-89	0.08640614856305852	0.36816311134420177	7.427882642066452e-222	0.3698204032224315	0.012316876831547021	1.304e-321
ATP2B4_1_multinomial_train1.40	2.5599432690646922e-95	3.267194734176021e-295	0.06305553566659382	0.13153013443603317	0.0013807940333814535	2.127559723265433e-219	0.26517892441624946	0.1328700596656259	2.632251813998718e-128	0.33679434654354823	0.06919020523856802
ATP2B4_0_multinomial_train1.38	1.156e-321	9.93e-322	1.3894031750190516e-177	6.1299221223484454e-83	7.349223220458326e-96	0.07032301438565677	0.39228036364286667	8.357833673315594e-55	0.15256494705653184	0.261550331945971	0.12328134296897357
ATP2B4_1_multinomial_train1.41	2.025498765864674e-184	2.45e-321	0.03928193359771504	1.6408804199331825e-19	4.372886976393634e-51	1.023e-321	0.6236845030476352	0.030473665941517285	3.340864431484328e-184	0.1538592693169673	0.15270062809616536
ATP2B4_0_multinomial_train1.39	2.045e-321	2.604e-321	0.07779130560096756	6.397528294759123e-88	4.2711147865166976e-14	5.751137518182736e-35	0.6598606965304701	2.663317933904011e-05	0.14037065743851096	0.12195070725066956	1.7354401712887067e-233
ATP2B4_0_multinomial_train1.40	1.23e-321	1.38e-321	0.0753562329003042	0.10148513690627202	0.012382793004191648	0.04785584585870662	0.6137021280331437	1.6414647168642944e-82	2.9479760140058167e-19	0.038810608788393715	0.11040725450898807
ATP2B4_0_multinomial_train1.41	9.3e-322	7.5e-322	0.006604238620519313	4.498773586907349e-158	0.13893925464677204	1.181756999418812e-81	0.49318760126618977	1.1741311716342021e-27	0.0407123891496338	0.171265825895431	0.14929069042145401
ATP2B4_1_multinomial_train1.42	0.07846492172059186	9.299281049494299e-105	0.028018055461914968	0.028985655116570166	1.6655433073690344e-105	2.5697467177789213e-253	0.4910976697386843	0.23640601579663775	4.177274995471393e-271	0.13702768216560085	3.9787337084622055e-274
ATP2B4_1_multinomial_train1.43	0.04535709689640597	8.186442574973505e-196	0.034023754569496016	0.022336261070566996	1.6123368532036068e-259	8.4e-322	0.5496436695209644	0.14648807080964177	3.648013820762178e-255	0.20215114713292484	4.226425770432026e-29
ATP2B4_0_multinomial_train1.42	3.9015334447017865e-145	2.4e-321	0.08859696884348729	0.08289140446797891	0.014860183259067378	4.980773122417552e-79	0.4655780445354549	2.8142192512528587e-228	0.14689508292683032	0.11682380187123811	0.0843545140959431
ATP2B4_1_multinomial_train1.44	1.28e-321	9.4e-322	0.021071123560849836	0.002512917567939791	9.628642980554461e-276	7.7e-322	0.5631422492015097	0.1942927053891931	1.477e-321	0.19256432975108362	0.026416674529423846
ATP2B4_1_multinomial_train1.45	5.83e-322	4.25e-322	4.001705398961674e-217	3.590706949537278e-51	1.097e-321	4.5e-322	0.5152714577400251	0.17049552448951058	1.067e-321	0.2555495640553234	0.05868345371514091
ATP2B4_0_multinomial_train1.43	9.5e-322	1.04e-321	0.0032769820717822133	1.0740019444407737e-30	0.03749350280153804	0.0748080318760976	0.6027259092227227	4.134283347633362e-89	0.10702788247240992	8.54817110201532e-05	0.17458220984442924
ATP2B4_1_multinomial_train1.46	1.423e-321	1.304e-321	0.029574715952445287	5.286486973374734e-41	2.2009254013777104e-233	9.54e-322	0.5600566432192224	0.16871050162417978	5.814465272779422e-224	0.22496703156684328	0.016691107637309213
ATP2B4_0_multinomial_train1.44	1.873e-321	2.045e-321	4.532521672927855e-12	5.019705485575175e-201	1.1635709976850635e-134	0.011687468577233304	0.5925980359577383	0.0958227999740193	0.2156830509125118	0.021620734626419603	0.06258790994754518
ATP2B4_0_multinomial_train1.45	0.06992813994648893	0.03075488865591502	0.03037867299538956	1.6079187433635752e-14	7.381837719980254e-31	0.04134871896081944	0.6572656043910783	2.8168085260084733e-93	0.14832320370477434	0.022000771345518203	2.8143479190222507e-65
ATP2B4_1_multinomial_train1.47	0.030809397130741024	7.59392934568356e-197	0.06766175425475514	0.0008228906706127058	6.662536941046271e-132	7.56e-322	0.5194828088361509	1.1018766263333123e-27	1.42e-321	0.3812231491077346	5.4809007337608425e-15
ATP2B4_0_multinomial_train1.46	8.255111090811614e-181	4.202674254932761e-280	2.604e-321	0.2814453260824685	0.19803849555468503	1.8434622187398786e-197	0.26834941749707963	2.541450963457653e-159	1.7268390048675695e-86	0.023528560170914266	0.2286382006948527
ATP2B4_1_multinomial_train1.48	1.675e-321	1.34e-321	0.0007271149115484411	0.11612509627688004	1.1111925138470917e-205	2.8172417777441346e-243	0.5812708179419922	0.20939922276765377	8.600275356827877e-243	0.06576460734217394	0.026713140759751734
ATP2B4_1_multinomial_train1.49	1.31e-321	9.6e-322	2.42e-321	1.1654334427250773e-237	4.536021089423325e-156	1.3990796454313372e-150	0.6550029063723642	0.11528314614298807	1.0551315605441135e-154	0.09102299876018345	0.13869094872446425
ATP2B4_0_multinomial_train1.47	1.41e-321	1.873e-321	0.0456536144814686	0.11518525089494727	3.252533871540722e-09	0.09302724386769096	0.4721943116260461	2.3098684875256535e-118	0.21267237273179113	0.06126720314552196	1.344e-321
MLH1_0_multinomial_train1	4.434511720106298e-47	0.9650182741530402	1.2692236248143086e-19	5.52805e-319	1.8073331830541368e-193	8.576265144571965e-232	1.1317952698739391e-290	0.027206674807553118	4.1400095437328777e-153	0.007775051039406574	1.7614626439750674e-58
MLH1_0_multinomial_train1.1	4.456821373507025e-09	0.9204921364931415	9.016928815620444e-172	1.3096673029090698e-227	1.066627593355386e-146	1.8897917885773264e-105	1.9852885318826415e-74	0.009097549827648396	2.1192280668745007e-104	0.024559800238733543	0.04585050898365499
MLH1_0_multinomial_train1.2	6.039139650977477e-18	0.9383197256951015	2.1929248155619317e-93	0.022660456796533023	8.450412040330072e-134	2.806984165018095e-257	3.6737125205517296e-143	2.117321271887963e-63	3.023683165073036e-124	0.019238434927291232	0.019781382581074175
