Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P
BRCA_TCGA-A2-A0YE	1	5	5	2	4	0	1	0	0	2	4	0	6	5	8	0
BRCA_TCGA-A2-A0YF	4	3	2	1	6	0	0	0	0	1	3	4	4	0	11	0
BRCA_TCGA-A2-A0YG	0	1	9	4	4	6	3	0	0	6	9	8	13	5	10	0
BRCA_TCGA-A2-A0YH	3	2	10	5	0	4	0	0	0	2	8	2	9	43	12	0
BRCA_TCGA-A2-A0YI	0	1	1	1	0	0	0	2	1	0	0	1	3	1	7	0
BRCA_TCGA-A2-A0YJ	3	4	15	4	7	11	0	1	3	3	10	4	0	7	18	8
BRCA_TCGA-A2-A0YK	12	0	4	27	0	0	1	0	0	2	0	1	73	358	0	0
BRCA_TCGA-A2-A0YL	0	1	2	1	0	1	0	0	0	2	6	0	10	20	0	0
BRCA_TCGA-A2-A0YM	0	7	12	7	14	0	2	0	0	8	1	1	14	29	14	0
BRCA_TCGA-A2-A0YT	1	12	6	11	0	0	0	0	0	4	0	0	17	12	18	0
BRCA_TCGA-A2-A1FV	0	3	9	2	0	0	0	0	3	2	5	1	9	6	10	0
BRCA_TCGA-A2-A1FW	4	3	16	5	3	9	0	1	6	0	4	1	10	4	25	4
BRCA_TCGA-A2-A1FX	3	4	2	2	0	0	0	0	0	2	5	0	3	0	7	0
BRCA_TCGA-A2-A1FZ	0	1	5	0	0	3	1	0	3	5	1	1	3	1	5	0
BRCA_TCGA-A2-A1G0	0	0	1	2	0	0	0	0	0	2	10	0	0	2	6	0
BRCA_TCGA-A2-A1G1	0	0	4	1	1	6	4	0	0	3	3	1	4	2	10	0
BRCA_TCGA-A2-A1G6	0	1	1	0	0	1	0	0	1	0	0	3	0	1	2	0
BRCA_TCGA-A2-A259	0	1	3	2	0	0	0	0	1	0	4	0	10	1	7	0
BRCA_TCGA-A2-A25A	5	1	7	2	0	0	0	5	0	2	0	0	37	59	11	0
BRCA_TCGA-A2-A25B	4	7	0	6	10	8	4	12	1	0	11	2	16	5	42	0
BRCA_TCGA-A2-A25C	3	0	0	0	0	2	0	0	8	1	0	15	4	1	5	0
BRCA_TCGA-A2-A25D	0	2	4	2	1	5	0	0	1	5	10	2	5	7	16	4
BRCA_TCGA-A2-A25E	1	1	2	2	4	7	3	0	4	5	2	5	4	6	15	0
BRCA_TCGA-A2-A25F	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0
BRCA_TCGA-A2-A3KD	0	0	6	0	0	0	0	0	3	0	5	0	3	1	0	0
BRCA_TCGA-A2-A3XT	4	0	6	0	0	6	0	0	4	13	12	0	0	32	41	4
BRCA_TCGA-A2-A3XU	0	0	7	1	9	4	0	2	0	3	1	0	0	1	3	0
BRCA_TCGA-A2-A3XV	0	7	2	3	0	4	0	0	8	0	8	3	1	0	10	2
BRCA_TCGA-A2-A3XW	0	0	0	2	8	0	2	0	0	3	0	0	1	1	0	0
BRCA_TCGA-A2-A3XX	0	6	5	4	0	3	3	0	1	2	3	4	3	3	15	0
