Samples	SBS96A	SBS96B	SBS96C
UNG_0_multinomial_train1.33	6.99E-02	1.34E-01	1.68E-01
OGG1_0_multinomial_train1.29	1.52E-01	2.58E-01	2.82E-50
OGG1_0_multinomial_train1.30	1.63E-01	2.70E-01	6.53E-124
UNG_0_multinomial_train1.34	5.70E-02	1.53E-01	1.75E-01
OGG1_0_multinomial_train1.31	1.62E-01	2.68E-01	5.09E-138
UNG_0_multinomial_train1.35	7.46E-02	1.26E-01	1.68E-01
UNG_0_multinomial_train1.36	5.94E-02	1.39E-01	1.65E-01
UNG_0_multinomial_train1.37	8.94E-02	1.42E-01	1.75E-01
OGG1_0_multinomial_train1.32	1.48E-01	2.50E-01	0.00E+00
UNG_0_multinomial_train1.38	6.26E-02	1.42E-01	1.70E-01
OGG1_0_multinomial_train1.33	1.47E-01	2.52E-01	4.00E-64
OGG1_0_multinomial_train1.34	1.55E-01	2.59E-01	0.00E+00
OGG1_0_multinomial_train1.35	1.50E-01	2.54E-01	1.54E-134
OGG1_0_multinomial_train1.36	1.75E-01	2.77E-01	0.00E+00
OGG1_0_multinomial_train1.37	1.70E-01	2.76E-01	2.20E-129
OGG1_0_multinomial_train1.38	1.77E-01	2.77E-01	0.00E+00
UNG_0_multinomial_train1.39	7.22E-02	1.40E-01	1.80E-01
OGG1_0_multinomial_train1.39	1.45E-01	2.47E-01	5.78E-03
UNG_0_multinomial_train1.40	1.20E-01	1.65E-01	1.77E-01
OGG1_0_multinomial_train1.40	1.58E-01	2.61E-01	2.50E-97
OGG1_0_multinomial_train1.41	1.64E-01	2.68E-01	0.00E+00
UNG_0_multinomial_train1.41	7.76E-02	1.33E-01	1.72E-01
OGG1_0_multinomial_train1.42	1.66E-01	2.72E-01	0.00E+00
UNG_0_multinomial_train1.42	8.87E-02	1.12E-01	1.69E-01
OGG1_0_multinomial_train1.43	1.59E-01	2.65E-01	0.00E+00
OGG1_0_multinomial_train1.44	1.57E-01	2.63E-01	3.42E-123
OGG1_0_multinomial_train1.45	1.59E-01	2.65E-01	1.62E-85
OGG1_0_multinomial_train1.46	1.48E-01	2.53E-01	8.31E-57
UNG_0_multinomial_train1.43	4.90E-02	1.65E-01	1.82E-01
OGG1_0_multinomial_train1.47	1.59E-01	2.65E-01	2.06E-134
OGG1_0_multinomial_train1.48	1.56E-01	2.61E-01	1.17E-111
OGG1_0_multinomial_train1.49	1.55E-01	2.61E-01	2.15E-109
OGG1_0_multinomial_train1.50	1.62E-01	2.66E-01	0.00E+00
UNG_0_multinomial_train1.44	5.60E-02	1.43E-01	1.66E-01
OGG1_0_multinomial_train1.51	1.56E-01	2.58E-01	0.00E+00
OGG1_0_multinomial_train1.52	1.66E-01	2.70E-01	0.00E+00
ATP2B4_0_multinomial_train1	2.70E-02	2.19E-01	2.18E-01
ATP2B4_1_multinomial_train1	3.06E-73	2.83E-01	2.84E-01
ATP2B4_0_multinomial_train1.1	3.67E-147	2.69E-01	2.71E-01
ATP2B4_1_multinomial_train1.1	2.71E-02	2.95E-01	2.97E-01
ATP2B4_1_multinomial_train1.2	6.28E-02	2.69E-01	2.64E-01
ATP2B4_1_multinomial_train1.3	0.00E+00	2.88E-01	2.89E-01
ATP2B4_0_multinomial_train1.2	2.88E-29	2.62E-01	2.65E-01
ATP2B4_1_multinomial_train1.4	7.27E-02	2.76E-01	2.68E-01
ATP2B4_0_multinomial_train1.3	0.00E+00	2.63E-01	2.65E-01
ATP2B4_0_multinomial_train1.4	0.00E+00	2.61E-01	2.62E-01
ATP2B4_0_multinomial_train1.5	6.29E-15	2.65E-01	2.67E-01
ATP2B4_0_multinomial_train1.6	5.73E-108	2.58E-01	2.60E-01
ATP2B4_1_multinomial_train1.5	9.26E-02	2.56E-01	2.42E-01
ATP2B4_0_multinomial_train1.7	4.52E-02	2.27E-01	2.23E-01
ATP2B4_1_multinomial_train1.6	8.76E-02	2.61E-01	2.49E-01
ATP2B4_1_multinomial_train1.7	5.52E-02	2.58E-01	2.54E-01
ATP2B4_1_multinomial_train1.8	0.00E+00	2.75E-01	2.75E-01
ATP2B4_1_multinomial_train1.9	5.68E-02	2.52E-01	2.47E-01
ATP2B4_1_multinomial_train1.10	4.72E-02	2.38E-01	2.34E-01
ATP2B4_1_multinomial_train1.11	1.52E-96	3.11E-01	3.13E-01
ATP2B4_1_multinomial_train1.12	1.87E-34	3.19E-01	3.21E-01
ATP2B4_1_multinomial_train1.13	3.41E-02	2.94E-01	2.95E-01
ATP2B4_0_multinomial_train1.8	3.03E-126	2.63E-01	2.64E-01
ATP2B4_1_multinomial_train1.14	7.15E-02	2.40E-01	2.30E-01
ATP2B4_1_multinomial_train1.15	4.18E-02	2.66E-01	2.63E-01
ATP2B4_0_multinomial_train1.9	3.02E-02	2.20E-01	2.19E-01
ATP2B4_0_multinomial_train1.10	0.00E+00	2.81E-01	2.83E-01
ATP2B4_0_multinomial_train1.11	0.00E+00	2.57E-01	2.58E-01
ATP2B4_1_multinomial_train1.16	7.22E-02	2.49E-01	2.41E-01
ATP2B4_0_multinomial_train1.12	2.29E-98	2.49E-01	2.50E-01
ATP2B4_0_multinomial_train1.13	0.00E+00	2.44E-01	2.46E-01
ATP2B4_0_multinomial_train1.14	5.29E-77	2.73E-01	2.74E-01
ATP2B4_0_multinomial_train1.15	1.59E-91	2.80E-01	2.81E-01
ATP2B4_1_multinomial_train1.17	2.31E-117	3.08E-01	3.09E-01
ATP2B4_1_multinomial_train1.18	7.37E-02	2.55E-01	2.46E-01
ATP2B4_1_multinomial_train1.19	7.53E-02	2.39E-01	2.29E-01
ATP2B4_1_multinomial_train1.20	3.14E-02	2.58E-01	2.57E-01
ATP2B4_0_multinomial_train1.16	2.32E-02	2.33E-01	2.33E-01
ATP2B4_1_multinomial_train1.21	1.41E-02	2.82E-01	2.83E-01
ATP2B4_1_multinomial_train1.22	3.82E-02	2.70E-01	2.69E-01
ATP2B4_0_multinomial_train1.17	4.13E-123	2.65E-01	2.66E-01
ATP2B4_0_multinomial_train1.18	4.00E-02	2.22E-01	2.19E-01
ATP2B4_1_multinomial_train1.23	8.21E-02	2.47E-01	2.35E-01
ATP2B4_1_multinomial_train1.24	5.91E-57	2.94E-01	2.96E-01
ATP2B4_0_multinomial_train1.19	3.28E-02	2.38E-01	2.37E-01
ATP2B4_1_multinomial_train1.25	1.53E-136	2.82E-01	2.83E-01
ATP2B4_0_multinomial_train1.20	1.49E-02	2.58E-01	2.58E-01
ATP2B4_0_multinomial_train1.21	7.10E-02	2.28E-01	2.18E-01
ATP2B4_0_multinomial_train1.22	4.97E-02	2.24E-01	2.19E-01
ATP2B4_0_multinomial_train1.23	1.79E-52	2.55E-01	2.57E-01
ATP2B4_0_multinomial_train1.24	0.00E+00	2.64E-01	2.66E-01
ATP2B4_1_multinomial_train1.26	0.00E+00	3.09E-01	3.12E-01
ATP2B4_0_multinomial_train1.25	2.87E-02	2.57E-01	2.57E-01
ATP2B4_1_multinomial_train1.27	4.58E-02	2.67E-01	2.65E-01
ATP2B4_0_multinomial_train1.26	2.15E-146	2.55E-01	2.57E-01
ATP2B4_1_multinomial_train1.28	5.42E-17	3.21E-01	3.23E-01
ATP2B4_0_multinomial_train1.27	1.29E-109	2.44E-01	2.44E-01
ATP2B4_1_multinomial_train1.29	0.00E+00	2.80E-01	2.81E-01
ATP2B4_0_multinomial_train1.28	1.67E-02	2.31E-01	2.31E-01
ATP2B4_0_multinomial_train1.29	3.93E-02	2.41E-01	2.38E-01
ATP2B4_0_multinomial_train1.30	5.06E-02	2.24E-01	2.19E-01
ATP2B4_0_multinomial_train1.31	0.00E+00	2.33E-01	2.34E-01
ATP2B4_1_multinomial_train1.30	3.80E-161	2.88E-01	2.90E-01
ATP2B4_1_multinomial_train1.31	2.05E-02	3.11E-01	3.12E-01
ATP2B4_1_multinomial_train1.32	5.89E-47	2.94E-01	2.98E-01
ATP2B4_0_multinomial_train1.32	1.09E-02	2.46E-01	2.47E-01
ATP2B4_0_multinomial_train1.33	6.58E-69	2.88E-01	2.90E-01
ATP2B4_0_multinomial_train1.34	4.26E-11	2.63E-01	2.64E-01
ATP2B4_0_multinomial_train1.35	0.00E+00	2.41E-01	2.42E-01
ATP2B4_1_multinomial_train1.33	8.15E-03	2.91E-01	2.93E-01
ATP2B4_1_multinomial_train1.34	3.57E-02	2.40E-01	2.38E-01
ATP2B4_1_multinomial_train1.35	4.09E-02	2.45E-01	2.42E-01
ATP2B4_1_multinomial_train1.36	2.07E-02	2.65E-01	2.64E-01
ATP2B4_0_multinomial_train1.36	4.44E-02	2.32E-01	2.29E-01
ATP2B4_0_multinomial_train1.37	0.00E+00	2.45E-01	2.46E-01
ATP2B4_1_multinomial_train1.37	7.52E-02	2.57E-01	2.49E-01
ATP2B4_1_multinomial_train1.38	0.00E+00	2.82E-01	2.83E-01
ATP2B4_1_multinomial_train1.39	3.89E-02	2.47E-01	2.45E-01
ATP2B4_1_multinomial_train1.40	6.70E-02	2.55E-01	2.49E-01
ATP2B4_1_multinomial_train1.41	4.15E-02	2.59E-01	2.56E-01
ATP2B4_1_multinomial_train1.42	7.02E-02	2.49E-01	2.41E-01
ATP2B4_0_multinomial_train1.38	0.00E+00	2.53E-01	2.54E-01
ATP2B4_0_multinomial_train1.39	1.74E-28	2.47E-01	2.48E-01
ATP2B4_0_multinomial_train1.40	3.59E-02	2.43E-01	2.41E-01
ATP2B4_1_multinomial_train1.43	5.54E-02	2.53E-01	2.48E-01
ATP2B4_0_multinomial_train1.41	0.00E+00	2.63E-01	2.64E-01
ATP2B4_0_multinomial_train1.42	3.81E-02	2.37E-01	2.34E-01
ATP2B4_0_multinomial_train1.43	7.59E-142	2.68E-01	2.70E-01
ATP2B4_0_multinomial_train1.44	0.00E+00	2.33E-01	2.34E-01
ATP2B4_1_multinomial_train1.44	3.22E-02	2.76E-01	2.78E-01
ATP2B4_0_multinomial_train1.45	2.10E-02	2.28E-01	2.28E-01
ATP2B4_1_multinomial_train1.45	5.18E-02	2.47E-01	2.43E-01
