Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T	SBS96U
BRCA_TCGA-C8-A8HP	5	7	24	4	0	0	1	0	10	0	0	0	44	0	153	4	0	11	0	5	5
BRCA_TCGA-C8-A8HQ	4	2	36	14	0	9	7	0	3	0	0	6	57	0	224	0	0	0	0	2	8
BRCA_TCGA-C8-A8HR	0	4	2	7	0	0	0	4	0	2	5	7	4	2	2	0	4	0	14	0	3
BRCA_TCGA-C8-A9FZ	0	4	1	4	3	4	0	0	0	1	0	0	0	0	4	0	0	0	7	1	0
BRCA_TCGA-D8-A13Y	1	2	3	5	3	5	0	2	3	2	6	7	12	3	14	0	2	0	8	0	4
BRCA_TCGA-D8-A13Z	1	5	3	11	1	0	0	0	6	0	0	3	0	0	13	12	6	10	30	1	1
BRCA_TCGA-D8-A140	1	9	5	5	7	13	2	2	9	5	0	5	26	2	14	0	0	5	0	18	6
BRCA_TCGA-D8-A141	0	1	1	6	0	0	0	0	1	0	0	3	1	0	0	0	0	0	4	4	0
BRCA_TCGA-D8-A142	1	8	7	13	0	27	4	6	0	5	3	16	5	2	12	0	5	0	34	18	0
BRCA_TCGA-D8-A143	0	4	0	5	1	6	0	0	2	0	0	4	2	0	2	4	1	2	16	5	7
BRCA_TCGA-D8-A145	0	5	1	7	1	0	0	0	3	3	3	4	0	0	3	0	0	0	7	5	5
BRCA_TCGA-D8-A146	0	4	4	3	0	6	0	0	3	3	2	3	8	0	1	2	0	0	0	1	1
BRCA_TCGA-D8-A147	3	1	6	2	1	7	5	1	12	1	2	1	15	8	47	5	11	0	57	12	3
BRCA_TCGA-D8-A1J8	22	40	60	31	62	24	23	0	51	6	33	25	128	0	415	6	0	7	0	2	26
BRCA_TCGA-D8-A1J9	11	3	27	2	0	0	0	0	3	0	1	1	39	2	166	0	4	1	0	13	5
BRCA_TCGA-D8-A1JB	1	1	2	4	3	1	2	0	2	2	2	7	2	1	6	0	4	0	12	8	3
BRCA_TCGA-D8-A1JC	3	0	9	3	0	15	2	0	4	0	1	0	24	0	48	0	0	0	6	4	3
BRCA_TCGA-D8-A1JD	4	3	4	0	7	9	2	0	8	0	2	8	1	0	20	9	3	2	28	4	8
BRCA_TCGA-D8-A1JE	1	2	0	3	3	8	0	2	0	0	3	0	2	4	2	2	0	1	0	2	5
BRCA_TCGA-D8-A1JF	0	4	2	1	8	9	0	2	1	0	3	0	2	0	4	2	0	0	6	3	2
BRCA_TCGA-D8-A1JG	29	7	18	9	10	17	1	16	0	0	1	7	9	6	11	3	1	0	16	8	0
BRCA_TCGA-D8-A1JH	0	2	1	1	0	1	1	0	0	1	1	0	2	3	1	2	0	0	2	2	4
BRCA_TCGA-D8-A1JI	0	1	2	0	3	5	0	0	3	1	3	11	5	2	0	0	0	1	0	5	0
BRCA_TCGA-D8-A1JJ	1	5	7	6	2	0	0	0	6	1	2	2	13	0	34	1	3	0	0	9	6
BRCA_TCGA-D8-A1JK	5	6	3	2	7	2	9	11	11	8	11	25	24	25	15	3	5	13	28	16	20
BRCA_TCGA-D8-A1JL	3	2	4	0	7	12	3	0	1	6	8	8	2	0	11	4	3	0	37	15	1
BRCA_TCGA-D8-A1JM	0	1	4	8	0	2	0	0	4	1	1	0	2	2	2	2	0	5	9	10	0
BRCA_TCGA-D8-A1JN	6	4	22	7	0	0	0	1	2	0	0	5	48	0	91	1	0	9	0	4	8
BRCA_TCGA-D8-A1JP	1	2	1	0	3	0	0	4	5	10	2	7	7	3	9	8	6	11	36	13	7
BRCA_TCGA-D8-A1JS	1	2	1	1	0	5	0	0	2	1	1	1	5	0	0	0	0	2	4	0	3
BRCA_TCGA-D8-A1JT	0	3	1	4	1	8	2	0	0	0	0	11	1	0	0	0	0	0	8	2	0
BRCA_TCGA-D8-A1JU	0	1	1	1	0	5	0	0	0	3	1	2	0	0	1	0	0	0	2	1	2
BRCA_TCGA-D8-A1X5	6	4	2	8	1	2	3	0	0	7	0	0	4	2	7	0	3	0	0	17	0
BRCA_TCGA-D8-A1X6	3	5	1	7	0	0	0	0	3	1	1	4	1	0	2	4	0	0	7	0	3
BRCA_TCGA-D8-A1X7	0	1	2	1	2	6	0	0	0	0	0	2	7	0	0	0	0	3	5	3	0
BRCA_TCGA-D8-A1X9	4	0	0	0	7	7	6	0	2	2	3	2	0	0	9	10	1	17	13	16	3
BRCA_TCGA-D8-A1XA	0	1	2	4	0	1	0	0	0	3	1	1	3	0	0	6	0	6	0	0	0
BRCA_TCGA-D8-A1XB	0	6	4	4	2	3	2	0	1	0	3	2	3	0	5	0	0	5	0	5	5
BRCA_TCGA-D8-A1XC	1	3	1	7	4	0	0	0	2	2	0	1	5	2	0	3	0	0	2	1	0
BRCA_TCGA-D8-A1XF	0	6	6	6	1	3	2	0	1	0	0	0	5	8	2	1	0	0	4	6	0
BRCA_TCGA-D8-A1XG	0	1	2	0	6	1	3	0	0	0	3	0	0	1	1	0	0	0	7	1	1
BRCA_TCGA-D8-A1XK	6	57	10	45	32	51	27	18	23	432	287	0	0	9	4	38	44	10	59	27	121
BRCA_TCGA-D8-A1XL	4	4	4	1	0	7	3	2	3	3	7	1	2	7	7	6	2	0	27	12	8
BRCA_TCGA-D8-A1XM	1	0	7	6	0	9	0	0	1	0	0	1	15	0	12	0	0	10	0	0	2
BRCA_TCGA-D8-A1XO	0	1	0	3	1	2	0	0	2	0	0	2	1	0	7	0	1	1	0	5	3
BRCA_TCGA-D8-A1XQ	8	60	27	70	71	95	30	10	63	124	150	32	7	5	33	52	21	13	94	19	47
BRCA_TCGA-D8-A1XR	0	4	1	3	1	0	4	0	4	2	1	0	5	0	0	0	1	0	1	1	4
BRCA_TCGA-D8-A1XS	0	3	4	0	0	4	0	0	0	0	0	0	3	0	3	0	0	0	1	8	0
BRCA_TCGA-D8-A1XT	0	3	1	8	1	0	1	0	0	2	0	3	6	3	2	2	1	2	7	3	0
BRCA_TCGA-D8-A1XU	0	1	1	4	1	0	0	0	3	0	1	1	6	1	7	0	0	0	4	1	4
BRCA_TCGA-D8-A1XV	0	0	1	6	0	9	0	0	0	0	3	3	0	2	4	0	0	0	2	3	3
BRCA_TCGA-D8-A1XW	0	4	3	0	0	13	0	1	8	6	1	4	3	0	13	4	7	0	35	14	6
BRCA_TCGA-D8-A1XY	1	6	2	11	2	4	3	2	2	0	1	1	9	0	3	1	0	0	6	4	1
BRCA_TCGA-D8-A1XZ	1	9	6	12	4	18	0	0	9	0	0	3	0	2	10	1	0	2	12	7	0
BRCA_TCGA-D8-A1Y0	4	0	2	6	5	2	3	0	1	3	2	1	3	1	12	7	1	0	15	5	8
BRCA_TCGA-D8-A1Y1	1	26	12	50	9	74	5	0	3	0	12	0	15	0	14	11	0	0	0	0	1
BRCA_TCGA-D8-A1Y2	0	1	2	2	0	4	0	0	0	0	0	0	2	1	7	2	0	0	0	0	1
BRCA_TCGA-D8-A1Y3	0	5	3	17	0	4	0	2	2	0	6	9	0	0	2	1	0	2	10	0	4
BRCA_TCGA-D8-A27E	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	2	0	0	5	0	0
BRCA_TCGA-D8-A27F	2	1	1	0	0	7	0	2	6	2	2	1	0	0	10	1	0	4	17	9	5
BRCA_TCGA-D8-A27G	22	5	68	5	4	0	1	0	12	0	0	0	264	0	756	0	0	33	0	6	0
BRCA_TCGA-D8-A27H	0	1	1	3	3	10	2	2	1	4	5	1	5	4	47	0	0	0	66	5	0
BRCA_TCGA-D8-A27I	0	2	2	1	1	7	0	0	1	0	1	0	2	0	6	4	0	2	5	1	1
BRCA_TCGA-D8-A27K	0	1	1	4	1	1	0	0	1	0	2	2	0	0	1	0	0	3	2	2	0
BRCA_TCGA-D8-A27L	0	4	5	2	0	1	0	0	0	0	0	5	18	1	12	0	0	0	0	5	0
BRCA_TCGA-D8-A27M	4	4	4	2	2	0	0	4	1	3	1	0	0	10	13	6	0	4	22	10	0
BRCA_TCGA-D8-A27N	1	6	4	8	0	7	2	0	4	0	2	2	4	0	2	1	0	0	4	10	3
BRCA_TCGA-D8-A27P	0	6	1	1	0	0	0	0	5	2	1	1	4	0	0	1	0	0	3	4	1
BRCA_TCGA-D8-A27R	0	2	3	1	3	1	0	0	0	0	0	6	1	0	3	0	0	0	13	1	1
BRCA_TCGA-D8-A27T	0	5	1	5	0	0	1	2	1	0	3	0	6	0	2	2	0	0	1	2	0
BRCA_TCGA-D8-A27V	6	3	19	4	1	2	0	0	0	0	3	13	38	3	129	0	0	5	0	9	0
BRCA_TCGA-D8-A27W	0	7	3	10	0	9	0	0	5	2	0	2	0	0	5	0	1	5	1	4	1
BRCA_TCGA-D8-A3Z6	1	3	1	6	3	0	0	0	2	0	5	4	1	1	5	0	0	0	2	1	2
BRCA_TCGA-D8-A4Z1	1	2	5	0	1	0	0	0	0	0	0	2	9	0	20	0	0	3	0	0	3
BRCA_TCGA-D8-A73U	4	3	10	8	5	2	0	0	0	0	2	1	70	0	94	0	0	0	0	0	8
BRCA_TCGA-D8-A73W	0	8	1	6	1	5	0	0	6	0	0	8	0	0	4	4	4	2	2	0	1
BRCA_TCGA-D8-A73X	0	4	4	4	0	13	1	0	0	3	4	3	2	0	5	2	0	0	1	4	2
BRCA_TCGA-E2-A105	1	4	0	9	0	2	2	0	6	6	0	9	6	0	5	1	0	2	7	1	6
BRCA_TCGA-E2-A107	1	2	3	2	0	6	0	2	0	1	2	3	3	0	4	1	0	0	0	0	6
BRCA_TCGA-E2-A108	4	0	6	4	0	6	3	0	5	3	3	2	20	0	104	0	0	2	20	2	2
BRCA_TCGA-E2-A109	3	6	3	8	4	0	1	0	1	1	3	5	7	7	0	18	1	1	9	6	0
BRCA_TCGA-E2-A10A	0	3	0	1	1	0	0	0	3	1	0	4	4	0	6	0	0	1	2	2	0
BRCA_TCGA-E2-A10B	0	3	4	4	0	0	3	2	4	1	4	1	12	0	22	3	2	3	2	2	1
BRCA_TCGA-E2-A10C	9	1	36	2	1	6	0	0	2	0	0	0	132	0	309	0	0	12	0	0	9
BRCA_TCGA-E2-A10F	0	3	1	4	0	2	0	0	0	2	1	0	4	2	3	0	0	5	0	3	0
BRCA_TCGA-E2-A14N	0	3	5	2	1	3	0	0	2	0	3	11	0	5	19	6	7	2	28	5	7
BRCA_TCGA-E2-A14O	1	2	6	9	0	0	0	0	0	1	0	4	0	3	1	0	0	0	2	4	3
BRCA_TCGA-E2-A14P	2	7	8	9	4	8	0	0	0	3	2	7	18	2	18	5	0	13	0	4	2
BRCA_TCGA-E2-A14Q	1	1	0	11	0	0	0	0	0	0	5	4	2	5	5	0	2	0	0	4	0
BRCA_TCGA-E2-A14R	3	2	4	4	9	5	1	5	0	0	10	9	0	7	14	5	1	7	45	2	10
BRCA_TCGA-E2-A14T	0	5	4	0	0	8	0	0	1	0	1	1	0	0	7	0	5	0	0	7	4
BRCA_TCGA-E2-A14V	1	4	11	9	0	14	3	0	4	5	0	7	6	0	50	4	5	0	9	9	0
BRCA_TCGA-E2-A14W	0	2	4	3	3	0	1	4	6	1	4	5	3	8	10	5	2	1	32	5	3
BRCA_TCGA-E2-A14X	0	7	4	3	0	9	0	0	1	0	0	1	3	0	5	1	1	0	1	1	0
BRCA_TCGA-E2-A14Y	0	2	0	4	1	2	0	0	0	0	1	1	6	0	22	4	0	1	2	0	4
BRCA_TCGA-E2-A14Z	2	2	7	5	0	1	0	2	3	1	0	2	15	1	20	10	3	0	6	9	6
BRCA_TCGA-E2-A150	6	7	4	4	6	7	0	8	5	2	0	4	0	0	6	0	6	3	16	3	4
BRCA_TCGA-E2-A152	3	1	19	2	1	3	0	2	9	0	0	0	27	0	85	2	0	6	5	6	0
BRCA_TCGA-E2-A153	0	3	2	3	0	6	0	0	2	1	0	0	3	0	4	0	0	0	0	1	1
BRCA_TCGA-E2-A154	2	4	6	4	0	8	1	0	4	0	0	0	0	0	2	3	0	3	4	17	0
BRCA_TCGA-E2-A155	2	5	3	10	1	0	0	0	10	1	4	3	5	1	12	1	1	1	5	13	3
BRCA_TCGA-E2-A156	0	0	1	3	2	2	0	0	0	0	3	2	3	0	3	1	0	0	1	2	2
BRCA_TCGA-E2-A158	1	1	3	4	5	7	3	2	3	0	4	3	0	3	5	5	3	0	31	10	4
BRCA_TCGA-E2-A159	1	4	6	8	2	1	0	0	0	0	1	3	29	3	117	8	5	6	4	3	0
BRCA_TCGA-E2-A15A	3	4	0	4	3	4	0	0	1	1	0	3	5	5	3	1	3	4	6	12	0
BRCA_TCGA-E2-A15C	0	5	2	10	5	0	2	0	2	2	0	5	3	1	1	2	0	0	9	0	1
BRCA_TCGA-E2-A15D	2	4	2	3	2	11	0	0	2	2	1	2	0	0	1	0	1	0	0	1	0
BRCA_TCGA-E2-A15E	1	2	1	4	0	6	0	0	0	3	6	2	0	0	6	3	0	0	5	1	0
BRCA_TCGA-E2-A15F	0	2	1	5	0	2	0	0	3	0	1	0	3	0	0	0	0	0	6	1	4
BRCA_TCGA-E2-A15G	0	1	5	7	0	7	0	1	4	2	6	3	7	0	4	3	0	0	6	12	5
BRCA_TCGA-E2-A15H	0	3	2	6	4	0	0	0	0	0	3	5	1	1	1	3	0	0	2	2	0
BRCA_TCGA-E2-A15I	1	3	0	8	1	5	0	0	1	0	0	0	8	0	1	0	0	2	3	8	2
BRCA_TCGA-E2-A15J	0	5	0	2	0	0	0	0	1	1	0	2	2	1	0	1	0	3	4	0	0
BRCA_TCGA-E2-A15K	1	5	2	4	0	6	3	0	3	0	1	5	8	0	0	0	0	2	5	7	1
BRCA_TCGA-E2-A15L	0	2	2	5	0	7	0	0	0	0	4	0	2	1	2	0	0	2	5	1	1
BRCA_TCGA-E2-A15M	3	8	4	12	2	0	1	0	1	3	2	9	8	5	26	1	0	1	14	3	5
BRCA_TCGA-E2-A15O	0	2	2	2	1	9	0	0	0	0	2	0	2	0	1	0	1	0	4	4	4
BRCA_TCGA-E2-A15P	0	3	1	4	0	0	0	0	1	2	2	5	2	1	1	0	0	0	3	2	1
BRCA_TCGA-E2-A15R	0	3	5	11	0	0	0	0	1	1	0	5	6	0	2	2	0	2	1	3	5
BRCA_TCGA-E2-A15S	0	1	1	1	1	8	4	2	2	5	0	6	1	1	10	1	4	0	9	3	8
BRCA_TCGA-E2-A15T	0	0	1	6	3	11	0	0	0	1	1	1	2	0	3	3	0	2	0	5	1
BRCA_TCGA-E2-A1AZ	1	4	10	0	1	1	0	0	1	0	6	2	0	2	25	11	0	1	5	9	0
BRCA_TCGA-E2-A1B0	0	3	6	8	3	2	0	0	0	8	1	2	3	1	7	0	2	3	0	4	7
BRCA_TCGA-E2-A1B1	1	0	1	6	1	6	0	2	1	0	0	0	23	0	20	0	0	0	5	0	0
BRCA_TCGA-E2-A1B4	0	4	3	0	1	0	0	0	1	1	0	1	11	6	2	1	0	0	5	6	0
BRCA_TCGA-E2-A1B5	0	3	4	4	1	1	0	2	0	2	0	3	3	0	17	1	1	1	0	2	1
BRCA_TCGA-E2-A1B6	0	4	0	1	1	9	0	0	2	0	2	0	1	6	3	3	0	0	18	3	3
BRCA_TCGA-E2-A1BC	0	5	0	1	1	3	0	2	1	0	3	3	1	2	3	0	0	1	6	9	0
BRCA_TCGA-E2-A1BD	1	1	2	14	0	0	0	0	3	0	3	1	0	5	1	2	0	3	2	3	2
BRCA_TCGA-E2-A1IE	0	1	1	2	2	2	2	0	3	2	0	2	1	3	0	0	2	0	4	3	0
BRCA_TCGA-E2-A1IF	0	2	1	0	0	5	0	0	0	1	4	4	0	0	0	0	0	0	1	6	0
BRCA_TCGA-E2-A1IG	0	2	6	2	1	12	0	0	1	0	0	3	11	2	2	0	0	6	7	1	1
BRCA_TCGA-E2-A1IH	1	4	3	0	0	8	0	0	1	3	4	6	7	0	26	0	1	7	6	2	6
BRCA_TCGA-E2-A1II	0	3	0	3	0	2	0	8	0	0	2	1	0	0	1	0	0	0	9	0	5
BRCA_TCGA-E2-A1IJ	0	1	0	1	1	7	0	0	0	0	0	0	1	1	0	0	1	5	0	0	0
BRCA_TCGA-E2-A1IK	0	1	3	0	0	3	0	0	0	1	0	0	0	0	1	1	0	0	3	0	4
BRCA_TCGA-E2-A1IL	1	4	3	2	0	0	0	0	1	0	2	3	2	0	0	3	1	1	4	4	0
BRCA_TCGA-E2-A1IN	1	5	11	8	3	1	2	0	8	0	3	0	33	2	145	0	1	0	12	10	3
BRCA_TCGA-E2-A1IO	0	1	2	3	0	1	0	2	1	1	0	0	0	0	1	0	0	0	0	2	2
BRCA_TCGA-E2-A1IU	0	1	6	1	1	1	0	0	1	1	0	1	1	1	5	1	1	0	4	4	1
BRCA_TCGA-E2-A1L6	0	1	5	2	2	0	0	0	3	0	3	3	1	1	1	1	0	0	4	1	0
BRCA_TCGA-E2-A1L7	2	0	1	0	0	15	2	2	3	2	4	2	4	3	3	2	4	6	16	8	2
BRCA_TCGA-E2-A1L8	0	1	0	1	1	6	2	1	0	3	0	1	6	3	4	0	0	0	3	2	4
BRCA_TCGA-E2-A1L9	0	2	2	4	2	0	0	0	2	0	2	0	2	4	2	2	0	0	3	0	1
BRCA_TCGA-E2-A1LA	1	2	2	7	7	0	0	0	1	0	13	5	0	0	8	6	5	2	39	1	8
BRCA_TCGA-E2-A1LB	3	1	3	1	1	5	1	2	1	1	0	0	12	0	16	3	0	0	4	0	1
BRCA_TCGA-E2-A1LG	3	1	15	6	2	3	2	0	3	0	0	5	27	3	135	0	2	0	9	3	0
BRCA_TCGA-E2-A1LH	9	1	3	7	0	11	6	1	0	9	7	6	8	0	49	12	8	6	79	6	3
BRCA_TCGA-E2-A1LI	0	1	2	0	0	1	1	0	0	0	1	0	1	2	9	5	0	0	12	2	0
BRCA_TCGA-E2-A1LK	0	12	7	10	0	9	0	2	1	0	3	1	0	0	3	0	1	2	2	0	1
BRCA_TCGA-E2-A1LL	1	4	1	4	4	3	0	0	0	3	1	4	0	4	5	3	5	0	12	6	1
BRCA_TCGA-E2-A2P6	1	8	15	10	7	0	0	0	2	0	1	0	62	0	74	0	0	0	0	0	6
BRCA_TCGA-E2-A56Z	1	4	4	0	5	15	0	2	0	5	0	7	4	0	0	0	1	1	8	1	2
BRCA_TCGA-E2-A570	0	2	1	6	0	0	0	0	0	3	0	5	4	0	0	0	1	0	8	0	0
BRCA_TCGA-E2-A572	0	2	0	3	1	8	0	0	0	2	0	0	2	0	2	1	0	2	5	0	1
BRCA_TCGA-E2-A573	3	6	2	2	2	4	0	5	6	4	0	0	3	6	4	2	2	1	16	0	4
BRCA_TCGA-E2-A574	2	9	13	6	0	8	0	2	5	2	0	8	26	5	45	2	1	0	22	0	0
BRCA_TCGA-E2-A576	0	3	4	10	6	9	0	0	3	0	0	5	5	5	0	4	1	2	7	0	6
BRCA_TCGA-E2-A9RU	5	12	9	13	1	10	0	0	0	2	4	4	18	0	11	0	1	3	7	6	1
BRCA_TCGA-E9-A1N3	3	2	0	0	3	6	1	0	0	0	2	0	0	0	4	3	2	0	2	3	0
BRCA_TCGA-E9-A1N4	0	2	4	0	0	7	0	0	2	0	1	0	4	0	7	0	0	1	6	0	0
BRCA_TCGA-E9-A1N5	0	2	1	0	0	1	0	0	9	2	2	0	0	0	12	0	0	0	3	2	5
BRCA_TCGA-E9-A1N8	3	1	4	0	0	0	0	0	1	5	1	0	0	0	9	2	0	0	2	2	6
BRCA_TCGA-E9-A1N9	1	2	1	10	0	0	2	0	1	0	3	2	1	5	6	4	0	6	14	0	8
BRCA_TCGA-E9-A1NA	2	2	4	4	1	4	4	2	6	0	1	4	9	3	16	0	0	13	31	11	0
BRCA_TCGA-E9-A1NE	5	4	0	0	4	4	0	0	1	2	0	4	1	2	5	0	0	0	30	0	0
BRCA_TCGA-E9-A1NF	0	1	5	4	1	3	0	0	3	0	1	6	12	0	14	0	0	5	3	0	3
BRCA_TCGA-E9-A1NG	0	1	1	3	1	2	0	0	3	0	0	2	0	0	1	0	0	1	2	3	1
BRCA_TCGA-E9-A1NH	1	1	1	5	0	4	0	0	3	4	3	2	1	0	2	0	1	0	0	7	2
BRCA_TCGA-E9-A1QZ	0	2	1	0	0	3	0	0	0	3	0	0	0	2	0	0	0	2	0	10	0
BRCA_TCGA-E9-A1R0	0	4	4	6	1	1	0	0	0	0	0	4	4	0	6	0	0	0	0	1	4
BRCA_TCGA-E9-A1R2	0	2	2	2	1	2	0	0	0	5	5	8	0	0	13	0	1	1	17	6	1
BRCA_TCGA-E9-A1R3	0	2	2	1	0	3	0	0	2	0	3	0	2	0	2	2	0	0	4	1	1
BRCA_TCGA-E9-A1R4	4	4	7	6	3	0	0	0	4	0	2	2	31	5	64	4	0	11	0	4	2
BRCA_TCGA-E9-A1R5	1	0	3	3	0	19	0	0	0	0	4	0	3	0	4	3	0	0	4	7	0
BRCA_TCGA-E9-A1R6	2	0	5	9	3	2	0	0	0	0	2	0	2	0	1	0	1	0	6	2	1
BRCA_TCGA-E9-A1R7	1	4	1	3	2	0	0	0	4	1	0	8	4	0	7	6	3	3	4	4	8
BRCA_TCGA-E9-A1RA	1	1	1	3	0	2	0	0	0	0	1	3	2	0	3	0	3	1	0	1	3
BRCA_TCGA-E9-A1RB	0	3	1	4	1	0	3	0	3	1	5	5	0	0	0	0	0	2	4	4	2
BRCA_TCGA-E9-A1RC	0	6	4	4	0	9	0	1	1	1	5	0	4	3	0	7	0	0	5	4	1
BRCA_TCGA-E9-A1RD	0	2	1	3	1	0	0	0	2	0	0	1	3	0	4	0	0	0	4	2	0
BRCA_TCGA-E9-A1RE	0	6	3	10	10	6	0	2	0	1	2	2	5	4	1	0	0	0	7	7	0
BRCA_TCGA-E9-A1RF	5	6	4	8	10	12	0	2	0	0	4	3	6	10	16	15	0	4	53	12	0
BRCA_TCGA-E9-A1RG	0	2	1	1	0	6	2	0	1	2	1	1	5	1	5	1	0	0	12	0	0
BRCA_TCGA-E9-A1RH	3	2	4	13	7	0	2	2	2	5	2	9	6	5	11	0	1	4	26	7	0
BRCA_TCGA-E9-A1RI	2	2	1	1	3	2	0	0	0	0	0	2	4	0	3	2	0	2	1	1	3
BRCA_TCGA-E9-A226	1	4	8	6	2	0	0	0	0	0	0	0	18	0	31	2	0	0	7	0	0
BRCA_TCGA-E9-A227	0	0	1	2	0	0	0	0	1	0	1	0	4	0	1	5	0	0	4	0	0
BRCA_TCGA-E9-A228	0	5	0	13	0	0	1	0	1	1	0	0	12	5	7	1	2	0	4	0	0
BRCA_TCGA-E9-A229	1	4	0	5	1	0	0	0	0	1	1	3	1	0	7	0	1	0	4	1	0
BRCA_TCGA-E9-A22A	0	1	1	1	0	5	0	0	1	0	0	0	4	1	5	2	0	2	8	2	3
BRCA_TCGA-E9-A22B	0	5	3	6	0	8	0	4	0	0	2	4	13	0	6	0	2	6	5	6	6
BRCA_TCGA-E9-A22D	1	5	5	2	0	13	0	0	1	0	0	0	4	0	3	0	0	0	6	0	0
BRCA_TCGA-E9-A22E	3	3	2	3	2	12	0	3	1	1	1	4	9	4	27	7	7	3	39	6	7
BRCA_TCGA-E9-A22G	3	2	1	3	2	0	2	0	3	10	11	9	0	2	7	8	6	13	32	3	0
BRCA_TCGA-E9-A22H	0	3	2	5	0	1	0	0	0	2	1	1	3	0	1	0	0	0	4	2	1
BRCA_TCGA-E9-A243	3	2	2	0	5	11	0	0	3	1	7	0	6	0	13	3	1	3	24	1	4
BRCA_TCGA-E9-A244	5	6	0	7	4	13	3	2	5	0	7	7	0	0	6	1	2	5	32	13	3
BRCA_TCGA-E9-A245	1	0	1	0	0	2	0	0	2	0	0	0	1	0	0	0	1	8	0	4	3
BRCA_TCGA-E9-A247	0	10	2	11	4	3	2	0	1	2	0	0	0	1	0	0	0	3	8	0	0
BRCA_TCGA-E9-A248	1	4	1	5	0	0	3	0	0	1	0	1	3	0	5	0	0	0	1	1	2
BRCA_TCGA-E9-A249	0	4	2	1	0	5	0	0	0	0	2	0	0	1	1	1	0	0	3	2	3
BRCA_TCGA-E9-A24A	3	0	2	5	0	0	0	0	0	0	2	1	0	1	0	0	1	0	2	1	4
BRCA_TCGA-E9-A295	7	5	4	13	0	14	2	1	0	0	1	0	2	24	5	0	0	0	3	27	1
BRCA_TCGA-E9-A2JS	1	9	6	19	0	0	2	0	0	3	1	6	2	11	2	0	1	5	0	20	1
BRCA_TCGA-E9-A2JT	1	0	1	0	0	0	0	2	1	0	0	0	0	0	19	0	0	2	0	0	2
BRCA_TCGA-E9-A3HO	0	0	2	0	5	6	0	0	2	0	3	4	2	0	6	9	2	4	21	1	5
BRCA_TCGA-E9-A3QA	0	1	2	0	0	2	1	0	2	0	1	6	0	0	19	8	0	0	16	4	0
BRCA_TCGA-E9-A3X8	0	2	1	4	1	0	0	0	0	0	0	9	2	0	5	0	2	0	9	2	0
BRCA_TCGA-E9-A54Y	1	4	2	9	1	0	0	0	2	0	2	0	15	0	10	0	1	5	0	5	1
BRCA_TCGA-E9-A5FK	1	2	1	4	3	3	0	0	3	0	1	3	3	0	2	0	1	3	5	3	1
BRCA_TCGA-E9-A5FL	3	6	5	2	7	1	0	2	2	5	5	8	0	6	23	11	2	0	24	17	4
BRCA_TCGA-E9-A5UO	0	3	1	6	3	2	1	0	1	0	1	4	0	1	1	4	0	0	6	4	0
BRCA_TCGA-E9-A6HE	0	3	2	3	2	0	0	0	0	1	0	3	3	0	0	2	1	0	0	2	0
BRCA_TCGA-EW-A1IW	2	2	3	13	0	0	0	0	6	0	1	7	15	2	53	4	0	0	0	9	10
BRCA_TCGA-EW-A1IX	1	0	1	0	2	0	0	0	3	0	1	0	7	2	20	2	0	1	2	0	0
BRCA_TCGA-EW-A1IY	0	0	7	2	1	0	1	0	1	2	0	0	14	2	8	0	0	0	0	0	0
BRCA_TCGA-EW-A1IZ	1	52	28	46	38	76	36	1	33	31	39	15	5	0	3	14	3	0	0	2	12
BRCA_TCGA-EW-A1J1	0	3	2	3	0	2	2	0	0	0	0	0	1	0	0	1	2	0	4	2	1
BRCA_TCGA-EW-A1J3	0	2	0	2	0	1	0	0	0	3	0	6	7	3	0	0	0	0	6	0	0
BRCA_TCGA-EW-A1J5	6	0	29	7	1	4	1	0	12	0	0	0	139	0	333	0	0	4	0	0	4
BRCA_TCGA-EW-A1J6	0	2	1	4	0	6	0	0	1	1	0	2	0	4	2	2	0	0	7	12	0
BRCA_TCGA-EW-A1OV	0	1	9	6	2	2	0	0	2	0	0	1	35	0	67	3	0	0	0	7	5
BRCA_TCGA-EW-A1OX	0	2	1	0	1	2	0	0	0	0	0	0	2	0	4	1	0	0	4	1	3
BRCA_TCGA-EW-A1OZ	1	5	3	15	0	0	0	0	6	0	3	4	8	6	7	0	6	3	9	0	0
BRCA_TCGA-EW-A1P0	0	0	1	1	2	3	2	0	2	0	3	2	0	0	1	0	2	2	3	4	0
BRCA_TCGA-EW-A1P1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
BRCA_TCGA-EW-A1P3	0	0	1	6	0	0	0	0	1	0	3	4	4	0	0	1	0	0	3	4	1
BRCA_TCGA-EW-A1P4	1	1	3	5	9	7	0	1	0	4	2	0	0	0	8	2	1	0	23	5	5
BRCA_TCGA-EW-A1P5	1	6	1	4	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0
BRCA_TCGA-EW-A1P6	0	2	1	1	0	6	0	0	1	1	1	1	4	0	0	1	0	0	1	6	0
BRCA_TCGA-EW-A1P7	0	0	0	1	4	0	0	0	1	0	0	1	0	0	0	2	1	0	9	0	0
