Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T	SBS96U
BRCA_TCGA-A8-A075	3	3	2	3	1	7	0	0	0	0	2	10	18	2	17	6	2	0	18	1	5
BRCA_TCGA-AC-A23C	6	6	5	4	3	1	0	0	9	6	3	2	24	0	41	5	2	0	12	7	9
BRCA_TCGA-AC-A23E	1	2	2	6	0	0	0	0	1	0	1	3	0	0	0	0	0	0	5	3	0
BRCA_TCGA-AC-A23H	116	27	294	10	20	0	17	0	74	0	0	27	869	0	4591	0	0	303	0	30	0
BRCA_TCGA-AC-A2B8	1	0	6	6	3	2	0	0	3	0	0	1	25	0	64	0	0	6	5	6	0
BRCA_TCGA-AC-A2BK	0	11	3	10	5	0	1	0	1	6	4	7	0	5	2	5	0	10	39	1	0
BRCA_TCGA-AC-A2BM	0	2	1	2	3	0	0	0	1	0	0	0	0	1	2	2	4	2	2	0	4
BRCA_TCGA-AC-A2FB	0	1	0	1	0	1	0	0	0	2	1	4	3	0	2	0	0	0	0	0	2
BRCA_TCGA-AC-A2FF	0	0	0	0	0	2	0	0	0	0	0	0	5	2	1	0	0	0	1	0	0
BRCA_TCGA-AC-A2FG	0	1	3	2	0	7	0	0	3	0	1	0	5	1	6	0	0	0	0	3	7
BRCA_TCGA-AC-A2FK	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
BRCA_TCGA-AC-A2FO	1	0	2	0	0	4	0	0	1	0	0	0	8	0	6	0	0	2	1	1	1
BRCA_TCGA-AC-A2QH	1	4	0	1	0	7	2	0	3	0	0	0	0	0	4	0	0	2	2	0	1
BRCA_TCGA-AC-A3HN	0	3	1	1	1	1	0	0	0	2	0	0	1	0	2	2	2	0	2	1	3
BRCA_TCGA-AC-A3OD	2	4	4	1	0	3	2	0	4	0	0	6	5	1	4	1	0	0	0	0	2
BRCA_TCGA-AC-A3QP	0	1	3	1	0	0	0	0	2	2	4	1	0	0	1	0	0	0	3	12	5
BRCA_TCGA-AC-A3QQ	1	4	0	6	3	0	0	0	0	0	0	6	3	0	0	1	2	0	3	0	7
BRCA_TCGA-AC-A3W5	1	8	7	4	9	4	2	0	4	0	5	22	7	0	51	1	5	6	68	0	7
BRCA_TCGA-AC-A3YI	0	2	2	1	0	0	0	0	0	2	1	1	2	0	0	0	0	0	1	5	1
BRCA_TCGA-AC-A3YJ	1	4	1	5	0	3	0	0	0	2	1	7	6	0	2	0	0	1	1	0	4
BRCA_TCGA-AC-A4ZE	0	4	2	4	8	6	2	0	0	0	7	2	5	0	5	0	0	5	12	7	5
BRCA_TCGA-AC-A5EH	6	3	4	10	6	0	2	2	10	2	13	11	8	12	20	8	6	9	48	16	9
BRCA_TCGA-AC-A5EI	0	2	3	2	0	7	0	0	0	1	2	5	6	0	6	0	0	2	3	0	4
BRCA_TCGA-AC-A5XS	14	2	52	9	4	0	3	0	3	0	0	9	180	0	399	0	0	12	27	1	0
BRCA_TCGA-AC-A5XU	1	13	3	16	0	8	3	2	5	2	0	0	24	0	9	5	0	4	2	15	1
BRCA_TCGA-AC-A62V	5	18	3	13	2	2	0	0	7	2	1	9	6	1	6	5	0	2	22	0	2
BRCA_TCGA-AC-A62X	5	12	2	21	0	5	2	0	2	5	1	3	5	0	2	1	2	6	11	2	0
BRCA_TCGA-AC-A62Y	0	3	3	5	1	11	2	0	4	1	5	3	7	3	22	1	2	0	10	3	3
BRCA_TCGA-AC-A6IV	0	1	4	2	1	1	1	0	1	0	1	4	0	0	0	4	0	0	0	4	3
BRCA_TCGA-AC-A6IW	0	11	5	12	4	1	1	0	5	0	5	26	17	0	78	6	4	10	38	5	3
BRCA_TCGA-AC-A6IX	0	4	2	4	5	5	0	0	0	0	5	6	16	0	19	0	0	0	0	1	4
BRCA_TCGA-AC-A6NO	0	2	2	3	7	9	0	0	0	0	4	0	6	0	1	0	0	1	0	8	0
BRCA_TCGA-AC-A7VB	0	4	0	4	4	9	0	0	0	0	3	5	0	0	0	0	0	4	0	2	0
BRCA_TCGA-AC-A7VC	0	2	3	3	2	3	0	0	2	1	1	2	0	0	0	0	0	0	3	4	0
BRCA_TCGA-AC-A8OP	9	13	13	19	4	10	14	6	15	7	8	6	11	14	19	6	1	2	51	10	6
BRCA_TCGA-AC-A8OQ	1	8	9	5	8	26	3	0	0	0	0	10	12	1	14	0	5	7	19	5	4
BRCA_TCGA-AC-A8OR	0	4	0	3	3	0	0	0	0	0	0	3	0	7	1	1	1	0	2	2	5
BRCA_TCGA-AC-A8OS	0	0	1	8	1	5	0	1	4	2	6	5	9	0	12	0	4	0	8	7	6
BRCA_TCGA-AN-A0XL	3	1	2	6	1	1	4	0	0	1	3	4	5	0	0	0	0	2	2	5	0
BRCA_TCGA-AN-A0XN	5	6	4	2	2	7	3	0	11	10	6	5	6	5	13	12	9	0	42	22	5
BRCA_TCGA-AN-A0XO	0	2	5	0	1	4	0	0	0	2	4	1	7	0	5	0	0	0	7	2	3
BRCA_TCGA-AN-A0XP	1	2	1	3	1	0	0	0	1	5	0	0	1	3	7	2	2	0	3	0	2
BRCA_TCGA-AN-A0XR	0	1	0	4	4	2	0	0	1	0	0	5	1	1	5	0	0	0	7	4	3
BRCA_TCGA-AN-A0XS	0	1	3	3	5	0	0	1	0	0	0	2	0	2	4	1	0	0	0	5	5
