Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
BRCA_TCGA-AC-A3YI	0	0	0	4	3	0	0	0	11	0	0
BRCA_TCGA-AC-A3YJ	0	8	0	3	0	15	6	0	0	6	0
BRCA_TCGA-AC-A4ZE	0	10	12	6	3	0	0	0	33	10	0
BRCA_TCGA-AC-A5EH	9	9	22	3	5	20	8	1	92	28	8
BRCA_TCGA-AC-A5EI	0	8	0	0	4	11	7	0	0	13	0
BRCA_TCGA-AC-A5XS	0	0	0	0	77	0	0	0	0	638	0
BRCA_TCGA-AC-A5XU	0	28	0	13	0	18	0	0	32	22	0
BRCA_TCGA-AC-A62V	7	21	0	24	0	15	0	0	28	11	0
BRCA_TCGA-AC-A62X	8	36	0	6	0	12	0	0	20	5	0
BRCA_TCGA-AC-A62Y	0	18	14	0	0	0	0	0	22	35	0
BRCA_TCGA-AC-A6IV	0	3	5	0	4	4	0	0	11	0	0
BRCA_TCGA-AC-A6IW	0	15	0	16	0	29	0	0	70	101	0
BRCA_TCGA-AC-A6IX	0	0	0	10	0	25	0	0	0	36	0
BRCA_TCGA-AC-A6NO	0	9	0	0	2	8	8	0	13	3	0
BRCA_TCGA-AC-A7VB	0	9	0	6	0	10	0	0	10	0	0
BRCA_TCGA-AC-A7VC	0	5	0	2	3	6	0	0	10	0	0
BRCA_TCGA-AC-A8OP	9	32	21	8	14	20	12	23	73	29	3
BRCA_TCGA-AC-A8OQ	0	19	0	11	12	23	0	0	50	22	0
BRCA_TCGA-AC-A8OR	0	3	0	7	0	7	0	0	15	0	0
BRCA_TCGA-AC-A8OS	0	8	0	0	0	18	9	0	19	19	6
BRCA_TCGA-AN-A0XL	3	5	0	0	2	11	4	4	11	0	0
BRCA_TCGA-AN-A0XN	6	7	14	6	4	8	14	5	83	18	10
BRCA_TCGA-AN-A0XO	0	4	0	0	7	0	9	0	12	11	0
BRCA_TCGA-AN-A0XP	2	5	0	2	0	0	9	0	7	9	0
BRCA_TCGA-AN-A0XR	0	4	0	0	0	12	0	0	15	7	0
BRCA_TCGA-AN-A0XS	0	0	0	4	4	7	0	0	11	6	0
BRCA_TCGA-AN-A0XT	0	9	0	0	0	13	0	0	0	0	0
