	0	1	2	3	4	5	6	7	8	9
23000	[3.6795521682499235, 3.6795521682499235, 411.68517040815345, 0.8708333373069763, 0.0]					[3.6795544315804807, 3.6795544315804807, 411.7691100877904, 0.8708333373069763, 0.0]	[3.6795517170182475, 3.6795517170182475, 411.6729983529619, 0.8708333373069763, 0.0]		[3.679551903948327, 3.679551903948327, 411.67012236396727, 0.8708333373069763, 0.0]	[3.6795512306558105, 3.6795512306558105, 411.67345249982134, 0.8708333373069763, 0.0]
24000	[3.6795521664623436, 3.6795521664623436, 411.6850385555838, 0.8708333373069763, 0.0]					[3.6795544076715285, 3.6795544076715285, 411.76763360566105, 0.8708333373069763, 0.0]	[3.6795516767824106, 3.6795516767824106, 411.677381303683, 0.8708333373069763, 0.0]		[3.67955188795024, 3.67955188795024, 411.6725540033211, 0.8708333373069763, 0.0]	[3.679551230489257, 3.679551230489257, 411.6735808661009, 0.8708333373069763, 0.0]
25000	[3.6795521612776922, 3.6795521612776922, 411.68156006161536, 0.8708333373069763, 0.0]					[3.6795544060029104, 3.6795544060029104, 411.76733711234516, 0.8708333373069763, 0.0]	[3.6795516766412657, 3.6795516766412657, 411.6775932454274, 0.8708333373069763, 0.0]		[3.679551868156322, 3.679551868156322, 411.67243972046117, 0.8708333373069763, 0.0]	[3.6795512304178373, 3.6795512304178373, 411.6735734654711, 0.8708333373069763, 0.0]
26000	[3.6795521606012787, 3.6795521606012787, 411.6812069515499, 0.8708333373069763, 0.0]					[3.679554345958371, 3.679554345958371, 411.7661910290178, 0.8708333373069763, 0.0]	[3.6795516765659757, 3.6795516765659757, 411.67760366470543, 0.8708333373069763, 0.0]		[3.679551861935794, 3.679551861935794, 411.6734275562965, 0.8708333373069763, 0.0]	[3.6795512303800293, 3.6795512303800293, 411.67356868247816, 0.8708333373069763, 0.0]
27000	[3.6795521197218504, 3.6795521197218504, 411.6810133640812, 0.8708333373069763, 0.0]					[3.679554285259693, 3.679554285259693, 411.76416229249503, 0.8708333373069763, 0.0]	[3.679551676525705, 3.679551676525705, 411.67760153380846, 0.8708333373069763, 0.0]		[3.679551822823008, 3.679551822823008, 411.67712047831225, 0.8708333373069763, 0.0]	[3.6795512303599893, 3.6795512303599893, 411.67356629037744, 0.8708333373069763, 0.0]
28000	[3.6795521093304155, 3.6795521093304155, 411.68073721620345, 0.8708333373069763, 0.0]					[3.6795542850263674, 3.6795542850263674, 411.76402364423245, 0.8708333373069763, 0.0]	[3.67955167650414, 3.67955167650414, 411.6775993278772, 0.8708333373069763, 0.0]		[3.6795517943633187, 3.6795517943633187, 411.67649179860064, 0.8708333373069763, 0.0]	[3.6795512303493747, 3.6795512303493747, 411.67356507871773, 0.8708333373069763, 0.0]
29000	[3.6795520951410423, 3.6795520951410423, 411.6806486256042, 0.8708333373069763, 0.0]					[3.679554162017465, 3.679554162017465, 411.7460059109409, 0.8708333373069763, 0.0]	[3.679551676492619, 3.679551676492619, 411.67759799578175, 0.8708333373069763, 0.0]		[3.6795517930325508, 3.6795517930325508, 411.6768515704084, 0.8708333373069763, 0.0]	[3.6795512303437583, 3.6795512303437583, 411.6735644487277, 0.8708333373069763, 0.0]
30000	[3.6795520951264384, 3.6795520951264384, 411.6804964185825, 0.8708333373069763, 0.0]					[3.679554146666104, 3.679554146666104, 411.74440250096995, 0.8708333373069763, 0.0]	[3.6795516764864225, 3.6795516764864225, 411.6775972691055, 0.8708333373069763, 0.0]		[3.6795517768831134, 3.6795517768831134, 411.67651065057134, 0.8708333373069763, 0.0]	[3.6795512303407634, 3.6795512303407634, 411.6735641104501, 0.8708333373069763, 0.0]
31000	[3.6795520951197136, 3.6795520951197136, 411.68046657970893, 0.8708333373069763, 0.0]					[3.6795541358062067, 3.6795541358062067, 411.74665764293263, 0.8708333373069763, 0.0]	[3.6795516764831193, 3.6795516764831193, 411.67759688413616, 0.8708333373069763, 0.0]		[3.6795517656131254, 3.6795517656131254, 411.67668593569874, 0.8708333373069763, 0.0]	
32000	[3.6795520951161063, 3.6795520951161063, 411.68045710948206, 0.8708333373069763, 0.0]					[3.679554133534145, 3.679554133534145, 411.7468117206847, 0.8708333373069763, 0.0]	[3.6795516764813585, 3.6795516764813585, 411.677596681488, 0.8708333373069763, 0.0]		[3.6795517260143877, 3.6795517260143877, 411.68118740782245, 0.8708333373069763, 0.0]	
33000	[3.6795520951141394, 3.6795520951141394, 411.6804532388022, 0.8708333373069763, 0.0]					[3.679552866339317, 3.679552866339317, 411.7359938213175, 0.8708333373069763, 0.0]	[3.6795516764803917, 3.6795516764803917, 411.67759657437773, 0.8708333373069763, 0.0]		[3.6795517260073662, 3.6795517260073662, 411.68132243722374, 0.8708333373069763, 0.0]	
34000	[3.6795520951130887, 3.6795520951130887, 411.6804514742584, 0.8708333373069763, 0.0]					[3.679552455935347, 3.679552455935347, 411.7187426896046, 0.8708333373069763, 0.0]	[3.6795516764798855, 3.6795516764798855, 411.67759651737765, 0.8708333373069763, 0.0]		[3.679551726005304, 3.679551726005304, 411.68133780443463, 0.8708333373069763, 0.0]	
35000	[3.6795520951125162, 3.6795520951125162, 411.6804506352104, 0.8708333373069763, 0.0]					[3.6795523014047484, 3.6795523014047484, 411.7067967803327, 0.8708333373069763, 0.0]	[3.6795516764793907, 3.6795516764793907, 411.67759649114834, 0.8708333373069763, 0.0]		[3.679551726004217, 3.679551726004217, 411.6813409492387, 0.8708333373069763, 0.0]	
36000	[3.6795520951121907, 3.6795520951121907, 411.6804502285896, 0.8708333373069763, 0.0]					[3.679552300573389, 3.679552300573389, 411.7064632032673, 0.8708333373069763, 0.0]			[3.6795517260036026, 3.6795517260036026, 411.68134181019514, 0.8708333373069763, 0.0]	
37000	[3.679552095112018, 3.679552095112018, 411.6804500290057, 0.8708333373069763, 0.0]					[3.679552300531344, 3.679552300531344, 411.70659669392717, 0.8708333373069763, 0.0]			[3.679551726003281, 3.679551726003281, 411.6813420939483, 0.8708333373069763, 0.0]	
38000	[3.67955209511194, 3.67955209511194, 411.6804499298208, 0.8708333373069763, 0.0]					[3.6795523005286883, 3.6795523005286883, 411.7066701810468, 0.8708333373069763, 0.0]			[3.6795517260031048, 3.6795517260031048, 411.68134219663983, 0.8708333373069763, 0.0]	
39000	[3.679552095111867, 3.679552095111867, 411.68044987982347, 0.8708333373069763, 0.0]					[3.6795523005153714, 3.6795523005153714, 411.70669996114805, 0.8708333373069763, 0.0]			[3.6795517260030213, 3.6795517260030213, 411.68134223511413, 0.8708333373069763, 0.0]	
40000	[3.679552095111847, 3.679552095111847, 411.68044985419056, 0.8708333373069763, 0.0]					[3.679552292602089, 3.679552292602089, 411.70683290547754, 0.8708333373069763, 0.0]			[3.679551726002951, 3.679551726002951, 411.6813422494848, 0.8708333373069763, 0.0]	
41000						[3.6795522816174815, 3.6795522816174815, 411.7068328087747, 0.8708333373069763, 0.0]			[3.679551726002929, 3.679551726002929, 411.6813422546387, 0.8708333373069763, 0.0]	
42000						[3.6795522815455097, 3.6795522815455097, 411.70674183434096, 0.8708333373069763, 0.0]			[3.6795517260029182, 3.6795517260029182, 411.6813422563132, 0.8708333373069763, 0.0]	
43000						[3.6795522802676777, 3.6795522802676777, 411.7066363684105, 0.8708333373069763, 0.0]			[3.67955171167809, 3.67955171167809, 411.681413874271, 0.8708333373069763, 0.0]	
44000						[3.6795522579339135, 3.6795522579339135, 411.7047432756963, 0.8708333373069763, 0.0]			[3.6795516826194166, 3.6795516826194166, 411.6817471653086, 0.8708333373069763, 0.0]	
45000						[3.679552170481138, 3.679552170481138, 411.69466490781554, 0.8708333373069763, 0.0]			[3.679551682618466, 3.679551682618466, 411.68171868426816, 0.8708333373069763, 0.0]	
46000						[3.6795521257392543, 3.6795521257392543, 411.6861713002959, 0.8708333373069763, 0.0]			[3.679551682592689, 3.679551682592689, 411.6816965355483, 0.8708333373069763, 0.0]	
47000						[3.6795521013009895, 3.6795521013009895, 411.6850609096119, 0.8708333373069763, 0.0]			[3.6795516769886722, 3.6795516769886722, 411.6797809369283, 0.8708333373069763, 0.0]	
48000						[3.679552101296299, 3.679552101296299, 411.6847493331678, 0.8708333373069763, 0.0]			[3.6795516764800453, 3.6795516764800453, 411.67777575174443, 0.8708333373069763, 0.0]	
49000						[3.6795521012955774, 3.6795521012955774, 411.68463503978757, 0.8708333373069763, 0.0]			[3.6795516764794085, 3.6795516764794085, 411.67765935823707, 0.8708333373069763, 0.0]	
50000						[3.679552101295406, 3.679552101295406, 411.68458773227064, 0.8708333373069763, 0.0]			[3.679551676479307, 3.679551676479307, 411.6776232461748, 0.8708333373069763, 0.0]	
