Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_0_multinomial_train1.88	0.9999999999999962	0.89	0.47	47.0%	0.064	50.567%	0.18125	0.744
EXO1_0_multinomial_train1.89	0.9999999999999963	0.898	0.466	46.6%	0.061	47.722%	0.19301	0.76
EXO1_0_multinomial_train1.90	0.9999999999999967	0.911	0.408	40.8%	0.057	44.171%	0.15079	0.79
EXO1_0_multinomial_train1.91	0.9999999999999961	0.899	0.455	45.5%	0.06	48.287%	0.17217	0.75
EXO1_0_multinomial_train1.92	0.9999999999999967	0.908	0.411	41.1%	0.059	45.296%	0.1541	0.788
EXO1_0_multinomial_train1.93	0.9999999999999964	0.875	0.481	48.1%	0.067	54.063%	0.19897	0.695
EXO1_0_multinomial_train1.94	0.9999999999999962	0.866	0.5	50.0%	0.071	54.552%	0.23578	0.691
EXO1_0_multinomial_train1.95	0.9999999999999961	0.891	0.463	46.3%	0.063	49.405%	0.18243	0.74
EXO1_0_multinomial_train1.96	0.999999999999996	0.872	0.508	50.8%	0.069	50.8%	0.20717	0.703
EXO1_0_multinomial_train1.97	0.9999999999999962	0.897	0.47	47.0%	0.062	48.9%	0.17413	0.768
EXO1_0_multinomial_train1.98	0.9999999999999961	0.893	0.47	47.0%	0.063	49.408%	0.18582	0.756
OGG1_0_multinomial_train1	0.9999999999999978	0.996	0.225	22.5%	0.038	9.427%	0.11966	0.995
OGG1_0_multinomial_train1.1	0.9999999999999981	0.994	0.273	27.3%	0.046	11.266%	0.13879	0.993
OGG1_0_multinomial_train1.2	0.9999999999999972	0.994	0.256	25.6%	0.045	11.386%	0.1358	0.993
OGG1_0_multinomial_train1.3	0.9999999999999979	0.994	0.242	24.2%	0.046	10.815%	0.17176	0.994
OGG1_0_multinomial_train1.4	0.9999999999999976	0.99	0.295	29.5%	0.061	13.897%	1.66532	0.99
OGG1_0_multinomial_train1.5	0.9999999999999978	0.993	0.261	26.1%	0.053	12.638%	0.14709	0.992
OGG1_0_multinomial_train1.6	0.9999999999999979	0.997	0.205	20.5%	0.032	8.123%	0.11393	0.997
OGG1_0_multinomial_train1.7	0.9999999999999977	0.991	0.276	27.6%	0.054	13.648%	0.14693	0.99
OGG1_0_multinomial_train1.8	0.9999999999999973	0.988	0.3	30.0%	0.07	15.826%	0.15491	0.988
OGG1_0_multinomial_train1.9	0.9999999999999977	0.99	0.268	26.8%	0.061	14.321%	0.13268	0.989
OGG1_0_multinomial_train1.10	0.999999999999998	0.991	0.311	31.1%	0.06	14.001%	0.18664	0.991
OGG1_0_multinomial_train1.11	0.9999999999999977	0.994	0.255	25.5%	0.048	11.103%	0.12799	0.994
OGG1_0_multinomial_train1.12	0.9999999999999976	0.995	0.234	23.4%	0.039	10.142%	0.12868	0.995
OGG1_0_multinomial_train1.13	0.9999999999999977	0.994	0.258	25.8%	0.046	11.486%	0.16251	0.993
OGG1_0_multinomial_train1.14	0.9999999999999979	0.996	0.228	22.8%	0.038	9.522%	0.14615	0.995
OGG1_0_multinomial_train1.15	0.9999999999999972	0.994	0.24	24.0%	0.045	10.971%	0.15152	0.994
OGG1_0_multinomial_train1.16	0.9999999999999977	0.991	0.266	26.6%	0.056	13.61%	0.1284	0.99
OGG1_0_multinomial_train1.17	0.9999999999999976	0.992	0.258	25.8%	0.05	12.423%	0.13806	0.992
OGG1_0_multinomial_train1.18	0.9999999999999976	0.994	0.247	24.7%	0.048	11.475%	0.17392	0.993
OGG1_0_multinomial_train1.19	0.9999999999999978	0.99	0.291	29.1%	0.059	14.257%	0.14953	0.99
OGG1_0_multinomial_train1.20	0.9999999999999978	0.994	0.255	25.5%	0.047	11.256%	0.13813	0.993
OGG1_0_multinomial_train1.21	0.9999999999999976	0.996	0.214	21.4%	0.037	9.34%	0.12061	0.995
OGG1_0_multinomial_train1.22	0.9999999999999979	0.996	0.214	21.4%	0.037	8.908%	0.12984	0.996
OGG1_0_multinomial_train1.23	0.9999999999999977	0.996	0.224	22.4%	0.041	9.843%	0.11307	0.996
OGG1_0_multinomial_train1.24	0.9999999999999978	0.994	0.231	23.1%	0.042	11.232%	0.12841	0.993
OGG1_0_multinomial_train1.25	0.9999999999999974	0.991	0.275	27.5%	0.061	14.021%	0.13613	0.991
OGG1_0_multinomial_train1.26	0.9999999999999978	0.993	0.256	25.6%	0.048	11.745%	0.14588	0.993
OGG1_0_multinomial_train1.27	0.9999999999999973	0.993	0.274	27.4%	0.051	12.262%	0.52502	0.992
OGG1_0_multinomial_train1.28	0.9999999999999977	0.996	0.217	21.7%	0.036	8.803%	0.13846	0.996
