Samples	SBS96A	SBS96B	SBS96C
UNG_0_multinomial_train1.18	0.7853713159868414	0.21462868401315852	6.672992215727398e-52
OGG1_0_multinomial_train1.15	7.36e-322	6.97e-322	0.9999999999999999
UNG_0_multinomial_train1.19	0.684923210698208	0.2682338865113002	0.046842902790491796
OGG1_0_multinomial_train1.16	5.8e-322	6.8e-322	1.0
UNG_0_multinomial_train1.20	0.6489662421331055	0.30213067518731684	0.04890308267957749
UNG_0_multinomial_train1.21	0.5963214227751044	0.3396044045196701	0.06407417270522547
OGG1_0_multinomial_train1.17	4e-322	4.2e-322	1.0
UNG_0_multinomial_train1.22	0.7431801753921232	0.25681982460787683	9.330373746771941e-117
UNG_0_multinomial_train1.23	0.7394463230304655	0.2605536769695345	8.129472399545464e-227
UNG_0_multinomial_train1.24	0.684312046583273	0.2625303538261976	0.05315759959052918
OGG1_0_multinomial_train1.18	6.47e-322	6.77e-322	0.9999999999999999
UNG_0_multinomial_train1.25	0.8967111527631099	0.09162894178271302	0.01165990545417691
OGG1_0_multinomial_train1.19	5.9e-322	6.87e-322	1.0
UNG_0_multinomial_train1.26	0.5450755146811337	0.4141260396223687	0.0407984456964976
OGG1_0_multinomial_train1.20	6.47e-322	6.77e-322	1.0
UNG_0_multinomial_train1.27	0.8587202631274395	0.14127973687256062	2.732622205882795e-119
OGG1_0_multinomial_train1.21	5.742737177522384e-225	1.58e-321	1.0
OGG1_0_multinomial_train1.22	4.64e-322	4.15e-322	0.9999999999999999
UNG_0_multinomial_train1.28	0.7253055822992029	0.274694417700797	2.646963274205103e-58
UNG_0_multinomial_train1.29	0.6250047155725906	0.28154457127486016	0.09345071315254927
OGG1_0_multinomial_train1.23	3.9e-322	4.05e-322	1.0
OGG1_0_multinomial_train1.24	3.75e-322	5.9e-322	1.0
OGG1_0_multinomial_train1.25	3.55775950129668e-260	6.8e-322	0.9999999999999999
OGG1_0_multinomial_train1.26	4.05e-322	3.66e-322	0.9999999999999999
UNG_0_multinomial_train1.30	0.5655674604201864	0.3168651068677715	0.11756743271204217
OGG1_0_multinomial_train1.27	4.64e-322	4.15e-322	1.0
OGG1_0_multinomial_train1.28	5.4e-322	6.37e-322	1.0
UNG_0_multinomial_train1.31	0.7945059937259117	0.18301924033486536	0.02247476593922293
UNG_0_multinomial_train1.32	0.5714495759170586	0.3251017111692388	0.10344871291370257
UNG_0_multinomial_train1.33	0.7732837814698941	0.22671621853010598	1.3958007365802122e-181
OGG1_0_multinomial_train1.29	7.229126763992834e-299	6.8e-322	1.0
OGG1_0_multinomial_train1.30	5.3e-322	8.3e-322	1.0
UNG_0_multinomial_train1.34	0.5551609800274833	0.33895343034177605	0.10588558963074067
OGG1_0_multinomial_train1.31	5.4e-322	6.3e-322	1.0
UNG_0_multinomial_train1.35	0.6057606658010448	0.3565769853345427	0.037662348864412575
UNG_0_multinomial_train1.36	0.8087344727193837	0.1912655272806163	1.4905624914978193e-126
UNG_0_multinomial_train1.37	0.6669391245100127	0.3330608754899873	2.3223952974847196e-251
OGG1_0_multinomial_train1.32	6.13e-322	9.63e-322	1.0
UNG_0_multinomial_train1.38	0.7640257082844535	0.23597429171554646	1.1820426077211248e-34
OGG1_0_multinomial_train1.33	2.6080826165741124e-299	7.1e-322	1.0
OGG1_0_multinomial_train1.34	5.73e-322	6.77e-322	1.0
OGG1_0_multinomial_train1.35	6.7e-322	6.97e-322	1.0
OGG1_0_multinomial_train1.36	3.8e-322	3.95e-322	1.0
OGG1_0_multinomial_train1.37	4.45e-322	3.95e-322	1.0
OGG1_0_multinomial_train1.38	3.8e-322	3.95e-322	1.0
UNG_0_multinomial_train1.39	0.6749035823510133	0.3153550805245303	0.00974133712445638
OGG1_0_multinomial_train1.39	6.9e-322	1.927e-321	1.0
UNG_0_multinomial_train1.40	0.6594524253630749	0.3405475746369252	9.54e-322
OGG1_0_multinomial_train1.40	5.63e-322	6.6e-322	1.0
OGG1_0_multinomial_train1.41	4e-322	4.2e-322	1.0
UNG_0_multinomial_train1.41	0.7355430640368693	0.2644569359631308	3.0870844632171404e-224
OGG1_0_multinomial_train1.42	4.55e-322	4.05e-322	1.0
UNG_0_multinomial_train1.42	0.7176127347259877	0.2823872652740124	6.2e-322
OGG1_0_multinomial_train1.43	5.53e-322	4.3e-322	1.0
OGG1_0_multinomial_train1.44	6.27e-322	6.57e-322	1.0
OGG1_0_multinomial_train1.45	6.23e-322	4.3e-322	1.0
OGG1_0_multinomial_train1.46	5.014111057336892e-305	7.07e-322	1.0
UNG_0_multinomial_train1.43	0.4815415772443621	0.36156675755748713	0.15689166519815073
OGG1_0_multinomial_train1.47	6.2e-322	4.3e-322	1.0
OGG1_0_multinomial_train1.48	6.37e-322	8.84e-322	1.0
OGG1_0_multinomial_train1.49	6.37e-322	6.6e-322	1.0
OGG1_0_multinomial_train1.50	4.05e-322	6.37e-322	1.0
