Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
RNF168_boot.174	3.31E-02	3.85E-02	1.27E-01	1.48E-01	7.09E-02	8.41E-02	7.81E-02	0.00E+00
RNF168_boot.175	9.84E-02	7.14E-02	9.92E-04	2.32E-02	4.95E-02	2.30E-02	7.41E-02	4.50E-02
RNF168_boot.176	3.12E-02	4.04E-02	1.78E-01	1.68E-01	8.47E-02	9.12E-02	1.13E-01	3.35E-31
RNF168_boot.177	1.02E-01	5.00E-02	1.54E-04	2.42E-02	4.97E-02	2.17E-02	1.02E-01	3.89E-02
RNF168_boot.178	6.18E-02	5.88E-02	9.94E-27	1.21E-02	6.05E-02	1.71E-19	1.27E-01	1.03E-02
RNF168_boot.179	9.13E-02	6.68E-02	1.61E-03	2.26E-02	4.81E-02	3.30E-02	7.26E-02	1.98E-02
RNF168_boot.180	8.97E-02	5.35E-02	1.74E-03	2.29E-02	5.04E-02	2.83E-02	9.23E-02	2.02E-02
RNF168_boot.181	8.84E-02	7.32E-02	1.37E-37	2.20E-02	5.09E-02	2.81E-02	6.94E-02	2.12E-02
RNF168_boot.182	3.17E-02	3.82E-02	1.77E-01	1.49E-01	8.36E-02	9.18E-02	1.13E-01	1.00E-26
RNF168_boot.183	3.38E-02	4.18E-02	1.43E-01	1.40E-01	7.37E-02	8.15E-02	1.01E-01	0.00E+00
RNF168_boot.184	9.87E-02	7.12E-02	5.54E-05	2.51E-02	4.57E-02	2.20E-02	9.26E-02	2.18E-02
RNF168_boot.185	9.94E-02	4.96E-02	9.94E-27	2.33E-02	6.58E-02	1.50E-16	1.06E-01	5.85E-02
RNF168_boot.186	9.33E-02	4.96E-02	1.81E-05	2.44E-02	4.93E-02	2.44E-02	1.07E-01	1.38E-02
RNF168_boot.187	3.44E-02	4.06E-02	1.55E-01	1.43E-01	7.77E-02	8.76E-02	1.05E-01	0.00E+00
RNF168_boot.188	3.49E-02	3.60E-02	1.42E-01	1.47E-01	7.41E-02	8.75E-02	7.61E-02	0.00E+00
RNF168_boot.189	9.84E-02	4.99E-02	9.86E-27	2.46E-02	6.43E-02	6.16E-18	1.12E-01	2.63E-04
RNF168_boot.190	3.16E-02	3.90E-02	1.52E-01	1.66E-01	7.86E-02	8.60E-02	1.07E-01	0.00E+00
RNF168_boot.191	1.05E-01	4.95E-02	1.18E-05	2.48E-02	4.43E-02	3.34E-02	1.07E-01	3.53E-02
RNF168_boot.192	9.35E-02	5.15E-02	1.00E-26	2.35E-02	4.72E-02	3.35E-02	1.05E-01	1.79E-02
RNF168_boot.193	3.56E-02	4.18E-02	1.47E-01	1.48E-01	7.78E-02	8.53E-02	1.08E-01	0.00E+00
RNF168_boot.194	6.14E-02	4.90E-02	9.94E-27	1.17E-02	5.90E-02	3.37E-24	1.14E-01	1.91E-02
RNF168_boot.195	3.29E-02	3.79E-02	1.63E-01	1.49E-01	7.87E-02	8.76E-02	1.08E-01	4.18E-34
RNF168_boot.196	3.05E-02	3.97E-02	2.26E-01	1.44E-01	1.01E-01	1.01E-01	1.33E-01	1.33E-26
RNF168_boot.197	3.24E-02	3.91E-02	1.51E-01	1.49E-01	7.72E-02	8.63E-02	1.06E-01	0.00E+00
RNF168_boot.198	2.70E-02	3.74E-02	2.92E-01	1.61E-01	1.21E-01	1.11E-01	1.54E-01	1.53E-26
RNF168_boot.199	3.30E-02	3.86E-02	1.61E-01	1.59E-01	7.93E-02	8.86E-02	1.09E-01	0.00E+00
RNF168_boot.200	3.52E-02	3.65E-02	1.34E-01	1.46E-01	7.24E-02	8.47E-02	7.97E-02	0.00E+00
RNF168_boot.201	1.02E-01	8.16E-02	9.43E-04	2.48E-02	4.90E-02	1.74E-02	7.81E-02	4.60E-02
RNF168_boot.202	3.73E-02	3.79E-02	1.22E-01	1.48E-01	6.60E-02	8.11E-02	7.19E-02	0.00E+00
RNF168_boot.203	3.21E-02	4.17E-02	1.42E-01	1.67E-01	7.65E-02	8.36E-02	1.04E-01	0.00E+00
RNF168_boot.204	6.17E-02	6.04E-02	9.94E-27	1.18E-02	6.30E-02	4.60E-15	1.42E-01	9.75E-05
RNF168_boot.205	9.54E-02	6.41E-02	6.48E-04	2.46E-02	4.96E-02	2.09E-02	8.60E-02	1.99E-02
RNF168_boot.206	3.32E-02	3.88E-02	1.57E-01	1.40E-01	7.91E-02	8.80E-02	1.10E-01	0.00E+00
RNF168_boot.207	1.00E-01	5.83E-02	9.94E-27	2.40E-02	6.27E-02	5.83E-18	1.24E-01	1.79E-02
RNF168_boot.208	9.58E-02	8.33E-02	9.88E-27	2.44E-02	6.61E-02	2.87E-20	8.35E-02	1.64E-02
RNF168_real	3.75E-02	3.61E-02	1.35E-01	1.53E-01	7.27E-02	8.45E-02	7.45E-02	0.00E+00
RNF168_real.1	3.37E-02	6.40E-02	1.11E-02	3.89E-02	4.54E-02	7.08E-02	5.66E-27	9.90E-02
RNF168_real.2	3.19E-02	6.34E-02	1.27E-02	5.92E-02	4.56E-02	7.15E-02	6.51E-61	9.60E-02
MLH1_boot	1.00E-26	6.28E-02	0.00E+00	8.48E-02	0.00E+00	9.99E-02	1.06E-02	3.64E-02
MLH1_boot.1	6.25E-02	9.70E-02	0.00E+00	2.57E-02	1.39E-02	1.09E-01	0.00E+00	1.02E-01
MLH1_boot.2	2.60E-30	7.65E-02	5.53E-79	6.98E-02	1.75E-132	1.03E-01	9.65E-03	3.56E-02
MLH1_boot.3	1.00E-26	7.70E-02	1.10E-43	8.86E-02	9.26E-127	9.96E-02	8.81E-03	3.50E-02
MLH1_boot.4	3.09E-27	8.05E-02	1.33E-100	7.26E-02	1.14E-110	1.01E-01	9.66E-03	3.58E-02
MLH1_boot.5	6.25E-02	9.28E-02	0.00E+00	2.68E-02	1.28E-02	1.07E-01	0.00E+00	1.09E-01
MLH1_boot.6	6.91E-05	9.83E-02	0.00E+00	2.61E-02	9.33E-03	1.09E-01	0.00E+00	9.18E-02
MLH1_boot.7	3.87E-29	7.73E-02	1.94E-92	7.83E-02	2.60E-129	1.03E-01	8.87E-03	3.57E-02
MLH1_boot.8	1.00E-26	8.95E-02	0.00E+00	8.52E-02	1.33E-117	1.04E-01	8.77E-03	3.67E-02
MLH1_boot.9	6.33E-02	1.02E-01	0.00E+00	2.61E-02	1.34E-02	1.08E-01	0.00E+00	8.03E-02
MLH1_boot.10	6.44E-02	9.51E-02	0.00E+00	2.62E-02	8.94E-03	1.08E-01	0.00E+00	7.91E-02
MLH1_boot.11	3.89E-27	6.81E-02	4.56E-81	7.00E-02	1.97E-156	1.02E-01	9.72E-03	3.62E-02
MLH1_boot.12	1.00E-26	1.03E-01	1.00E-26	8.81E-02	0.00E+00	1.05E-01	7.27E-03	3.54E-02
MLH1_boot.13	1.00E-26	8.96E-02	8.50E-95	9.09E-02	4.11E-116	1.05E-01	9.31E-03	3.51E-02
MLH1_boot.14	4.81E-02	1.11E-01	0.00E+00	2.18E-02	9.31E-03	1.09E-01	0.00E+00	9.02E-02
MLH1_boot.15	7.48E-11	1.05E-01	0.00E+00	3.66E-01	1.12E-02	1.08E-01	0.00E+00	7.87E-02
MLH1_boot.16	8.99E-18	7.92E-02	2.20E-80	7.20E-02	0.00E+00	9.99E-02	1.08E-02	3.53E-02
MLH1_boot.17	3.19E-27	6.83E-02	4.88E-85	6.96E-02	0.00E+00	9.97E-02	1.08E-02	3.58E-02
MLH1_boot.18	6.08E-02	8.21E-02	0.00E+00	2.76E-02	1.32E-02	1.07E-01	0.00E+00	7.24E-02
MLH1_boot.19	5.83E-02	8.28E-02	0.00E+00	2.74E-02	8.72E-03	1.07E-01	0.00E+00	7.36E-02
MLH1_boot.20	2.20E-27	6.58E-02	6.83E-81	7.04E-02	0.00E+00	9.84E-02	1.08E-02	3.58E-02
MLH1_boot.21	1.00E-26	6.85E-02	1.08E-64	8.60E-02	0.00E+00	9.82E-02	1.23E-02	3.55E-02
MLH1_boot.22	1.00E-26	6.58E-02	0.00E+00	8.67E-02	0.00E+00	9.87E-02	1.16E-02	3.59E-02
MLH1_boot.23	1.55E-27	6.69E-02	8.15E-87	7.01E-02	0.00E+00	9.86E-02	1.11E-02	3.53E-02
