Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
BRCA_TCGA-AR-A24T	8	0	1	0	0	0	0	0	3	3	7	2	0
BRCA_TCGA-AR-A24U	4	0	3	4	0	1	0	1	5	0	7	19	0
BRCA_TCGA-AR-A24V	7	0	3	2	0	0	1	0	0	5	5	5	0
BRCA_TCGA-AR-A24W	0	0	1	1	3	0	0	0	4	0	5	0	0
BRCA_TCGA-AR-A24X	4	0	4	3	0	0	1	0	1	5	14	0	2
BRCA_TCGA-AR-A24Z	10	0	2	0	7	0	0	0	4	0	27	6	0
BRCA_TCGA-AR-A250	24	4	13	3	6	5	2	0	9	0	29	60	0
BRCA_TCGA-AR-A251	1	5	0	7	0	9	5	0	26	15	99	34	4
BRCA_TCGA-AR-A252	5	0	0	1	1	0	2	0	7	3	0	0	0
BRCA_TCGA-AR-A254	9	1	4	1	2	0	0	1	6	0	13	5	0
BRCA_TCGA-AR-A255	8	7	6	0	7	0	3	0	4	6	19	29	0
BRCA_TCGA-AR-A256	0	4	7	9	5	3	5	3	32	10	110	29	7
BRCA_TCGA-AR-A2LE	0	13	42	5	0	0	2	0	47	0	0	284	1
BRCA_TCGA-AR-A2LH	0	1	8	5	0	4	1	0	12	0	0	40	0
BRCA_TCGA-AR-A2LK	13	0	1	1	0	6	3	0	10	1	9	4	0
BRCA_TCGA-AR-A2LL	10	3	1	0	1	0	1	4	9	0	8	0	0
BRCA_TCGA-AR-A2LM	0	0	2	0	0	0	0	0	2	4	9	0	0
BRCA_TCGA-AR-A2LN	0	0	7	3	0	2	4	0	19	0	0	19	0
BRCA_TCGA-AR-A2LO	3	0	1	0	0	0	0	0	0	0	8	3	2
BRCA_TCGA-AR-A2LQ	3	0	0	0	0	0	0	0	5	3	2	0	0
BRCA_TCGA-AR-A2LR	2	1	3	9	0	1	0	8	14	1	30	1	0
BRCA_TCGA-AR-A5QM	6	0	1	1	0	4	0	1	6	5	12	0	0
BRCA_TCGA-AR-A5QN	8	0	4	7	2	0	5	0	15	1	3	4	0
BRCA_TCGA-AR-A5QP	6	1	2	0	2	0	6	1	8	0	5	3	0
BRCA_TCGA-AR-A5QQ	7	1	0	0	9	0	12	0	13	5	33	11	5
BRCA_TCGA-B6-A0I1	14	0	4	0	4	0	2	7	6	0	37	6	0
BRCA_TCGA-B6-A0IH	3	0	4	12	0	1	2	1	9	0	8	1	0
BRCA_TCGA-B6-A0RH	5	0	2	0	4	0	1	7	4	0	7	15	0
BRCA_TCGA-B6-A0RL	14	1	3	0	12	0	2	0	12	0	7	16	2
BRCA_TCGA-B6-A0RM	7	0	1	2	4	0	3	4	4	0	5	6	0
BRCA_TCGA-B6-A0RN	10	0	1	0	6	1	3	1	0	1	7	2	1
BRCA_TCGA-B6-A0RO	0	0	6	1	7	1	0	0	11	5	8	3	1
BRCA_TCGA-B6-A0RP	0	0	0	5	0	0	0	0	14	2	9	0	0
BRCA_TCGA-B6-A0RQ	1	1	4	4	0	0	2	1	15	6	5	14	3
BRCA_TCGA-B6-A0RT	4	1	2	2	0	4	3	4	4	0	30	18	0
BRCA_TCGA-B6-A0RU	5	1	6	5	0	2	3	0	4	8	16	6	2
BRCA_TCGA-B6-A0RV	7	2	4	0	0	0	2	2	0	0	0	50	0
BRCA_TCGA-B6-A0WS	1	1	0	1	1	0	2	2	1	6	0	3	0
BRCA_TCGA-B6-A0WT	5	1	3	0	0	0	1	0	2	9	0	0	1
BRCA_TCGA-B6-A0WV	2	0	0	1	5	0	2	1	9	0	10	4	3
BRCA_TCGA-B6-A0WW	7	2	3	0	0	0	3	2	5	8	9	8	0
BRCA_TCGA-B6-A0WX	10	2	3	0	4	0	6	2	0	3	14	1	0
BRCA_TCGA-B6-A0WY	2	0	3	6	2	2	3	1	0	1	8	7	0
BRCA_TCGA-B6-A0WZ	0	1	8	4	2	0	0	0	12	0	1	66	1
BRCA_TCGA-B6-A0X0	3	1	2	0	0	0	0	0	4	4	10	1	0
BRCA_TCGA-B6-A0X1	0	1	7	2	7	0	8	0	18	6	25	17	1
BRCA_TCGA-B6-A0X4	2	3	6	0	0	0	0	0	6	0	5	0	0
BRCA_TCGA-B6-A0X5	1	6	8	2	2	0	4	1	0	11	8	5	0
BRCA_TCGA-B6-A0X7	4	0	2	0	3	0	0	1	4	1	4	4	0
BRCA_TCGA-B6-A1KN	5	6	0	4	4	3	2	1	17	5	21	4	0
BRCA_TCGA-B6-A2IU	2	0	9	9	0	0	2	0	13	6	0	13	0
BRCA_TCGA-B6-A401	3	0	2	6	2	0	0	0	6	0	8	0	1
BRCA_TCGA-B6-A409	10	0	3	2	1	1	0	1	11	7	12	6	2
BRCA_TCGA-B6-A40B	1	1	1	7	0	0	1	0	22	4	13	16	0
BRCA_TCGA-B6-A40C	15	3	0	0	3	0	2	4	8	0	14	5	0
BRCA_TCGA-BH-A0AU	5	0	0	1	4	1	0	0	0	0	8	3	1
BRCA_TCGA-BH-A0AV	0	1	3	4	6	0	5	4	17	5	27	14	1
BRCA_TCGA-BH-A0AY	6	2	5	0	3	0	1	2	6	2	13	6	0
BRCA_TCGA-BH-A0AZ	1	2	1	0	6	0	0	4	5	7	20	20	4
BRCA_TCGA-BH-A0B0	0	1	16	7	0	0	0	0	7	0	0	67	1
BRCA_TCGA-BH-A0B3	4	1	1	0	0	2	0	0	0	0	7	3	0
BRCA_TCGA-BH-A0B6	0	20	110	14	4	0	0	0	103	0	0	1034	5
BRCA_TCGA-BH-A0B7	5	0	6	4	0	0	0	0	9	0	6	8	4
BRCA_TCGA-BH-A0B8	0	1	1	2	5	0	0	0	9	0	12	4	0
BRCA_TCGA-BH-A0BA	3	0	1	2	3	0	0	4	0	2	6	8	0
BRCA_TCGA-BH-A0BC	6	0	3	4	0	0	0	5	7	1	9	10	0
BRCA_TCGA-BH-A0BF	5	0	2	1	3	0	0	0	1	5	9	6	1
BRCA_TCGA-BH-A0BG	3	0	0	3	0	2	1	0	4	2	22	8	0
BRCA_TCGA-BH-A0BJ	1	0	1	1	1	1	1	1	1	0	9	0	0
BRCA_TCGA-BH-A0BL	10	3	3	1	0	0	2	2	4	3	38	2	1
BRCA_TCGA-BH-A0BM	0	2	0	1	0	0	0	0	7	3	3	3	0
BRCA_TCGA-BH-A0BO	5	0	1	0	5	0	0	0	1	15	0	4	0
BRCA_TCGA-BH-A0BP	18	4	15	5	9	2	1	0	31	2	62	47	0
BRCA_TCGA-BH-A0BQ	6	1	2	0	5	0	0	0	4	0	10	2	0
BRCA_TCGA-BH-A0BS	2	0	0	1	1	0	1	0	7	4	5	1	1
BRCA_TCGA-BH-A0BT	5	1	3	8	0	0	1	0	12	5	8	5	0
BRCA_TCGA-BH-A0BV	0	0	1	2	0	0	0	1	14	1	1	4	0
BRCA_TCGA-BH-A0BW	8	0	2	1	13	1	6	4	5	7	37	15	4
BRCA_TCGA-BH-A0BZ	0	14	3	21	13	0	9	6	33	13	141	38	5
BRCA_TCGA-BH-A0C0	3	0	2	1	2	8	2	0	1	7	17	5	0
BRCA_TCGA-BH-A0C1	7	0	1	8	10	0	0	0	7	0	8	7	2
BRCA_TCGA-BH-A0C3	2	0	1	0	0	1	4	2	2	1	5	0	0
BRCA_TCGA-BH-A0C7	13	0	2	0	7	2	2	6	2	1	19	4	0
BRCA_TCGA-BH-A0DD	7	0	3	6	0	0	3	1	5	0	6	6	0
