Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
BRCA_TCGA-E9-A1RI	3	3	1	2	1	0	2	1	6	0	5	5	0
BRCA_TCGA-E9-A226	6	1	11	4	0	0	2	0	6	0	6	43	0
BRCA_TCGA-E9-A227	1	0	1	0	1	0	0	0	6	1	5	4	0
BRCA_TCGA-E9-A228	16	0	0	2	0	4	1	0	12	0	3	12	2
BRCA_TCGA-E9-A229	6	1	0	4	0	0	0	0	5	1	5	6	2
BRCA_TCGA-E9-A22A	5	0	1	0	2	0	1	2	0	0	17	8	0
BRCA_TCGA-E9-A22B	10	0	4	5	0	0	0	9	12	7	14	12	3
BRCA_TCGA-E9-A22D	12	1	6	4	1	0	0	3	0	0	8	5	0
BRCA_TCGA-E9-A22E	9	3	2	1	3	2	4	5	8	0	64	35	8
BRCA_TCGA-E9-A22G	2	3	1	2	2	2	14	0	12	22	42	8	7
BRCA_TCGA-E9-A22H	9	0	1	0	0	0	3	0	4	1	6	2	0
BRCA_TCGA-E9-A243	6	3	2	1	10	0	5	2	0	9	31	19	1
BRCA_TCGA-E9-A244	16	6	0	4	12	0	0	5	6	11	52	7	2
BRCA_TCGA-E9-A245	0	2	1	0	2	0	0	2	2	5	8	1	0
BRCA_TCGA-E9-A247	18	0	2	10	2	2	2	0	0	0	9	1	1
BRCA_TCGA-E9-A248	7	1	0	4	0	5	0	0	3	0	1	7	0
BRCA_TCGA-E9-A249	6	0	1	5	0	0	0	1	0	2	9	1	0
BRCA_TCGA-E9-A24A	4	3	2	0	0	0	0	0	5	2	5	0	1
BRCA_TCGA-E9-A295	25	7	3	0	0	11	2	4	3	0	49	5	0
BRCA_TCGA-E9-A2JS	25	1	6	2	0	6	2	0	14	7	23	1	2
BRCA_TCGA-E9-A2JT	0	1	1	0	1	0	0	3	0	1	0	21	0
BRCA_TCGA-E9-A3HO	0	0	2	1	9	0	3	2	6	3	36	8	2
BRCA_TCGA-E9-A3QA	2	0	2	0	4	1	0	0	3	1	27	22	0
BRCA_TCGA-E9-A3X8	3	0	1	2	0	0	0	0	11	0	11	6	3
BRCA_TCGA-E9-A54Y	10	2	3	2	0	0	2	0	12	6	4	16	1
BRCA_TCGA-E9-A5FK	5	2	1	1	5	0	1	0	9	2	9	3	1
BRCA_TCGA-E9-A5FL	4	3	5	9	8	2	6	1	4	7	59	23	2
BRCA_TCGA-E9-A5UO	8	0	0	1	4	2	1	0	7	1	13	1	0
BRCA_TCGA-E9-A6HE	4	0	2	4	0	0	1	0	8	1	1	0	1
BRCA_TCGA-EW-A1IW	12	2	3	0	4	0	1	0	20	2	16	66	1
BRCA_TCGA-EW-A1IX	0	1	1	0	8	0	0	0	0	1	4	27	0
BRCA_TCGA-EW-A1IY	0	0	8	0	0	3	4	0	9	0	0	14	0
BRCA_TCGA-EW-A1IZ	120	0	23	36	84	34	60	15	6	46	3	4	4
BRCA_TCGA-EW-A1J1	6	0	2	2	0	2	0	0	1	0	8	0	2
BRCA_TCGA-EW-A1J3	0	0	0	3	0	1	4	0	16	0	5	1	0
BRCA_TCGA-EW-A1J5	2	7	41	0	10	0	0	1	29	0	0	450	0
BRCA_TCGA-EW-A1J6	8	0	0	0	0	1	1	2	6	0	24	2	0
BRCA_TCGA-EW-A1OV	5	0	12	0	3	0	1	1	17	0	5	96	0
BRCA_TCGA-EW-A1OX	1	0	1	3	1	0	0	0	0	0	9	6	0
BRCA_TCGA-EW-A1OZ	18	1	3	1	2	2	3	0	15	2	10	11	8
BRCA_TCGA-EW-A1P0	2	0	1	0	4	1	1	1	2	5	9	0	2
BRCA_TCGA-EW-A1P1	1	0	0	0	0	0	0	1	0	0	1	0	0
BRCA_TCGA-EW-A1P3	4	0	1	0	0	0	0	0	11	4	7	1	0
BRCA_TCGA-EW-A1P4	9	1	3	0	8	0	12	2	0	0	33	8	1
BRCA_TCGA-EW-A1P5	7	1	0	6	0	0	0	0	0	1	4	1	0
BRCA_TCGA-EW-A1P6	5	0	1	0	0	0	2	2	4	0	11	1	0
BRCA_TCGA-EW-A1P7	0	0	0	1	5	0	2	0	2	0	8	0	1
BRCA_TCGA-EW-A1P8	0	0	3	8	0	2	0	1	9	4	11	1	0
BRCA_TCGA-EW-A1PA	2	1	7	4	0	4	2	0	4	0	12	5	0
BRCA_TCGA-EW-A1PB	4	6	4	0	6	0	4	4	11	0	62	81	0
BRCA_TCGA-EW-A1PD	0	2	1	3	7	5	5	0	11	0	38	19	2
BRCA_TCGA-EW-A1PE	2	0	2	6	0	0	3	2	4	0	11	6	2
BRCA_TCGA-EW-A1PG	2	0	4	1	0	0	3	0	0	1	0	0	0
BRCA_TCGA-EW-A1PH	14	1	5	0	0	0	3	0	9	6	15	7	2
BRCA_TCGA-EW-A2FR	7	1	2	0	0	0	0	0	11	5	15	13	0
BRCA_TCGA-EW-A2FS	8	1	0	0	3	4	4	4	14	4	2	1	0
BRCA_TCGA-EW-A2FV	1	0	4	2	1	0	0	4	5	5	9	1	0
BRCA_TCGA-EW-A2FW	11	1	0	1	0	0	1	0	5	0	4	3	0
BRCA_TCGA-EW-A423	8	0	4	10	0	0	1	4	23	5	13	20	0
BRCA_TCGA-EW-A6S9	7	1	2	1	0	2	0	0	4	5	5	4	0
BRCA_TCGA-EW-A6SA	7	3	8	11	14	1	1	13	17	0	31	17	0
BRCA_TCGA-EW-A6SB	13	0	7	0	4	2	8	0	10	7	21	5	4
BRCA_TCGA-EW-A6SC	0	0	0	6	4	0	3	1	9	5	4	7	0
BRCA_TCGA-EW-A6SD	9	3	1	2	1	3	3	0	0	11	3	32	0
BRCA_TCGA-GI-A2C8	15	2	0	5	11	4	0	3	0	9	74	23	2
BRCA_TCGA-GM-A2D9	0	14	48	5	5	0	5	0	79	0	0	489	0
BRCA_TCGA-GM-A2DA	9	1	4	0	7	0	0	2	0	0	14	8	0
BRCA_TCGA-GM-A2DB	16	4	3	0	4	5	5	4	11	2	60	12	2
BRCA_TCGA-GM-A2DC	10	0	0	0	0	0	0	0	9	1	5	0	2
BRCA_TCGA-GM-A2DD	4	1	3	6	4	2	6	2	6	3	24	5	2
BRCA_TCGA-GM-A2DF	10	0	3	2	2	2	3	0	13	0	9	6	3
BRCA_TCGA-GM-A2DH	8	8	8	3	14	0	0	1	2	14	70	103	1
BRCA_TCGA-GM-A2DI	1	0	12	1	0	0	0	3	7	3	0	64	0
BRCA_TCGA-GM-A2DK	4	0	3	0	2	0	3	4	7	8	1	4	1
BRCA_TCGA-GM-A2DL	6	5	3	0	1	0	1	3	7	1	11	11	0
BRCA_TCGA-GM-A2DM	0	2	3	0	0	0	6	1	1	2	7	4	1
BRCA_TCGA-GM-A2DN	3	0	1	0	0	1	1	0	7	1	3	2	0
BRCA_TCGA-GM-A2DO	4	3	30	0	4	0	2	0	15	0	0	162	0
BRCA_TCGA-GM-A3NW	12	1	5	5	1	0	0	0	7	0	11	50	3
BRCA_TCGA-GM-A3XL	10	1	3	0	7	0	5	0	1	15	60	42	0
BRCA_TCGA-GM-A4E0	9	0	3	0	3	2	1	1	0	0	15	0	0
BRCA_TCGA-GM-A5PV	3	0	4	0	0	1	5	1	6	2	15	9	1
BRCA_TCGA-GM-A5PX	5	0	2	1	5	0	4	0	8	3	5	7	2
BRCA_TCGA-HN-A2NL	9	1	1	0	0	6	4	3	7	10	41	9	0
BRCA_TCGA-HN-A2OB	3	0	1	0	3	0	1	1	0	0	4	4	2
BRCA_TCGA-JL-A3YX	8	1	2	2	4	4	0	0	5	2	0	21	0
BRCA_TCGA-LD-A66U	8	2	0	5	10	0	6	0	5	0	7	1	0
BRCA_TCGA-LD-A74U	9	1	31	2	0	0	1	0	56	0	0	252	0
BRCA_TCGA-LD-A7W5	14	1	4	1	10	0	2	1	8	2	5	16	1
BRCA_TCGA-LD-A7W6	5	1	1	5	0	0	4	3	8	0	16	3	0
BRCA_TCGA-LD-A9QF	11	0	2	0	0	0	3	2	6	0	13	2	0
BRCA_TCGA-LL-A440	1	0	1	0	0	0	0	0	3	0	0	1	0
BRCA_TCGA-LL-A50Y	10	0	0	0	5	0	7	2	7	0	9	3	0
BRCA_TCGA-LL-A5YL	9	0	13	1	2	1	4	1	21	0	8	33	0
BRCA_TCGA-LL-A5YM	4	0	1	4	3	0	1	1	8	0	14	4	0
BRCA_TCGA-LL-A5YN	6	0	3	0	5	0	4	0	13	0	8	0	4
BRCA_TCGA-LL-A5YO	1	2	1	5	5	0	0	1	0	6	22	15	3
BRCA_TCGA-LL-A5YP	0	5	2	7	9	0	5	0	15	2	46	14	0
BRCA_TCGA-LL-A6FP	0	3	7	5	3	0	3	0	20	3	16	14	1
BRCA_TCGA-LL-A6FQ	16	0	3	7	0	0	0	0	16	13	10	4	0
BRCA_TCGA-LL-A6FR	12	0	4	0	12	0	6	3	6	0	17	3	0
BRCA_TCGA-LL-A73Y	6	2	13	3	8	0	13	5	0	2	23	116	2
BRCA_TCGA-LL-A73Z	10	0	0	0	11	0	0	2	5	0	16	3	1
BRCA_TCGA-LL-A740	5	1	2	5	4	0	9	0	22	0	15	5	0
BRCA_TCGA-LL-A7SZ	12	3	8	4	5	0	2	1	7	13	7	9	4
BRCA_TCGA-LL-A7T0	16	2	6	7	4	0	4	3	0	4	18	12	1
BRCA_TCGA-LL-A8F5	11	3	4	0	14	4	10	7	21	15	87	18	6
BRCA_TCGA-LL-A9Q3	10	0	5	7	3	4	2	0	8	1	18	8	2
BRCA_TCGA-OK-A5Q2	9	0	8	0	5	0	0	2	2	1	7	6	3
BRCA_TCGA-OL-A5D6	8	1	4	0	1	0	3	3	11	0	17	7	2
BRCA_TCGA-OL-A5D7	11	1	0	0	7	0	6	0	9	0	28	14	4
BRCA_TCGA-OL-A5D8	6	0	0	5	0	1	0	3	5	4	5	4	6
BRCA_TCGA-OL-A5DA	8	1	17	1	7	0	3	0	6	0	11	58	2
BRCA_TCGA-OL-A5RU	8	0	1	5	0	0	3	0	15	0	13	1	0
BRCA_TCGA-OL-A5RV	6	0	0	0	4	0	0	2	0	0	4	0	1
BRCA_TCGA-OL-A5RW	0	1	10	10	15	0	9	1	3	11	76	113	4
BRCA_TCGA-OL-A5RX	8	0	3	5	1	0	2	0	0	6	8	2	0
BRCA_TCGA-OL-A5RY	3	0	0	2	3	0	0	0	0	1	1	3	0
BRCA_TCGA-OL-A5RZ	24	4	9	13	0	4	5	1	18	0	53	19	2
BRCA_TCGA-OL-A5S0	13	0	2	0	4	0	4	0	6	0	8	5	2
BRCA_TCGA-OL-A66H	3	0	0	2	3	0	0	0	3	3	12	1	0
BRCA_TCGA-OL-A66I	6	0	3	3	0	5	1	2	13	0	18	5	0
BRCA_TCGA-OL-A66J	12	3	1	5	0	2	3	3	13	8	7	10	1
BRCA_TCGA-OL-A66K	7	0	1	13	0	0	0	0	6	0	16	4	0
BRCA_TCGA-OL-A66L	4	1	8	5	0	0	1	0	10	9	0	56	0
BRCA_TCGA-OL-A66N	17	0	3	2	4	1	3	1	6	4	13	3	1
BRCA_TCGA-OL-A66O	10	0	0	2	1	0	0	5	3	5	8	2	2
BRCA_TCGA-OL-A66P	5	4	6	6	2	4	16	1	16	4	56	2	1
BRCA_TCGA-OL-A6VO	10	3	0	2	3	0	0	0	6	2	7	3	2
BRCA_TCGA-OL-A6VQ	8	3	6	2	4	0	6	0	7	0	1	45	0
BRCA_TCGA-OL-A6VR	2	0	1	5	2	0	1	0	0	0	5	1	0
BRCA_TCGA-OL-A97C	8	1	0	5	13	4	4	4	10	1	17	2	1
BRCA_TCGA-PE-A5DC	13	0	4	4	6	6	8	0	18	4	63	20	8
BRCA_TCGA-PE-A5DD	8	0	7	2	0	0	0	0	17	8	5	38	0
BRCA_TCGA-PE-A5DE	0	4	92	17	0	0	3	0	67	0	0	506	0
BRCA_TCGA-PL-A8LV	7	8	3	3	5	0	8	2	12	11	50	44	2
BRCA_TCGA-PL-A8LX	9	0	0	2	8	1	8	0	4	0	14	1	2
BRCA_TCGA-PL-A8LY	1	0	0	0	1	0	0	0	1	3	0	0	1
BRCA_TCGA-PL-A8LZ	0	0	8	7	1	13	0	0	27	8	59	13	0
BRCA_TCGA-S3-A6ZF	18	1	0	0	0	0	2	0	14	0	10	5	2
BRCA_TCGA-S3-A6ZG	13	0	10	0	8	0	1	1	3	3	15	3	3
BRCA_TCGA-S3-A6ZH	9	2	4	5	4	0	1	0	0	0	12	4	4
BRCA_TCGA-S3-AA0Z	13	5	1	0	2	0	5	0	19	9	5	17	1
BRCA_TCGA-S3-AA10	1	0	1	5	5	3	11	3	24	0	70	22	5
BRCA_TCGA-S3-AA11	0	5	5	6	3	2	5	0	15	6	46	3	0
BRCA_TCGA-S3-AA12	9	0	3	0	0	2	3	2	16	4	14	5	2
BRCA_TCGA-S3-AA14	10	0	0	1	2	0	0	1	0	0	4	6	0
BRCA_TCGA-S3-AA15	3	1	5	2	0	2	0	0	5	1	2	36	3
BRCA_TCGA-S3-AA17	9	0	6	4	11	0	5	9	7	13	55	18	4
BRCA_TCGA-UL-AAZ6	7	4	4	6	23	2	7	5	8	1	49	20	4
BRCA_TCGA-UU-A93S	0	5	2	27	0	8	0	1	28	11	92	18	4
BRCA_TCGA-V7-A7HQ	3	0	1	2	0	0	2	0	5	0	14	4	0
BRCA_TCGA-W8-A86G	7	0	0	1	4	0	4	6	4	0	6	3	0
BRCA_TCGA-WT-AB41	6	0	4	0	7	0	3	2	14	0	4	22	0
BRCA_TCGA-WT-AB44	11	3	1	10	1	0	0	3	8	3	19	0	1
BRCA_TCGA-XX-A899	0	0	10	1	4	0	2	1	10	0	6	26	0
BRCA_TCGA-XX-A89A	17	3	22	2	3	0	0	8	0	8	10	192	0
BRCA_TCGA-Z7-A8R5	17	0	0	0	6	0	0	1	4	2	3	1	0
BRCA_TCGA-Z7-A8R6	4	3	11	11	3	0	3	0	16	0	0	54	2
COAD_TCGA-3L-AA1B	64	5	18	6	1	8	2	0	21	8	39	8	0
COAD_TCGA-4N-A93T	44	7	9	0	14	1	0	8	13	15	30	2	0
COAD_TCGA-4T-AA8H	55	6	9	20	3	7	0	2	42	8	26	1	0
COAD_TCGA-5M-AAT4	71	10	6	18	6	8	0	6	11	2	75	18	24
COAD_TCGA-5M-AAT5	48	9	2	8	0	2	1	0	20	8	21	2	3
COAD_TCGA-5M-AAT6	969	0	60	307	280	50	283	16	0	508	0	0	36
COAD_TCGA-5M-AATA	48	3	7	10	8	0	9	4	10	0	17	0	2
COAD_TCGA-5M-AATE	67	6	9	6	18	4	6	9	10	0	28	14	7
COAD_TCGA-A6-2671	33	3	3	8	3	0	0	8	3	0	30	3	0
COAD_TCGA-A6-2674	62	2	8	7	0	6	3	4	12	5	32	23	3
COAD_TCGA-A6-2675	67	3	3	11	3	0	6	2	10	0	24	9	2
COAD_TCGA-A6-2677	66	4	18	7	13	4	0	8	18	12	46	0	3
COAD_TCGA-A6-2681	69	2	5	1	1	8	6	9	8	16	49	0	8
COAD_TCGA-A6-2684	61	1	6	11	0	1	0	0	19	14	24	9	1
COAD_TCGA-A6-2685	26	1	2	2	3	1	0	0	9	6	10	7	0
COAD_TCGA-A6-2686	868	7	70	289	567	180	98	0	136	281	0	5	26
COAD_TCGA-A6-3809	391	9	1	161	242	99	168	20	0	297	33	1	54
COAD_TCGA-A6-3810	69	4	12	6	19	5	3	10	28	6	53	21	14
COAD_TCGA-A6-4105	61	0	3	28	0	12	6	10	7	13	62	14	3
COAD_TCGA-A6-4107	92	12	8	0	23	1	4	2	29	27	39	6	4
COAD_TCGA-A6-5656	78	3	8	11	4	0	4	4	7	8	32	3	2
COAD_TCGA-A6-5657	45	2	15	0	3	10	2	6	21	1	43	11	0
COAD_TCGA-A6-5659	105	11	31	7	1	7	2	0	43	31	67	4	0
COAD_TCGA-A6-5660	69	3	8	1	9	0	7	3	9	14	35	9	0
COAD_TCGA-A6-5661	561	17	38	214	374	105	16	13	0	133	73	8	9
COAD_TCGA-A6-5662	26	0	7	7	6	0	3	4	4	2	26	6	0
COAD_TCGA-A6-5664	28	4	0	2	2	0	8	9	0	9	12	1	3
COAD_TCGA-A6-5665	648	9	40	241	236	148	502	0	16	334	1	0	45
COAD_TCGA-A6-5666	53	7	12	0	2	5	5	7	0	8	15	4	5
COAD_TCGA-A6-5667	24	0	6	0	3	0	0	4	30	0	20	3	0
COAD_TCGA-A6-6137	50	6	11	2	11	0	8	3	18	1	43	4	4
COAD_TCGA-A6-6138	44	2	4	5	10	0	7	10	36	11	21	0	1
COAD_TCGA-A6-6142	37	0	2	0	8	0	11	9	19	4	19	5	3
COAD_TCGA-A6-6648	28	1	3	27	0	0	4	2	24	11	11	6	0
COAD_TCGA-A6-6649	66	4	8	8	16	3	1	4	8	3	28	11	5
COAD_TCGA-A6-6651	34	3	1	6	4	0	4	1	1	12	37	15	3
COAD_TCGA-A6-6652	36	2	0	0	14	0	7	0	18	4	16	6	5
COAD_TCGA-A6-6653	627	6	46	45	272	48	146	15	46	65	43	0	22
COAD_TCGA-A6-6654	162	4	11	7	5	2	4	15	0	0	22	10	1
COAD_TCGA-A6-6780	441	0	1	126	196	149	164	0	1	356	0	3	40
COAD_TCGA-A6-6781	1376	12	37	154	497	66	55	3	72	184	0	4	14
COAD_TCGA-A6-6782	49	9	11	0	8	4	8	3	13	3	63	13	7
COAD_TCGA-A6-A565	170	0	10	53	109	18	29	2	20	69	0	5	4
COAD_TCGA-A6-A566	82	8	10	3	12	6	5	6	30	0	50	5	0
COAD_TCGA-A6-A567	25	6	9	0	1	0	4	1	6	3	20	0	2
COAD_TCGA-A6-A56B	57	2	7	2	6	0	1	4	4	8	36	4	0
COAD_TCGA-AA-3489	28	7	8	2	9	2	6	12	12	6	43	11	1
COAD_TCGA-AA-3492	769	7	66	436	443	166	261	36	17	360	42	30	41
COAD_TCGA-AA-3496	62	6	11	0	12	1	14	0	19	5	28	4	10
COAD_TCGA-AA-3502	102	3	22	18	5	2	0	6	12	20	48	4	5
COAD_TCGA-AA-3506	102	6	13	1	6	3	14	3	9	0	45	1	8
COAD_TCGA-AA-3510	0	1652	1502	478	42	0	65	738	0	62	0	44	0
COAD_TCGA-AA-3511	41	2	17	2	7	0	8	15	22	1	32	16	15
COAD_TCGA-AA-3522	3	1	3	5	0	0	0	1	0	0	3	0	0
COAD_TCGA-AA-3556	13	0	0	6	0	0	0	0	4	2	0	0	1
COAD_TCGA-AA-3655	39	0	7	14	0	3	11	5	9	7	9	3	0
COAD_TCGA-AA-3660	61	5	10	30	0	0	0	6	20	14	29	3	0
COAD_TCGA-AA-3662	46	4	3	0	3	0	0	8	15	8	23	4	0
COAD_TCGA-AA-3663	386	2	8	227	448	302	479	0	32	386	0	2	88
COAD_TCGA-AA-3697	64	4	10	4	23	8	5	14	0	1	108	27	11
COAD_TCGA-AA-3712	23	11	7	9	4	10	4	8	1	1	42	77	0
COAD_TCGA-AA-3713	341	3	29	302	105	103	38	11	42	139	54	12	26
COAD_TCGA-AA-3947	661	8	50	554	439	332	196	13	50	462	49	16	129
COAD_TCGA-AA-3984	0	1850	2343	1090	0	75	467	1449	199	0	0	30	59
COAD_TCGA-AA-A00N	160	1679	2629	1086	0	83	427	1176	1	0	0	0	87
COAD_TCGA-AA-A010	234	3878	2227	1428	230	1132	595	1040	193	0	0	0	220
COAD_TCGA-AA-A01P	383	9	31	121	193	48	123	21	0	93	42	10	22
COAD_TCGA-AA-A01R	1312	0	81	215	376	129	128	19	0	223	4	0	19
COAD_TCGA-AA-A022	735	7	66	322	287	115	80	32	0	205	51	0	7
COAD_TCGA-AD-5900	565	0	64	307	381	173	91	14	0	290	9	13	3
COAD_TCGA-AD-6548	60	1	9	0	6	0	11	0	27	8	32	7	10
COAD_TCGA-AD-6888	67	1	10	9	5	4	5	7	7	12	15	0	2
COAD_TCGA-AD-6889	605	10	28	237	515	149	85	0	61	344	0	10	26
COAD_TCGA-AD-6890	67	4	5	9	1	1	2	10	0	7	28	8	2
COAD_TCGA-AD-6895	493	8	86	408	268	41	139	14	296	104	230	74	35
COAD_TCGA-AD-6899	78	5	14	19	0	3	0	0	31	9	31	21	2
COAD_TCGA-AD-6901	95	8	17	14	26	2	2	15	6	36	82	27	8
COAD_TCGA-AD-6963	45	1	0	6	10	0	8	0	2	2	19	15	4
COAD_TCGA-AD-6964	237	9	30	268	451	62	446	13	223	170	0	3	4
COAD_TCGA-AD-6965	63	4	8	11	4	8	2	2	14	10	27	9	0
COAD_TCGA-AD-A5EJ	481	9	18	206	358	196	91	17	29	293	0	15	32
COAD_TCGA-AD-A5EK	38	2	3	9	1	9	0	3	18	4	30	9	1
COAD_TCGA-AM-5820	44	6	4	9	0	0	2	0	10	4	18	4	1
COAD_TCGA-AM-5821	392	1	21	390	170	155	111	14	0	259	14	0	77
COAD_TCGA-AU-3779	52	8	4	2	11	0	2	15	11	4	27	7	0
COAD_TCGA-AU-6004	473	2	40	120	160	63	90	0	0	208	0	0	11
COAD_TCGA-AY-5543	50	7	11	0	10	1	13	9	13	15	26	9	1
COAD_TCGA-AY-6196	41	2	9	0	27	8	14	9	40	0	145	13	6
COAD_TCGA-AY-6197	275	1	21	106	211	83	309	0	40	269	0	0	11
COAD_TCGA-AY-6386	64	2	8	0	7	0	2	0	23	14	26	2	0
COAD_TCGA-AY-A54L	62	6	8	4	12	9	0	6	20	19	44	5	5
COAD_TCGA-AY-A69D	89	14	19	9	9	9	3	12	41	22	48	4	0
COAD_TCGA-AY-A71X	52	1	12	12	0	2	1	1	9	3	19	3	5
COAD_TCGA-AY-A8YK	31	1	6	8	6	6	0	1	3	11	19	1	3
COAD_TCGA-AZ-4308	27	0	7	4	3	1	16	7	5	0	22	4	0
COAD_TCGA-AZ-4315	2	2340	3012	1458	0	210	857	1557	125	0	0	0	147
COAD_TCGA-AZ-4323	21	1	5	0	10	1	8	4	9	2	11	0	7
COAD_TCGA-AZ-4614	83	2	4	7	17	9	10	5	12	1	71	14	37
COAD_TCGA-AZ-4615	292	5	23	31	171	70	104	0	0	247	0	8	20
COAD_TCGA-AZ-4616	39	4	10	10	0	2	3	9	5	21	14	5	6
COAD_TCGA-AZ-4681	35	0	2	7	3	3	0	1	10	12	24	7	0
COAD_TCGA-AZ-4682	49	3	10	0	5	0	0	2	6	5	17	7	3
COAD_TCGA-AZ-5403	19	6	6	13	0	0	7	8	16	0	24	3	4
COAD_TCGA-AZ-5407	49	5	2	19	4	0	0	3	9	6	31	0	3
COAD_TCGA-AZ-6598	747	4	62	697	383	196	146	0	93	317	22	2	25
COAD_TCGA-AZ-6599	0	3	32	40	0	2	0	0	265	0	0	76	1
COAD_TCGA-AZ-6600	65	7	5	0	3	4	7	0	12	5	60	11	3
COAD_TCGA-AZ-6601	1410	0	57	220	517	206	94	1	68	218	0	0	18
COAD_TCGA-AZ-6603	40	1	12	0	2	1	4	6	10	4	19	0	0
COAD_TCGA-AZ-6605	46	3	18	4	19	1	22	0	5	12	27	6	8
COAD_TCGA-AZ-6606	78	3	9	0	12	3	11	3	20	13	20	16	17
COAD_TCGA-AZ-6607	20	0	4	1	0	0	7	9	22	13	16	4	5
COAD_TCGA-AZ-6608	39	1	4	0	10	0	31	13	3	0	96	8	15
COAD_TCGA-CA-5254	89	2	9	11	7	10	16	15	22	12	66	7	1
COAD_TCGA-CA-5255	26	1	5	0	8	0	8	1	6	3	14	0	3
COAD_TCGA-CA-5256	45	3	5	4	6	0	6	4	14	10	6	0	3
COAD_TCGA-CA-5796	38	3	2	0	0	0	7	0	19	5	21	0	1
COAD_TCGA-CA-5797	17	1	2	0	5	0	4	6	23	0	25	6	0
COAD_TCGA-CA-6715	34	5	10	0	0	16	13	0	15	7	20	0	3
COAD_TCGA-CA-6716	96	5	7	8	13	7	4	11	1	1	43	11	0
COAD_TCGA-CA-6717	0	3933	2500	584	0	468	933	3434	80	306	0	34	693
COAD_TCGA-CA-6718	0	1910	933	142	0	0	50	1127	0	212	0	0	54
COAD_TCGA-CA-6719	68	7	10	8	0	4	21	0	17	15	10	1	0
COAD_TCGA-CK-4947	52	1	3	7	2	0	4	10	6	10	30	2	6
COAD_TCGA-CK-4948	53	1	3	7	7	2	2	15	5	7	32	7	1
COAD_TCGA-CK-4950	61	7	8	1	20	3	8	8	24	3	80	1	4
COAD_TCGA-CK-4951	342	44	317	1566	740	0	349	1	1852	0	822	402	21
COAD_TCGA-CK-4952	71	1	7	0	0	5	10	9	40	7	28	12	12
COAD_TCGA-CK-5912	31	0	7	2	12	0	2	5	0	0	23	4	1
COAD_TCGA-CK-5913	389	0	18	59	128	97	113	0	32	201	0	0	12
COAD_TCGA-CK-5914	62	7	12	19	0	4	6	2	18	8	46	5	3
COAD_TCGA-CK-5915	71	3	2	0	8	0	6	8	10	6	11	2	2
COAD_TCGA-CK-5916	670	26	30	169	389	34	215	0	19	231	18	5	12
COAD_TCGA-CK-6746	352	4	23	189	283	91	149	2	25	288	13	2	35
COAD_TCGA-CK-6747	78	3	14	16	1	0	0	7	0	17	19	6	4
COAD_TCGA-CK-6748	29	0	5	0	8	3	5	3	0	9	21	2	6
COAD_TCGA-CK-6751	62	10	15	30	5	2	1	0	45	12	39	4	4
COAD_TCGA-CM-4743	494	0	21	104	251	137	121	20	14	207	17	10	22
COAD_TCGA-CM-4744	83	7	10	0	2	5	13	4	19	8	47	2	1
COAD_TCGA-CM-4746	488	4	28	157	103	65	2	4	0	71	4	4	11
COAD_TCGA-CM-4747	53	2	0	19	0	0	1	8	16	10	19	7	2
COAD_TCGA-CM-4748	27	4	2	5	0	4	10	2	6	5	24	4	2
COAD_TCGA-CM-4750	44	7	0	0	0	0	3	3	21	5	31	0	4
COAD_TCGA-CM-4751	55	3	1	24	0	0	3	5	1	13	19	1	3
COAD_TCGA-CM-4752	80	7	12	0	16	4	9	2	11	0	34	3	0
COAD_TCGA-CM-5341	80	1	3	0	9	2	13	20	14	0	50	14	0
COAD_TCGA-CM-5344	44	6	0	0	13	0	2	5	0	0	28	2	0
COAD_TCGA-CM-5348	80	2	26	15	9	5	9	15	6	0	61	22	3
COAD_TCGA-CM-5349	72	1	11	1	4	0	5	8	12	3	23	2	5
COAD_TCGA-CM-5860	63	2	15	6	2	5	0	0	15	15	28	4	3
COAD_TCGA-CM-5861	341	0	29	226	273	147	468	7	29	236	16	6	45
COAD_TCGA-CM-5862	60	2	5	2	8	3	6	11	2	5	20	5	6
COAD_TCGA-CM-5863	35	2	8	4	0	1	0	5	14	11	5	2	0
COAD_TCGA-CM-5864	42	7	9	25	4	1	3	11	35	21	104	4	0
COAD_TCGA-CM-5868	39	5	7	1	19	0	3	3	8	19	12	7	4
COAD_TCGA-CM-6161	52	1	4	0	8	0	7	2	22	8	31	1	1
COAD_TCGA-CM-6163	55	1	11	0	0	1	4	1	17	12	31	8	2
COAD_TCGA-CM-6164	18	1	7	8	0	5	2	11	11	12	23	0	0
COAD_TCGA-CM-6165	39	5	3	4	14	3	1	10	14	13	46	2	0
COAD_TCGA-CM-6166	28	5	12	21	0	1	0	4	0	4	31	12	0
COAD_TCGA-CM-6167	40	3	3	3	0	3	0	0	13	11	28	0	0
COAD_TCGA-CM-6168	86	3	9	22	33	8	14	2	13	31	48	15	7
COAD_TCGA-CM-6169	51	4	4	1	18	0	8	5	0	2	38	3	2
COAD_TCGA-CM-6170	42	1	4	7	5	1	0	0	41	13	1	9	6
COAD_TCGA-CM-6171	670	5	27	65	261	92	103	0	52	190	0	7	15
COAD_TCGA-CM-6172	44	1	11	11	0	0	0	0	19	7	31	7	9
COAD_TCGA-CM-6674	480	0	35	88	194	24	78	15	0	130	0	8	12
COAD_TCGA-CM-6675	31	0	3	9	0	7	2	0	28	12	30	0	6
