Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q
BRCA_TCGA-A2-A1G6	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	5	0
BRCA_TCGA-A2-A259	0	1	2	2	0	0	0	0	0	0	6	0	8	3	0	3	4
BRCA_TCGA-A2-A25A	5	0	2	5	9	0	4	0	2	0	19	0	7	65	0	6	5
BRCA_TCGA-A2-A25B	4	6	6	0	11	8	10	3	5	3	1	0	13	7	0	39	12
BRCA_TCGA-A2-A25C	2	0	0	0	0	2	0	0	14	8	0	2	3	2	0	3	3
BRCA_TCGA-A2-A25D	0	2	2	4	4	4	0	0	1	0	7	4	10	7	4	4	11
BRCA_TCGA-A2-A25E	1	0	2	2	4	4	0	2	3	0	11	4	0	4	0	22	2
BRCA_TCGA-A2-A25F	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4
BRCA_TCGA-A2-A3KD	0	0	0	5	0	0	0	0	0	2	2	1	7	1	0	0	0
BRCA_TCGA-A2-A3XT	4	1	0	6	0	6	1	0	0	2	0	11	6	29	4	39	13
BRCA_TCGA-A2-A3XU	0	1	1	5	7	4	1	0	1	2	0	2	0	1	0	6	0
BRCA_TCGA-A2-A3XV	0	6	3	2	0	5	0	0	2	7	0	0	8	0	2	7	6
BRCA_TCGA-A2-A3XW	0	0	2	0	5	0	0	2	0	0	1	3	0	1	0	3	0
BRCA_TCGA-A2-A3XX	0	6	4	5	0	3	0	2	3	1	0	2	4	3	0	15	4
BRCA_TCGA-A2-A3XZ	0	1	5	5	4	3	0	0	0	0	0	2	2	21	0	9	0
BRCA_TCGA-A2-A3Y0	3	11	3	5	0	9	2	0	7	17	0	14	19	45	5	83	20
BRCA_TCGA-A2-A4S1	7	5	0	3	20	0	1	0	0	5	7	1	0	5	2	22	20
BRCA_TCGA-A2-A4S2	0	3	0	4	2	3	0	0	0	4	0	2	5	6	1	1	12
BRCA_TCGA-A2-A4S3	4	5	3	11	3	6	0	3	5	5	6	6	8	15	0	20	7
BRCA_TCGA-A7-A0CE	1	3	1	1	1	3	0	0	8	3	3	3	7	5	0	22	0
BRCA_TCGA-A7-A0CH	0	0	1	0	5	0	0	0	0	0	0	2	6	0	0	1	2
BRCA_TCGA-A7-A0D9	0	1	0	1	0	0	0	0	0	0	3	0	3	3	1	0	0
BRCA_TCGA-A7-A0DA	1	3	5	0	13	7	0	2	8	0	4	8	9	14	7	76	30
BRCA_TCGA-A7-A0DB	1	2	2	6	5	0	0	2	0	2	4	1	0	16	3	2	7
BRCA_TCGA-A7-A13D	0	3	3	5	12	7	0	4	7	2	1	5	10	16	0	56	9
BRCA_TCGA-A7-A13E	0	9	2	24	1	5	5	0	0	0	2	3	4	6	0	11	8
BRCA_TCGA-A7-A13F	2	3	5	5	13	4	0	0	0	2	0	2	2	4	0	2	1
BRCA_TCGA-A7-A13G	1	4	0	1	6	2	0	0	0	0	2	2	1	7	1	5	0
BRCA_TCGA-A7-A26E	0	1	8	8	7	0	1	0	1	0	11	2	2	16	1	0	9
BRCA_TCGA-A7-A26F	3	0	3	12	0	3	2	0	0	0	1	0	4	4	0	7	7
BRCA_TCGA-A7-A26G	2	3	2	0	8	4	4	2	0	3	0	0	3	15	0	12	10
BRCA_TCGA-A7-A26H	4	0	5	15	19	0	0	0	1	0	11	2	7	75	0	4	7
BRCA_TCGA-A7-A26I	1	0	2	2	5	0	1	0	0	1	5	3	7	6	0	7	6
BRCA_TCGA-A7-A26J	3	0	0	5	0	0	0	0	2	0	4	0	4	3	0	14	7
BRCA_TCGA-A7-A2KD	1	3	3	3	16	0	0	0	0	0	5	2	6	6	1	9	0
BRCA_TCGA-A7-A3RF	0	2	0	6	0	2	0	1	2	3	0	3	3	2	0	7	9
BRCA_TCGA-A7-A425	0	3	0	7	0	0	0	1	4	1	1	2	3	0	0	7	4
BRCA_TCGA-A7-A4SC	1	4	3	0	12	0	0	0	0	0	0	2	4	1	1	0	10
BRCA_TCGA-A7-A4SD	0	3	3	11	16	4	1	0	3	5	0	0	0	1	5	3	7
BRCA_TCGA-A7-A4SE	2	1	1	4	0	15	1	3	4	8	0	0	7	38	2	54	6
BRCA_TCGA-A7-A56D	9	9	14	9	14	2	0	0	5	0	24	0	19	95	0	24	1
BRCA_TCGA-A7-A5ZV	1	7	7	7	35	5	0	0	15	5	0	20	14	31	14	89	18
BRCA_TCGA-A7-A5ZW	1	2	3	5	0	1	0	0	1	2	0	6	0	13	0	0	2
BRCA_TCGA-A7-A5ZX	1	1	4	0	6	0	0	0	2	1	4	2	3	3	3	8	4
BRCA_TCGA-A7-A6VV	0	2	0	10	2	3	5	0	0	0	0	6	14	9	0	9	4
BRCA_TCGA-A7-A6VW	0	0	3	7	0	4	2	0	5	7	0	6	14	7	3	30	4
BRCA_TCGA-A7-A6VX	0	2	3	2	5	2	0	1	15	0	24	9	19	34	7	31	23
BRCA_TCGA-A7-A6VY	3	3	4	2	6	8	2	2	3	4	7	5	11	17	0	53	6
BRCA_TCGA-A8-A075	2	2	2	4	1	0	0	0	3	0	9	3	19	22	2	30	1
BRCA_TCGA-AC-A23C	7	6	5	2	9	5	0	0	0	8	11	4	11	49	2	19	7
BRCA_TCGA-AC-A23E	1	1	2	3	8	0	0	0	0	0	0	1	2	0	0	5	1
BRCA_TCGA-AC-A23H	131	17	319	0	28	0	15	0	0	0	267	0	162	5338	0	0	101
BRCA_TCGA-AC-A2B8	2	0	7	5	5	0	0	0	0	0	14	0	9	78	0	2	6
BRCA_TCGA-AC-A2BK	0	11	4	3	19	2	0	0	5	7	0	4	6	2	0	37	10
BRCA_TCGA-AC-A2BM	0	2	1	1	5	4	0	0	0	0	0	0	0	2	4	6	1
BRCA_TCGA-AC-A2FB	0	1	0	1	0	0	0	0	0	2	1	1	7	3	0	1	0
BRCA_TCGA-AC-A2FF	0	0	0	1	0	0	0	0	2	0	2	0	1	4	0	1	0
BRCA_TCGA-AC-A2FG	0	0	3	7	0	4	0	0	2	1	3	1	1	7	1	5	4
