Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
RNF168_0_multinomial_train1.3	0.7797669608832568	1.149e-320	0.14410210251144287	5.866493742258604e-06	0.04121034049600656	0.03491472961555165
RNF168_0_multinomial_train1.4	0.7837678547259274	0.015371636262864674	0.011827754869928755	0.02402815371552771	0.11984407973105396	0.045160520694697635
RNF168_0_multinomial_train1.5	0.8227877519146338	2.105e-321	0.06513633763460369	8.2e-322	0.11207591045076244	3.26e-322
RNF168_0_multinomial_train1.6	0.7523692832405197	2.633e-321	0.14347658381812944	1.853e-321	0.0754415875903981	0.02871254535095279
RNF168_0_multinomial_train1.7	0.8594893349439735	0.006207994710835316	0.07420160038332059	1.54e-321	0.060101069961870625	2.5e-321
RNF168_0_multinomial_train1.8	0.8660599571894673	5.88e-321	5.03e-321	5.163e-321	0.06867263095837729	0.06526741185215561
EXO1_0_multinomial_train1.2	0.8671584282868752	2.73e-320	0.09871421251083042	1.705e-321	0.03412735920229434	6e-322
EXO1_0_multinomial_train1.3	0.9447214612100752	0.03170121741980613	1.7656792407311016e-80	4.797e-321	5.41e-321	0.023577321370118812
RNF168_0_multinomial_train1.9	0.8959318136419341	1.76e-321	0.027447448842833	2.197057701842347e-103	0.05682782813176835	0.01979290938346468
EXO1_0_multinomial_train1.4	0.8724669593424013	8.503e-321	0.10608702686612763	2.46e-321	0.021446013791471135	1.344e-321
EXO1_0_multinomial_train1.5	0.8635234358537989	0.02061592733758748	0.09288839727162994	9.333e-321	0.021957204818886848	0.001015034718096962
EXO1_0_multinomial_train1.6	0.8717463537533874	5.14e-321	0.11018610998151043	2.04e-321	0.01806753626510229	1.26e-321
EXO1_0_multinomial_train1.7	0.8636429145431908	0.019890920509453763	0.11646616494735564	3.67e-321	1.074e-320	7.649579614758777e-235
EXO1_0_multinomial_train1.8	0.7913848471871985	0.0055806864313454815	0.15914297772793237	2.34e-321	0.04389148865352376	1.49e-321
RNF168_0_multinomial_train1.10	0.7461546845560931	2.6e-321	0.15940678179527956	2.653e-321	5.845e-321	0.09443853364862723
EXO1_0_multinomial_train1.9	0.9447289758683459	0.045779614360291127	1.031e-320	1.097e-321	0.009491409771362997	9.14e-322
RNF168_0_multinomial_train1.11	0.8282088253591695	2.062e-320	0.09953237699237961	2.33e-321	0.07225879764845088	8.55e-322
RNF168_0_multinomial_train1.12	0.8518562734425464	0.02333949208034532	1.2695984497508837e-155	5.207e-321	0.09408002338970743	0.030724211087400716
EXO1_0_multinomial_train1.10	0.876914360511973	0.031135440384052117	0.07047167763119382	1.12e-321	0.02147852147278095	4.6e-322
EXO1_0_multinomial_train1.11	0.8242957234808592	0.02888701711496216	0.14681725940417856	4.753e-321	3.8498107293561754e-74	7.93e-321
RNF168_0_multinomial_train1.13	0.8206042923752561	0.1443668843329356	3.325e-321	8.943e-321	2.63e-321	0.03502882329180833
RNF168_0_multinomial_train1.14	0.8096219411177805	1.5992230439972974e-133	0.030623419697381308	0.0717830607160343	0.08159189714699513	0.006379681321808686
RNF168_0_multinomial_train1.15	0.8577564480233593	0.006431102892054004	0.12501806002705373	3.725e-321	1.4007e-320	0.010794389057533136
RNF168_0_multinomial_train1.16	0.7955099784186077	0.003975595408280011	0.02047594465998441	4.71e-321	0.13931330814707374	0.04072517336605424
EXO1_0_multinomial_train1.12	0.8829218812630644	7.38e-321	0.0362973500053134	3.113e-321	0.06521333518101813	0.015567433550604024
