Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
MSH6_1_multinomial_train1.21	1.02E-01	1.60E-01	4.31E-03	8.63E-02	1.71E-01	1.64E-01	1.02E-01	8.84E-02
MSH6_0_multinomial_train1.13	9.84E-02	1.58E-01	1.78E-04	8.48E-02	1.71E-01	1.61E-01	1.03E-01	8.77E-02
MSH6_0_multinomial_train1.14	1.01E-01	1.61E-01	2.18E-40	8.69E-02	1.74E-01	1.65E-01	1.05E-01	8.80E-02
MSH6_0_multinomial_train1.15	9.84E-02	1.57E-01	4.48E-04	8.41E-02	1.69E-01	1.61E-01	1.02E-01	8.83E-02
MSH6_0_multinomial_train1.16	9.93E-02	1.57E-01	1.01E-03	8.42E-02	1.70E-01	1.59E-01	1.02E-01	8.81E-02
MSH6_0_multinomial_train1.17	1.00E-01	1.60E-01	1.24E-05	8.61E-02	1.72E-01	1.64E-01	1.04E-01	8.80E-02
MSH6_0_multinomial_train1.18	9.82E-02	1.57E-01	2.14E-69	8.49E-02	1.70E-01	1.61E-01	1.02E-01	8.70E-02
MSH6_1_multinomial_train1.22	1.02E-01	1.62E-01	2.45E-03	8.74E-02	1.73E-01	1.66E-01	1.02E-01	8.81E-02
MSH6_1_multinomial_train1.23	1.03E-01	1.64E-01	4.34E-03	8.94E-02	1.75E-01	1.68E-01	1.04E-01	8.73E-02
MSH6_1_multinomial_train1.24	1.04E-01	1.67E-01	1.03E-03	9.11E-02	1.78E-01	1.71E-01	1.07E-01	8.69E-02
MSH6_0_multinomial_train1.19	1.02E-01	1.63E-01	1.02E-03	8.81E-02	1.75E-01	1.67E-01	1.05E-01	8.74E-02
MSH6_0_multinomial_train1.20	1.02E-01	1.63E-01	2.14E-79	8.86E-02	1.75E-01	1.67E-01	1.06E-01	8.70E-02
MSH6_0_multinomial_train1.21	1.02E-01	1.62E-01	1.49E-03	8.76E-02	1.73E-01	1.66E-01	1.04E-01	8.83E-02
MSH6_1_multinomial_train1.25	1.02E-01	1.60E-01	2.65E-03	8.71E-02	1.70E-01	1.64E-01	1.02E-01	8.78E-02
MSH6_1_multinomial_train1.26	1.04E-01	1.65E-01	3.04E-03	8.98E-02	1.77E-01	1.69E-01	1.05E-01	8.79E-02
MSH6_1_multinomial_train1.27	1.06E-01	1.68E-01	1.40E-03	9.23E-02	1.80E-01	1.73E-01	1.08E-01	8.80E-02
MSH6_0_multinomial_train1.22	1.01E-01	1.62E-01	1.78E-03	8.81E-02	1.73E-01	1.67E-01	1.05E-01	8.73E-02
MSH6_1_multinomial_train1.28	9.78E-02	1.56E-01	2.91E-03	8.46E-02	1.69E-01	1.60E-01	9.98E-02	8.72E-02
MSH6_0_multinomial_train1.23	1.00E-01	1.62E-01	8.18E-04	8.94E-02	1.73E-01	1.65E-01	1.05E-01	8.71E-02
MSH6_1_multinomial_train1.29	1.02E-01	1.62E-01	1.87E-03	8.75E-02	1.74E-01	1.66E-01	1.03E-01	8.75E-02
MSH6_1_multinomial_train1.30	1.05E-01	1.65E-01	3.23E-03	9.08E-02	1.77E-01	1.70E-01	1.05E-01	8.76E-02
MSH6_0_multinomial_train1.24	1.00E-01	1.59E-01	2.08E-11	8.58E-02	1.70E-01	1.63E-01	1.03E-01	8.68E-02
MSH6_0_multinomial_train1.25	1.02E-01	1.63E-01	9.40E-04	8.92E-02	1.74E-01	1.67E-01	1.06E-01	8.69E-02
MSH6_0_multinomial_train1.26	1.00E-01	1.59E-01	3.05E-06	8.62E-02	1.72E-01	1.64E-01	1.04E-01	8.83E-02
MSH6_1_multinomial_train1.31	9.98E-02	1.53E-01	8.07E-03	8.34E-02	1.64E-01	1.56E-01	9.83E-02	8.83E-02
MSH6_1_multinomial_train1.32	1.03E-01	1.66E-01	3.88E-03	9.12E-02	1.76E-01	1.69E-01	1.06E-01	8.65E-02
MSH6_1_multinomial_train1.33	1.02E-01	1.63E-01	4.83E-40	8.87E-02	1.74E-01	1.68E-01	1.05E-01	8.69E-02
MSH6_0_multinomial_train1.27	9.85E-02	1.58E-01	3.66E-48	8.60E-02	1.71E-01	1.62E-01	1.03E-01	8.76E-02
MSH6_1_multinomial_train1.34	1.03E-01	1.64E-01	3.76E-03	8.98E-02	1.75E-01	1.68E-01	1.05E-01	8.73E-02
MSH6_1_multinomial_train1.35	1.02E-01	1.61E-01	2.85E-03	8.74E-02	1.71E-01	1.65E-01	1.03E-01	8.76E-02
MSH6_0_multinomial_train1.28	9.98E-02	1.61E-01	4.14E-03	8.93E-02	1.73E-01	1.65E-01	1.07E-01	8.63E-02
MSH6_1_multinomial_train1.36	1.05E-01	1.67E-01	2.91E-03	9.13E-02	1.78E-01	1.71E-01	1.06E-01	8.77E-02
MSH6_0_multinomial_train1.29	1.01E-01	1.59E-01	1.31E-03	8.64E-02	1.69E-01	1.63E-01	1.03E-01	8.69E-02
MSH6_1_multinomial_train1.37	1.02E-01	1.62E-01	3.18E-03	8.81E-02	1.74E-01	1.66E-01	1.03E-01	8.74E-02
MSH6_0_multinomial_train1.30	1.02E-01	1.62E-01	9.79E-04	8.79E-02	1.74E-01	1.67E-01	1.04E-01	8.78E-02
MSH6_0_multinomial_train1.31	1.02E-01	1.63E-01	1.53E-03	8.74E-02	1.75E-01	1.67E-01	1.04E-01	8.81E-02
