Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
OGG1_0_multinomial_train1.78	0.9999999999999974	0.996	0.231	23.1%	0.036	9.248%	0.13906	0.995
OGG1_0_multinomial_train1.79	0.9999999999999976	0.989	0.257	25.7%	0.069	15.063%	0.11467	0.988
OGG1_0_multinomial_train1.80	0.9999999999999981	0.995	0.227	22.7%	0.043	10.388%	0.12706	0.994
OGG1_0_multinomial_train1.81	0.9999999999999974	0.994	0.233	23.3%	0.049	11.044%	0.11377	0.994
OGG1_0_multinomial_train1.82	0.9999999999999977	0.995	0.228	22.8%	0.044	10.612%	0.12077	0.994
OGG1_0_multinomial_train1.83	0.999999999999998	0.991	0.281	28.1%	0.057	13.771%	0.14048	0.99
OGG1_0_multinomial_train1.84	0.9999999999999981	0.994	0.254	25.4%	0.046	11.542%	0.1255	0.993
OGG1_0_multinomial_train1.85	0.9999999999999973	0.986	0.323	32.3%	0.073	17.505%	0.1509	0.985
OGG1_0_multinomial_train1.86	0.9999999999999976	0.996	0.206	20.6%	0.038	9.287%	0.09887	0.996
OGG1_0_multinomial_train1.87	0.9999999999999973	0.996	0.217	21.7%	0.035	8.77%	0.12278	0.996
OGG1_0_multinomial_train1.88	0.9999999999999977	0.995	0.232	23.2%	0.039	10.179%	0.11479	0.995
OGG1_0_multinomial_train1.89	0.9999999999999976	0.992	0.297	29.7%	0.056	13.642%	0.13452	0.991
OGG1_0_multinomial_train1.90	0.9999999999999978	0.996	0.246	24.6%	0.04	9.943%	0.14006	0.996
OGG1_0_multinomial_train1.91	0.9999999999999978	0.992	0.281	28.1%	0.053	13.139%	0.14085	0.992
OGG1_0_multinomial_train1.92	0.9999999999999978	0.992	0.267	26.7%	0.046	12.27%	0.15503	0.992
OGG1_0_multinomial_train1.93	0.9999999999999974	0.995	0.243	24.3%	0.042	10.416%	0.12969	0.994
OGG1_0_multinomial_train1.94	0.9999999999999979	0.996	0.213	21.3%	0.038	9.404%	0.11154	0.995
OGG1_0_multinomial_train1.95	0.9999999999999977	0.987	0.302	30.2%	0.064	15.835%	0.15264	0.986
OGG1_0_multinomial_train1.96	0.9999999999999976	0.993	0.262	26.2%	0.049	11.911%	0.14798	0.992
OGG1_0_multinomial_train1.97	0.999999999999998	0.995	0.246	24.6%	0.041	10.133%	0.14426	0.995
OGG1_0_multinomial_train1.98	0.999999999999998	0.993	0.279	27.9%	0.056	13.206%	0.12582	0.993
RNF168_0_multinomial_train1	0.9999999999999991	0.885	0.521	52.1%	0.07	46.546%	0.31604	0.776
RNF168_0_multinomial_train1.1	0.9999999999999991	0.893	0.503	50.3%	0.068	44.92%	0.25865	0.794
RNF168_0_multinomial_train1.2	0.999999999999999	0.86	0.586	58.6%	0.081	50.775%	0.32516	0.748
RNF168_0_multinomial_train1.3	0.9999999999999989	0.875	0.563	56.3%	0.079	48.594%	0.29078	0.789
RNF168_0_multinomial_train1.4	0.9999999999999991	0.919	0.463	46.3%	0.059	39.35%	0.22742	0.843
RNF168_0_multinomial_train1.5	0.9999999999999989	0.861	0.587	58.7%	0.084	51.017%	0.33002	0.767
RNF168_0_multinomial_train1.6	0.999999999999999	0.859	0.609	60.9%	0.081	51.187%	0.37892	0.743
RNF168_0_multinomial_train1.7	0.9999999999999989	0.833	0.631	63.1%	0.087	55.402%	0.40502	0.686
RNF168_0_multinomial_train1.8	0.9999999999999989	0.86	0.642	64.2%	0.083	50.976%	0.37018	0.759
RNF168_0_multinomial_train1.9	0.999999999999999	0.886	0.526	52.6%	0.069	46.273%	0.28901	0.772
RNF168_0_multinomial_train1.10	0.9999999999999989	0.899	0.508	50.8%	0.069	43.628%	0.26058	0.823
RNF168_0_multinomial_train1.11	0.9999999999999989	0.874	0.563	56.3%	0.073	48.483%	0.31854	0.75
RNF168_0_multinomial_train1.12	0.9999999999999989	0.889	0.545	54.5%	0.073	45.982%	0.28505	0.803
RNF168_0_multinomial_train1.13	0.9999999999999989	0.869	0.562	56.2%	0.075	49.781%	0.32365	0.74
RNF168_0_multinomial_train1.14	0.999999999999999	0.845	0.591	59.1%	0.09	53.699%	0.31679	0.74
RNF168_0_multinomial_train1.15	0.9999999999999989	0.879	0.564	56.4%	0.073	47.467%	0.32599	0.771
RNF168_0_multinomial_train1.16	0.9999999999999989	0.912	0.513	51.3%	0.07	41.445%	0.30552	0.86
RNF168_0_multinomial_train1.17	0.9999999999999991	0.898	0.55	55.0%	0.077	45.568%	0.29601	0.849
RNF168_0_multinomial_train1.18	0.999999999999999	0.872	0.581	58.1%	0.074	48.595%	0.30811	0.752
RNF168_0_multinomial_train1.19	0.9999999999999991	0.882	0.548	54.8%	0.076	47.313%	0.31901	0.793
RNF168_0_multinomial_train1.20	0.9999999999999991	0.902	0.516	51.6%	0.067	43.268%	0.29401	0.821
RNF168_0_multinomial_train1.21	0.999999999999999	0.869	0.578	57.8%	0.08	49.698%	0.32446	0.769
RNF168_0_multinomial_train1.22	0.9999999999999991	0.904	0.502	50.2%	0.067	42.976%	0.25436	0.829
RNF168_0_multinomial_train1.23	0.9999999999999991	0.907	0.521	52.1%	0.069	42.421%	0.27043	0.849
RNF168_0_multinomial_train1.24	0.9999999999999989	0.883	0.541	54.1%	0.075	46.914%	0.30295	0.792
RNF168_0_multinomial_train1.25	0.9999999999999989	0.895	0.536	53.6%	0.071	44.819%	0.30903	0.819
RNF168_0_multinomial_train1.26	0.999999999999999	0.906	0.479	47.9%	0.067	42.502%	0.24885	0.831
RNF168_0_multinomial_train1.27	0.9999999999999991	0.897	0.544	54.4%	0.072	44.084%	0.29171	0.825
RNF168_0_multinomial_train1.28	0.9999999999999991	0.902	0.514	51.4%	0.069	43.16%	0.27364	0.829
RNF168_0_multinomial_train1.29	0.999999999999999	0.893	0.506	50.6%	0.068	45.162%	0.25824	0.792
RNF168_0_multinomial_train1.30	0.9999999999999991	0.879	0.545	54.5%	0.078	48.103%	0.29677	0.796
RNF168_0_multinomial_train1.31	0.9999999999999989	0.871	0.573	57.3%	0.077	49.335%	0.291	0.761
RNF168_0_multinomial_train1.32	0.9999999999999991	0.891	0.504	50.4%	0.072	45.55%	0.26274	0.805
