Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
MSH6_boot.97	2.78E-138	8.14E-02	9.13E-02	1.33E-02	5.73E-03	9.95E-03	0.00E+00	2.44E-03	1.76E-03
MSH6_boot.98	0.00E+00	8.39E-02	8.91E-02	1.70E-67	5.24E-03	1.40E-02	0.00E+00	2.31E-21	5.35E-19
MSH6_boot.99	0.00E+00	8.51E-02	9.12E-02	1.61E-96	6.23E-03	1.25E-02	0.00E+00	8.93E-125	1.04E-96
MSH6_boot.100	0.00E+00	8.36E-02	8.92E-02	0.00E+00	5.00E-03	1.48E-02	0.00E+00	0.00E+00	0.00E+00
MSH6_boot.101	6.04E-03	5.16E-02	2.08E-02	3.83E-02	2.98E-84	9.03E-45	9.65E-02	1.46E-01	1.39E-01
MSH6_boot.102	1.93E-01	7.24E-02	3.37E-11	8.81E-02	3.14E-03	1.36E-01	6.33E-02	2.35E-01	6.09E-02
MSH6_boot.103	1.44E-01	7.97E-02	1.83E-03	9.94E-27	5.72E-28	2.18E-01	1.21E-27	2.27E-01	1.50E-01
MSH6_real	6.43E-03	6.42E-02	2.09E-02	4.44E-02	1.21E-94	1.89E-33	1.00E-01	5.90E-02	1.45E-01
MSH6_real.1	1.32E-01	7.93E-02	1.63E-03	9.94E-27	6.81E-28	2.20E-01	9.94E-27	2.27E-01	1.48E-01
MSH6_real.2	5.50E-03	7.07E-02	1.93E-02	4.36E-02	1.33E-87	0.00E+00	2.78E-02	6.20E-02	1.37E-01
MSH6_real.3	8.92E-03	5.72E-02	1.79E-02	4.13E-02	1.33E-28	3.62E-28	2.52E-02	5.56E-02	1.52E-01
MSH6_real.4	6.80E-03	5.99E-02	1.93E-02	3.81E-02	1.31E-81	1.03E-39	9.85E-02	5.63E-02	1.39E-01
MSH6_real.5	3.79E-03	6.61E-02	2.26E-02	4.22E-02	4.69E-84	0.00E+00	8.67E-02	1.06E-01	1.21E-01
MSH6_real.6	1.10E-01	5.95E-02	6.24E-26	3.23E-02	9.37E-03	1.25E-22	1.84E-01	2.16E-01	8.76E-02
PMS1_boot	0.00E+00	3.96E-02	9.92E-03	4.87E-02	2.12E-02	1.28E-02	8.80E-02	6.82E-02	1.11E-01
PMS1_boot.1	3.74E-02	2.69E-02	5.55E-02	8.32E-02	3.65E-02	5.76E-02	6.17E-02	9.58E-02	6.51E-02
PMS1_boot.2	0.00E+00	3.87E-02	1.00E-02	5.05E-02	2.20E-02	1.11E-02	9.15E-02	6.96E-02	1.10E-01
PMS1_boot.3	0.00E+00	4.14E-02	7.40E-03	5.62E-02	1.74E-02	1.44E-02	8.27E-02	8.39E-02	1.20E-01
PMS1_boot.4	0.00E+00	4.19E-02	7.28E-03	5.13E-02	1.95E-02	1.45E-02	8.32E-02	6.65E-02	1.16E-01
PMS1_boot.5	0.00E+00	3.90E-02	1.16E-02	6.12E-02	1.86E-02	7.12E-03	8.95E-02	9.17E-02	1.23E-01
PMS1_boot.6	0.00E+00	4.44E-02	1.62E-02	4.98E-02	1.66E-02	1.97E-02	7.79E-02	6.61E-02	1.11E-01
PMS1_boot.7	0.00E+00	4.15E-02	1.85E-02	5.22E-02	1.75E-02	2.19E-02	8.37E-02	8.18E-02	1.14E-01
PMS1_boot.8	8.18E-02	3.01E-02	6.89E-04	7.41E-02	4.51E-02	3.98E-02	7.76E-02	1.10E-01	9.06E-02
PMS1_boot.9	1.28E-01	4.82E-02	3.51E-02	2.48E-02	2.60E-02	8.65E-02	7.54E-116	1.36E-01	1.06E-01
PMS1_boot.10	0.00E+00	4.33E-02	1.34E-02	5.09E-02	1.59E-02	2.26E-02	8.36E-02	7.50E-02	1.22E-01
PMS1_boot.11	4.45E-02	2.69E-02	6.24E-02	8.98E-02	4.37E-02	5.59E-02	6.71E-02	9.78E-02	6.56E-02
PMS1_boot.12	0.00E+00	4.21E-02	4.31E-03	5.20E-02	1.97E-02	1.32E-02	8.40E-02	6.47E-02	1.15E-01
PMS1_boot.13	1.79E-01	4.57E-02	4.27E-02	4.42E-02	2.47E-02	7.69E-02	7.72E-02	1.17E-01	6.74E-02
PMS1_boot.14	4.23E-02	2.98E-02	5.75E-02	8.90E-02	3.97E-02	5.89E-02	6.05E-02	9.60E-02	6.08E-02
PMS1_boot.15	0.00E+00	4.26E-02	3.30E-03	4.68E-02	1.77E-02	2.19E-02	8.12E-02	6.65E-02	1.08E-01
PMS1_boot.16	0.00E+00	4.24E-02	8.69E-03	4.35E-02	1.73E-02	1.93E-02	6.46E-02	7.57E-02	1.06E-01
PMS1_boot.17	2.27E-01	4.77E-02	3.65E-02	3.22E-02	2.29E-02	7.79E-02	7.35E-02	1.18E-01	6.78E-02
PMS1_boot.18	3.86E-02	3.03E-02	6.03E-02	8.62E-02	3.54E-02	5.81E-02	6.08E-02	9.64E-02	6.48E-02
PMS1_boot.19	0.00E+00	3.90E-02	5.04E-03	5.17E-02	1.89E-02	1.88E-02	8.45E-02	8.26E-02	1.08E-01
PMS1_boot.20	1.28E-01	5.36E-02	3.66E-02	3.33E-02	2.30E-02	8.83E-02	2.45E-154	1.37E-01	1.05E-01
PMS1_boot.21	0.00E+00	4.59E-02	1.91E-02	4.67E-02	1.55E-02	2.65E-02	6.40E-02	7.84E-02	1.11E-01
PMS1_boot.22	1.28E-01	5.69E-02	3.37E-02	3.44E-02	2.71E-02	8.75E-02	1.17E-03	1.40E-01	1.03E-01
PMS1_boot.23	0.00E+00	4.51E-02	1.90E-02	4.54E-02	1.64E-02	2.20E-02	6.28E-02	7.77E-02	1.11E-01
PMS1_boot.24	1.71E-01	4.79E-02	4.12E-02	4.38E-02	2.42E-02	7.67E-02	7.54E-02	1.17E-01	6.76E-02
PMS1_boot.25	8.68E-02	2.70E-02	1.79E-02	8.36E-02	6.06E-02	5.05E-02	7.91E-02	1.17E-01	9.80E-02
PMS1_boot.26	8.00E-02	2.63E-02	1.93E-02	8.46E-02	6.25E-02	3.93E-02	8.08E-02	1.17E-01	9.95E-02
PMS1_boot.27	1.30E-01	5.52E-02	3.50E-02	3.86E-02	2.53E-02	8.29E-02	1.29E-155	1.41E-01	1.06E-01
PMS1_boot.28	0.00E+00	4.48E-02	1.29E-02	4.40E-02	1.75E-02	1.47E-02	6.88E-02	7.04E-02	1.11E-01
PMS1_boot.29	4.18E-02	2.82E-02	6.03E-02	8.78E-02	3.59E-02	5.89E-02	5.95E-02	9.51E-02	6.42E-02
PMS1_boot.30	3.73E-02	2.96E-02	6.10E-02	8.32E-02	3.68E-02	5.59E-02	6.22E-02	9.33E-02	6.45E-02
PMS1_boot.31	8.22E-02	2.83E-02	1.31E-02	7.94E-02	6.18E-02	4.62E-02	8.15E-02	1.09E-01	9.34E-02
PMS1_boot.32	0.00E+00	4.57E-02	2.33E-02	4.84E-02	1.36E-02	1.98E-02	7.05E-02	7.39E-02	1.13E-01
PMS1_boot.33	0.00E+00	4.27E-02	1.91E-02	4.82E-02	1.68E-02	1.99E-02	7.83E-02	6.74E-02	1.08E-01
PMS1_boot.34	1.25E-01	4.82E-02	4.55E-02	6.05E-02	2.43E-02	8.07E-02	7.41E-02	1.16E-01	6.78E-02
PMS1_boot.35	0.00E+00	4.49E-02	2.28E-02	4.91E-02	1.74E-02	2.25E-02	7.28E-02	6.48E-02	1.07E-01
PMS1_boot.36	1.14E-01	4.23E-02	4.37E-02	5.59E-02	2.67E-02	7.92E-02	7.57E-02	1.17E-01	6.62E-02
PMS1_boot.37	0.00E+00	4.42E-02	2.43E-02	4.67E-02	1.69E-02	2.25E-02	7.62E-02	6.43E-02	1.06E-01
PMS1_boot.38	1.31E-01	4.02E-02	3.66E-02	3.06E-02	2.02E-02	8.37E-02	4.95E-106	1.30E-01	1.03E-01
PMS1_boot.39	8.12E-02	3.10E-02	2.37E-02	7.37E-02	6.49E-02	4.40E-02	8.05E-02	1.09E-01	9.48E-02
PMS1_boot.40	0.00E+00	4.41E-02	2.31E-02	5.16E-02	1.65E-02	2.37E-02	8.57E-02	7.37E-02	1.16E-01
PMS1_boot.41	0.00E+00	4.48E-02	2.33E-02	4.72E-02	1.72E-02	2.08E-02	7.58E-02	6.38E-02	1.06E-01
PMS1_real	4.25E-02	2.60E-02	6.29E-02	8.83E-02	3.87E-02	5.70E-02	6.34E-02	9.62E-02	6.53E-02
PMS1_real.1	8.10E-02	2.58E-02	1.61E-02	8.42E-02	5.66E-02	4.06E-02	7.92E-02	1.12E-01	9.50E-02
PMS1_real.2	1.30E-01	4.03E-02	3.55E-02	2.66E-02	2.42E-02	8.61E-02	2.02E-150	1.31E-01	1.04E-01
PMS2_boot	1.82E-02	4.75E-02	3.65E-03	6.26E-02	1.00E-26	0.00E+00	2.23E-02	9.85E-02	1.34E-01
PMS2_boot.1	1.33E-01	5.20E-02	2.59E-02	8.72E-02	4.45E-03	1.52E-01	2.80E-02	2.35E-01	4.39E-02
PMS2_boot.2	9.87E-27	5.52E-02	2.38E-01	1.81E-01	1.08E-01	1.53E-01	1.68E-01	1.66E-01	1.35E-01
PMS2_boot.3	1.49E-01	5.89E-02	3.01E-27	2.68E-02	8.46E-03	9.89E-27	1.45E-01	2.29E-01	7.47E-02
PMS2_boot.4	3.29E-27	5.28E-02	2.23E-01	1.71E-01	9.20E-03	1.11E-01	1.42E-01	2.01E-01	9.46E-02
PMS2_boot.5	1.22E-01	5.66E-02	3.51E-12	1.24E-27	7.41E-28	2.63E-01	9.94E-27	1.97E-01	1.14E-01
