Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
UCEC_TCGA-AP-A1DH	1.37E+01	1.52E+00	1.10E+01	4.90E+00	1.42E+01	1.52E+01	2.45E+00	3.95E+00	7.01E+00	1.28E+01	3.44E+00	4.65E+00	0.00E+00	1.18E+00
UCEC_TCGA-AP-A1DK	5.57E+01	2.51E+01	1.17E+02	1.83E+01	4.34E+02	4.87E+02	1.72E+01	3.70E+01	1.70E+02	6.09E+02	2.84E+02	0.00E+00	0.00E+00	1.08E+01
UCEC_TCGA-AP-A1DM	7.83E+00	1.20E+00	8.35E+00	2.39E+00	4.01E+00	4.18E+00	3.28E+00	4.13E+00	4.15E+00	2.73E+00	4.57E+00	2.84E+00	1.89E+00	1.31E+00
UCEC_TCGA-AP-A1DO	1.57E+01	1.79E+00	1.18E+01	3.90E+00	8.47E+00	7.19E+00	5.46E+00	5.50E+00	6.59E+00	6.77E+00	3.23E+00	4.11E+00	1.38E+00	1.14E+00
UCEC_TCGA-AP-A1DP	5.88E+00	1.09E+00	4.33E+00	1.96E+00	6.98E+00	8.32E+00	1.73E+00	4.56E+00	8.47E+00	1.14E+01	7.08E+00	4.36E+00	8.62E-01	8.84E-01
UCEC_TCGA-AP-A1DQ	1.02E+00	0.00E+00	8.98E-01	3.59E-01	5.47E-01	4.00E-01	5.86E-01	3.00E-01	9.98E-01	3.00E-01	1.20E+00	1.88E+00	5.54E-01	4.00E-01
UCEC_TCGA-AP-A1DR	1.94E+01	1.92E+00	1.55E+01	5.08E+00	1.49E+01	1.84E+01	1.99E+00	4.09E+00	1.09E+01	1.80E+01	6.01E+00	5.23E+00	3.89E-01	1.21E+00
UCEC_TCGA-AP-A1DV	1.02E+02	1.29E+02	1.92E+02	1.87E+02	5.88E+00	2.88E+02	1.64E+02	5.45E+00	3.97E+02	0.00E+00	8.40E+01	2.16E+00	1.98E+00	1.82E+01
UCEC_TCGA-AP-A1E0	2.05E+01	1.91E+02	3.76E+01	5.31E+01	1.03E+01	4.11E+01	2.35E+02	1.21E+01	6.92E+01	9.28E+00	5.48E+00	9.97E+00	4.23E-01	6.93E+00
UCEC_TCGA-AP-A1E1	8.46E+00	1.32E+00	9.70E+00	3.98E+00	1.19E+01	1.18E+01	2.90E+00	5.31E+00	6.15E+00	1.08E+01	3.70E+00	5.43E+00	1.24E+00	1.74E+00
UCEC_TCGA-AP-A1E3	1.38E+00	3.06E-01	8.54E-01	8.88E-01	2.00E-01	6.15E-01	7.31E-01	4.47E-01	9.43E-01	2.67E-01	1.96E+00	1.59E+00	7.64E-01	3.07E-01
UCEC_TCGA-AP-A1E4	1.22E+00	4.27E-01	6.36E-01	6.86E-01	8.27E-01	0.00E+00	1.41E+00	7.33E-01	7.34E-01	4.33E-01	8.54E-01	1.97E+00	3.65E-01	1.00E-01
UCEC_TCGA-AP-A5FX	2.02E+00	0.00E+00	1.04E+00	4.47E-01	1.04E+00	4.01E-01	9.43E-01	3.48E-01	1.25E+00	9.24E-01	1.68E+00	1.84E+00	3.00E-01	0.00E+00
UCEC_TCGA-AW-A1PO	9.71E-01	2.00E-01	6.19E-01	9.19E-01	1.69E+00	8.97E-01	1.79E+00	8.62E-01	1.84E+00	1.10E+00	2.31E+00	2.82E+00	9.17E-01	7.75E-01
UCEC_TCGA-AX-A06H	1.03E+01	8.27E-01	6.65E+00	2.90E+00	3.96E+00	3.89E+00	9.69E-01	3.74E+00	6.75E+00	4.52E+00	4.41E+00	1.75E+00	7.33E-01	6.29E-01
UCEC_TCGA-AX-A06L	1.57E+00	5.47E-01	1.41E+00	0.00E+00	6.19E-01	1.09E+00	1.19E+00	1.05E+00	1.71E+00	9.83E-01	1.12E+00	9.52E-01	4.90E-01	3.94E-01
