Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
OGG1_boot.83	6.42E-02	5.32E-02	2.76E-02	1.62E-02	3.41E-02	1.09E-01
OGG1_boot.84	6.54E-02	5.43E-02	2.77E-02	1.62E-02	3.50E-02	1.11E-01
OGG1_boot.85	6.62E-02	5.43E-02	2.75E-02	1.55E-02	3.51E-02	1.13E-01
OGG1_boot.86	6.27E-02	5.42E-02	2.89E-02	1.73E-02	3.49E-02	1.07E-01
OGG1_boot.87	6.30E-02	5.37E-02	2.84E-02	1.67E-02	3.49E-02	1.08E-01
OGG1_boot.88	6.38E-02	5.40E-02	2.81E-02	1.67E-02	3.46E-02	1.09E-01
OGG1_boot.89	1.48E-01	5.45E-02	2.68E-02	4.70E-02	1.30E-145	1.63E-01
OGG1_boot.90	6.38E-02	5.63E-02	2.97E-02	1.92E-02	3.80E-02	1.05E-01
OGG1_boot.91	6.43E-02	5.35E-02	2.76E-02	1.60E-02	3.51E-02	1.09E-01
OGG1_boot.92	1.45E-01	5.46E-02	2.75E-02	4.66E-02	2.78E-62	1.60E-01
OGG1_boot.93	1.44E-01	5.61E-02	2.82E-02	4.66E-02	7.05E-03	1.59E-01
OGG1_boot.94	6.20E-02	5.68E-02	3.12E-02	2.16E-02	3.82E-02	1.01E-01
OGG1_boot.95	1.34E-01	5.69E-02	2.80E-02	4.67E-02	4.30E-03	1.52E-01
OGG1_boot.96	1.18E-01	6.04E-02	2.90E-02	4.57E-02	3.18E-02	1.45E-01
OGG1_boot.97	6.16E-02	5.45E-02	2.96E-02	1.74E-02	3.62E-02	1.05E-01
OGG1_boot.98	8.62E-02	1.21E-01	2.39E-02	0.00E+00	1.42E-01	8.21E-02
OGG1_boot.99	5.10E-02	5.69E-02	9.84E-03	8.57E-02	9.38E-02	8.05E-02
OGG1_boot.100	5.37E-02	5.70E-02	1.01E-02	9.79E-02	9.67E-02	8.03E-02
OGG1_boot.101	5.55E-02	5.72E-02	1.01E-02	7.99E-02	9.19E-02	8.02E-02
OGG1_boot.102	5.07E-02	5.63E-02	1.17E-02	1.08E-01	9.19E-02	7.76E-02
OGG1_boot.103	4.84E-02	5.53E-02	1.27E-02	8.72E-02	9.01E-02	7.66E-02
OGG1_boot.104	1.03E-01	1.18E-01	2.12E-02	1.25E-25	1.68E-01	8.33E-02
OGG1_boot.105	4.92E-02	5.60E-02	1.21E-02	7.31E-02	9.09E-02	7.63E-02
OGG1_boot.106	8.04E-02	1.08E-01	2.53E-02	0.00E+00	1.09E-01	7.32E-02
OGG1_boot.107	6.53E-02	1.10E-01	2.36E-02	0.00E+00	1.48E-01	7.82E-02
OGG1_boot.108	4.99E-02	5.68E-02	9.70E-03	9.13E-02	9.59E-02	8.08E-02
OGG1_boot.109	4.60E-02	5.59E-02	9.68E-03	1.01E-01	1.10E-01	8.16E-02
OGG1_boot.110	5.23E-02	5.70E-02	1.03E-02	9.33E-02	9.31E-02	8.01E-02
OGG1_boot.111	5.03E-02	5.61E-02	1.42E-02	7.08E-02	9.12E-02	7.69E-02
OGG1_boot.112	4.84E-02	5.59E-02	1.19E-02	8.66E-02	9.04E-02	7.69E-02
OGG1_boot.113	5.13E-02	5.77E-02	9.82E-03	9.26E-02	9.60E-02	8.28E-02
OGG1_boot.114	8.56E-02	1.14E-01	2.36E-02	1.24E-72	1.45E-01	7.95E-02
OGG1_boot.115	5.24E-02	5.71E-02	9.31E-03	1.01E-01	9.49E-02	8.12E-02
OGG1_boot.116	6.06E-02	1.02E-01	2.46E-02	0.00E+00	9.22E-02	6.93E-02
OGG1_boot.117	4.74E-02	5.77E-02	1.09E-02	9.62E-02	1.11E-01	8.27E-02
OGG1_boot.118	9.23E-02	1.22E-01	2.31E-02	8.03E-139	9.63E-02	7.85E-02
OGG1_boot.119	8.62E-02	1.08E-01	2.41E-02	2.05E-71	9.26E-02	7.20E-02
OGG1_boot.120	4.98E-02	5.67E-02	1.12E-02	8.40E-02	9.36E-02	7.88E-02
OGG1_boot.121	5.29E-02	5.81E-02	1.05E-02	1.06E-01	9.84E-02	8.32E-02
OGG1_boot.122	8.72E-02	1.11E-01	2.21E-02	5.31E-29	1.13E-01	8.05E-02
OGG1_boot.123	8.93E-02	1.11E-01	2.26E-02	5.14E-29	1.15E-01	8.30E-02
OGG1_boot.124	5.43E-02	5.87E-02	9.84E-03	1.05E-01	9.69E-02	8.40E-02
