Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R
BRCA_TCGA-A2-A4S2	0	3	0	2	3	0	0	0	4	4	0	2	4	5	4	0	10	2
BRCA_TCGA-A2-A4S3	5	6	3	3	11	5	0	3	6	5	5	6	8	12	8	0	11	10
BRCA_TCGA-A7-A0CE	1	4	1	2	1	0	0	0	5	2	8	3	3	3	12	0	3	13
BRCA_TCGA-A7-A0CH	0	0	1	3	0	0	0	0	1	0	0	2	5	0	2	0	2	1
BRCA_TCGA-A7-A0D9	0	1	0	0	1	1	0	0	0	0	0	0	1	1	5	1	0	1
BRCA_TCGA-A7-A0DA	2	4	5	10	0	1	0	3	12	0	12	9	10	18	7	8	55	31
BRCA_TCGA-A7-A0DB	1	3	1	3	5	0	0	2	2	2	0	1	0	13	10	3	7	0
BRCA_TCGA-A7-A13D	0	4	3	10	6	2	0	5	11	1	9	7	11	18	10	0	24	19
BRCA_TCGA-A7-A13E	0	9	2	10	21	6	4	0	4	0	0	4	1	5	5	0	9	0
BRCA_TCGA-A7-A13F	1	4	5	12	4	0	0	0	5	2	0	2	3	3	2	0	0	2
BRCA_TCGA-A7-A13G	1	4	0	3	1	0	0	0	3	0	0	2	1	6	5	1	0	5
BRCA_TCGA-A7-A26E	0	2	8	6	8	1	1	0	1	0	0	2	0	10	19	1	8	0
BRCA_TCGA-A7-A26F	3	0	4	0	11	1	2	0	3	0	0	0	5	3	3	0	9	2
BRCA_TCGA-A7-A26G	2	3	2	3	0	0	3	1	6	2	1	1	5	15	2	0	14	8
BRCA_TCGA-A7-A26H	4	2	4	18	12	4	0	0	0	0	0	3	4	66	25	0	5	3
BRCA_TCGA-A7-A26I	1	1	2	2	3	3	1	0	1	1	0	3	7	5	6	0	8	2
BRCA_TCGA-A7-A26J	3	1	0	0	6	0	0	0	1	0	1	0	2	0	12	0	11	5
BRCA_TCGA-A7-A2KD	1	4	2	13	2	3	0	0	0	0	0	2	6	5	6	1	0	10
BRCA_TCGA-A7-A3RF	0	2	0	0	6	0	0	2	3	3	2	2	4	3	0	0	10	3
BRCA_TCGA-A7-A425	0	3	0	1	6	0	0	0	0	0	5	1	2	0	3	0	2	10
BRCA_TCGA-A7-A4SC	1	4	2	9	0	0	0	0	0	0	0	2	3	0	4	2	9	2
BRCA_TCGA-A7-A4SD	0	4	3	14	9	0	1	0	8	5	3	0	2	2	0	5	5	1
BRCA_TCGA-A7-A4SE	3	1	1	0	5	7	2	4	15	7	4	0	7	40	6	2	22	20
BRCA_TCGA-A7-A56D	9	11	12	7	11	1	1	0	9	0	1	1	10	75	61	0	4	12
BRCA_TCGA-A7-A5ZV	1	9	7	31	6	5	2	0	7	6	18	23	22	41	0	16	44	30
BRCA_TCGA-A7-A5ZW	1	2	3	0	5	1	0	0	1	2	0	6	1	12	0	0	1	1
BRCA_TCGA-A7-A5ZX	1	2	4	4	1	1	0	0	1	2	2	2	1	0	10	3	5	3
BRCA_TCGA-A7-A6VV	0	2	0	6	9	0	4	0	4	0	0	6	17	10	0	0	6	0
BRCA_TCGA-A7-A6VW	0	1	3	0	7	1	1	0	5	6	7	6	15	9	0	3	9	19
BRCA_TCGA-A7-A6VX	0	3	2	0	4	6	0	3	7	1	17	10	12	26	38	7	31	10
BRCA_TCGA-A7-A6VY	3	3	4	7	3	10	2	3	8	5	3	7	10	18	15	1	23	11
BRCA_TCGA-A8-A075	3	3	1	1	6	2	0	0	0	0	3	4	13	17	28	2	7	10
BRCA_TCGA-AC-A23C	7	6	4	3	3	2	0	0	10	7	0	5	4	39	33	2	9	11
BRCA_TCGA-AC-A23E	1	1	2	7	3	0	0	0	1	0	0	1	4	0	0	0	3	1
BRCA_TCGA-AC-A23H	126	18	269	109	0	27	16	5	40	0	0	0	11	4654	1103	0	0	0
BRCA_TCGA-AC-A2B8	1	0	5	8	5	0	0	0	3	0	0	0	1	62	40	0	3	0
BRCA_TCGA-AC-A2BK	0	12	4	24	2	5	1	0	3	8	5	5	8	5	0	0	20	8
BRCA_TCGA-AC-A2BM	0	2	1	5	1	4	0	0	1	0	0	0	0	2	0	4	1	5
BRCA_TCGA-AC-A2FB	0	1	0	0	1	0	0	0	0	2	0	1	4	1	5	0	0	2
BRCA_TCGA-AC-A2FF	0	0	0	0	1	0	0	0	0	0	2	0	0	1	7	0	0	0
BRCA_TCGA-AC-A2FG	0	1	3	0	6	0	0	0	4	1	1	1	0	5	7	0	3	7
BRCA_TCGA-AC-A2FK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
BRCA_TCGA-AC-A2FO	1	0	2	0	3	0	0	0	1	0	0	0	1	6	11	0	1	1
BRCA_TCGA-AC-A2QH	1	4	0	0	7	0	2	0	4	1	1	0	0	4	0	0	1	2
BRCA_TCGA-AC-A3HN	0	3	1	1	1	2	0	0	0	2	0	0	1	2	1	2	2	4
BRCA_TCGA-AC-A3OD	3	4	4	0	2	0	2	0	4	1	1	0	6	3	7	0	0	2
BRCA_TCGA-AC-A3QP	0	1	3	0	1	0	0	0	2	1	0	5	2	1	0	0	14	5
BRCA_TCGA-AC-A3QQ	1	4	0	6	2	3	0	0	0	0	0	0	6	0	3	2	0	9
BRCA_TCGA-AC-A3W5	1	9	8	8	4	12	2	0	7	0	0	6	25	68	8	7	21	25
BRCA_TCGA-AC-A3YI	0	2	2	1	0	0	0	0	0	2	0	1	2	0	1	0	7	0
