Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R
BRCA_TCGA-D8-A27E	0	0	1	3	0	2	0	0	1	0	0	0	0	0	3	0	1	0
BRCA_TCGA-D8-A27F	3	1	1	0	3	0	0	3	8	3	0	2	2	12	0	0	21	11
BRCA_TCGA-D8-A27G	22	3	58	12	2	0	0	0	0	0	0	0	0	715	364	0	0	0
BRCA_TCGA-D8-A27H	0	2	1	0	8	3	0	3	4	7	9	8	3	69	4	1	29	9
BRCA_TCGA-D8-A27I	0	2	2	0	6	0	0	1	3	1	0	2	0	9	3	0	6	1
BRCA_TCGA-D8-A27K	0	0	1	7	2	1	0	0	1	0	0	2	3	1	0	0	2	1
BRCA_TCGA-D8-A27L	0	4	4	0	3	0	0	0	0	0	1	0	8	10	21	0	2	0
BRCA_TCGA-D8-A27M	4	4	4	8	0	3	0	5	2	3	10	2	2	16	0	0	23	4
BRCA_TCGA-D8-A27N	1	6	4	6	10	0	2	0	4	0	0	2	4	2	5	0	8	6
BRCA_TCGA-D8-A27P	0	6	1	1	1	0	0	0	5	2	0	1	2	0	4	0	5	2
BRCA_TCGA-D8-A27R	0	2	4	0	1	4	0	0	0	0	0	0	8	5	0	0	6	5
BRCA_TCGA-D8-A27T	0	4	0	7	2	0	2	2	0	0	0	3	0	0	10	0	1	0
BRCA_TCGA-D8-A27V	6	3	19	2	4	3	0	0	0	1	2	4	18	128	39	0	6	0
BRCA_TCGA-D8-A27W	0	7	3	10	11	0	0	0	6	4	0	0	4	5	0	1	4	0
BRCA_TCGA-D8-A3Z6	1	2	0	9	2	3	0	0	2	0	0	6	3	5	2	0	0	2
BRCA_TCGA-D8-A4Z1	1	2	5	2	0	2	0	0	0	0	0	0	1	16	15	0	0	2
BRCA_TCGA-D8-A73U	4	3	7	3	6	2	0	0	0	0	0	4	0	74	104	0	0	0
BRCA_TCGA-D8-A73W	0	8	1	7	6	0	0	0	9	0	0	1	9	4	0	4	2	1
BRCA_TCGA-D8-A73X	0	4	4	1	9	0	2	0	0	5	0	5	4	4	4	0	7	3
BRCA_TCGA-E2-A105	1	3	0	12	5	0	2	0	6	7	0	0	10	4	11	0	0	6
BRCA_TCGA-E2-A107	1	2	3	0	5	0	0	2	0	1	0	3	4	3	5	0	0	7
BRCA_TCGA-E2-A108	4	0	5	3	5	0	4	0	5	4	2	4	1	110	28	0	3	8
BRCA_TCGA-E2-A109	2	6	2	16	2	4	4	0	3	0	6	5	9	0	9	1	12	3
BRCA_TCGA-E2-A10A	0	3	0	1	0	0	0	0	3	1	0	0	5	5	7	0	3	0
BRCA_TCGA-E2-A10B	0	2	3	6	2	0	4	3	3	2	0	5	2	20	17	2	2	0
BRCA_TCGA-E2-A10C	9	1	31	0	5	0	0	0	0	0	0	0	0	285	188	0	0	0
BRCA_TCGA-E2-A10F	0	3	1	6	3	0	0	0	0	3	1	1	1	3	5	0	3	0
BRCA_TCGA-E2-A14N	0	3	6	3	1	1	0	0	4	0	5	5	14	24	0	8	19	16
BRCA_TCGA-E2-A14O	1	1	6	12	3	0	0	0	0	1	2	0	5	1	0	0	3	1
BRCA_TCGA-E2-A14P	3	7	8	14	8	6	0	0	0	5	1	3	10	17	23	0	6	1
BRCA_TCGA-E2-A14Q	1	1	0	11	3	0	0	0	0	0	4	5	5	4	3	1	2	0
BRCA_TCGA-E2-A14R	3	2	5	7	4	12	0	7	2	0	11	13	11	20	0	2	23	21
BRCA_TCGA-E2-A14T	0	5	4	0	5	0	0	0	2	0	0	1	1	7	0	5	8	5
BRCA_TCGA-E2-A14V	1	5	12	3	14	0	4	0	5	6	0	0	11	53	4	5	11	7
BRCA_TCGA-E2-A14W	0	2	5	5	0	5	0	5	7	0	9	5	8	15	0	3	19	14
BRCA_TCGA-E2-A14X	0	8	4	0	8	0	0	0	2	0	0	0	3	5	5	1	1	0
BRCA_TCGA-E2-A14Y	0	2	0	5	3	0	0	0	1	0	0	1	2	23	9	0	0	4
BRCA_TCGA-E2-A14Z	3	1	6	7	3	0	3	2	3	0	0	0	4	16	25	3	12	7
BRCA_TCGA-E2-A150	8	8	4	5	7	6	0	10	7	3	0	0	4	7	0	6	9	7
BRCA_TCGA-E2-A152	3	0	20	4	3	0	0	2	10	0	0	2	0	85	33	0	9	0
BRCA_TCGA-E2-A153	0	3	2	2	5	0	0	0	2	2	0	0	0	3	5	0	0	2
BRCA_TCGA-E2-A154	3	5	6	4	7	0	2	0	5	0	0	0	2	2	0	0	22	0
BRCA_TCGA-E2-A155	2	4	3	13	2	0	0	0	11	1	0	4	5	9	9	1	12	5
BRCA_TCGA-E2-A156	0	0	1	2	3	1	0	0	0	0	0	3	3	3	6	0	2	1
BRCA_TCGA-E2-A158	1	1	3	1	7	6	4	3	5	0	5	5	7	7	0	4	27	11
BRCA_TCGA-E2-A159	1	3	4	13	4	4	0	0	0	0	0	3	6	118	33	5	6	1
BRCA_TCGA-E2-A15A	3	4	0	4	4	3	0	0	1	2	5	0	6	3	6	4	17	0
BRCA_TCGA-E2-A15C	0	4	1	15	5	5	2	0	2	2	1	0	6	1	3	0	1	2
BRCA_TCGA-E2-A15D	3	4	2	0	7	2	0	0	3	3	0	1	3	1	0	2	1	2
BRCA_TCGA-E2-A15E	1	2	1	3	8	0	1	0	1	4	0	6	3	7	0	0	3	0
BRCA_TCGA-E2-A15F	0	2	1	4	4	0	0	0	3	0	0	2	1	0	3	0	1	7
BRCA_TCGA-E2-A15G	0	1	4	5	8	0	0	1	5	2	0	7	6	3	10	0	14	7
BRCA_TCGA-E2-A15H	0	3	1	10	2	6	0	0	0	0	0	3	5	1	0	0	2	0
BRCA_TCGA-E2-A15I	1	2	0	9	7	1	0	0	1	0	0	0	1	0	11	0	7	3
BRCA_TCGA-E2-A15J	0	4	0	5	0	0	0	0	2	2	0	0	2	0	3	0	3	1
BRCA_TCGA-E2-A15K	1	5	2	2	7	1	4	1	2	1	0	1	9	2	5	0	10	0
BRCA_TCGA-E2-A15L	0	3	2	4	7	0	0	0	1	1	2	5	0	4	1	0	2	2
BRCA_TCGA-E2-A15M	2	8	3	15	4	2	1	0	1	3	4	2	11	25	11	0	5	11
BRCA_TCGA-E2-A15O	0	2	2	0	7	1	0	0	1	0	0	3	0	0	4	2	6	6
BRCA_TCGA-E2-A15P	0	3	1	6	1	0	0	0	1	3	0	2	5	0	2	0	2	2
BRCA_TCGA-E2-A15R	0	2	4	13	5	2	0	0	0	1	0	0	6	2	6	0	1	5
BRCA_TCGA-E2-A15S	0	1	1	0	7	2	4	2	3	7	2	0	6	9	2	4	7	11
BRCA_TCGA-E2-A15T	0	0	1	4	11	5	0	0	0	2	0	1	3	3	0	0	7	3
BRCA_TCGA-E2-A1AZ	1	5	11	0	0	0	1	0	2	0	1	8	3	27	0	0	17	3
BRCA_TCGA-E2-A1B0	0	2	6	10	4	4	0	0	0	9	0	1	3	7	1	2	4	7
BRCA_TCGA-E2-A1B1	1	0	1	4	7	1	0	2	0	0	0	0	2	19	29	0	0	0
BRCA_TCGA-E2-A1B4	0	5	3	0	0	0	0	1	2	2	4	0	2	1	13	0	9	0
BRCA_TCGA-E2-A1B5	0	2	4	4	2	1	0	2	0	2	0	0	3	18	5	1	0	2
BRCA_TCGA-E2-A1B6	0	5	0	0	7	2	0	0	4	0	8	3	1	4	0	1	14	7
BRCA_TCGA-E2-A1BC	0	6	0	0	2	2	0	2	1	0	2	4	5	3	0	0	14	0
BRCA_TCGA-E2-A1BD	1	0	2	17	4	0	0	0	4	0	5	3	3	1	0	0	1	2
BRCA_TCGA-E2-A1IE	0	0	1	5	2	2	1	0	4	2	4	0	2	0	0	2	4	1
BRCA_TCGA-E2-A1IF	0	2	1	0	2	0	0	0	0	2	0	5	4	0	0	0	8	0
BRCA_TCGA-E2-A1IG	0	2	6	0	8	2	0	1	1	1	3	0	5	1	18	0	6	3
BRCA_TCGA-E2-A1IH	1	4	3	0	5	0	0	0	1	5	0	5	6	31	8	1	8	7
BRCA_TCGA-E2-A1II	0	3	0	3	3	0	0	10	0	0	0	2	1	2	0	0	1	9
BRCA_TCGA-E2-A1IJ	0	1	0	2	4	2	0	1	1	0	2	0	0	0	0	2	3	0
BRCA_TCGA-E2-A1IK	0	1	4	0	1	0	0	1	0	2	0	0	0	1	0	0	0	7
BRCA_TCGA-E2-A1IL	1	5	3	4	0	0	0	0	2	0	0	3	5	0	1	1	6	0
BRCA_TCGA-E2-A1IN	1	4	9	8	5	0	2	0	8	0	0	4	0	144	49	1	7	6
BRCA_TCGA-E2-A1IO	0	1	2	2	3	0	0	2	1	1	0	0	0	1	0	0	2	1
BRCA_TCGA-E2-A1IU	0	1	7	1	1	0	0	0	2	0	1	0	1	4	3	1	7	2
BRCA_TCGA-E2-A1L6	0	1	6	4	0	1	0	0	4	0	0	4	3	0	2	0	2	1
BRCA_TCGA-E2-A1L7	3	0	1	0	9	0	1	3	5	4	6	5	5	4	5	5	20	5
BRCA_TCGA-E2-A1L8	0	1	0	0	5	3	1	1	0	4	4	0	1	5	6	0	4	3
BRCA_TCGA-E2-A1L9	0	2	2	4	1	2	0	0	3	0	4	3	0	2	3	0	0	2
BRCA_TCGA-E2-A1LA	1	1	1	16	0	10	0	0	3	0	0	17	6	11	0	6	12	23
BRCA_TCGA-E2-A1LB	3	1	3	0	4	0	2	2	1	1	0	0	0	16	19	0	0	3
BRCA_TCGA-E2-A1LG	3	0	16	1	6	5	0	0	2	0	6	1	10	151	16	2	0	0
BRCA_TCGA-E2-A1LH	12	0	3	9	11	1	11	0	0	13	0	10	12	66	9	10	39	25
BRCA_TCGA-E2-A1LI	0	1	2	0	1	0	2	0	1	0	3	2	0	13	2	0	9	1
BRCA_TCGA-E2-A1LK	0	12	7	11	10	0	0	2	1	0	0	3	2	3	0	1	0	2
BRCA_TCGA-E2-A1LL	1	4	1	3	4	4	0	0	1	4	5	2	7	7	0	5	10	3
BRCA_TCGA-E2-A2P6	1	7	12	9	3	2	0	0	0	0	0	3	0	58	91	0	0	0
BRCA_TCGA-E2-A56Z	1	5	4	0	12	8	0	3	0	8	0	0	6	0	4	1	5	3
BRCA_TCGA-E2-A570	0	2	1	8	3	1	0	0	0	3	0	0	7	0	3	1	1	0
BRCA_TCGA-E2-A572	0	2	0	2	7	1	0	1	0	4	0	0	0	3	2	0	5	2
BRCA_TCGA-E2-A573	3	7	2	3	3	1	0	6	9	6	7	0	1	5	4	2	5	8
BRCA_TCGA-E2-A574	2	10	14	3	9	0	0	2	5	2	6	0	12	46	36	1	1	7
BRCA_TCGA-E2-A576	0	3	4	11	11	8	0	0	4	0	6	0	7	0	3	1	1	11
BRCA_TCGA-E2-A9RU	6	12	9	13	13	0	0	0	0	3	0	5	8	10	22	1	5	0
BRCA_TCGA-E9-A1N3	3	2	0	0	2	4	2	0	0	0	0	3	1	4	0	2	7	1
BRCA_TCGA-E9-A1N4	0	2	4	0	5	0	0	0	2	0	0	2	0	9	5	0	4	1
BRCA_TCGA-E9-A1N5	0	2	1	0	1	0	0	0	10	3	0	2	0	11	1	0	3	5
BRCA_TCGA-E9-A1N8	3	1	5	0	0	0	0	0	2	6	0	2	0	9	0	0	3	5
BRCA_TCGA-E9-A1N9	1	1	0	24	1	0	3	0	1	0	5	4	2	6	5	0	1	12
BRCA_TCGA-E9-A1NA	3	2	5	9	4	5	4	4	6	1	3	2	7	21	7	0	32	2
BRCA_TCGA-E9-A1NE	6	5	0	0	2	5	0	0	3	2	3	0	5	7	4	0	11	9
BRCA_TCGA-E9-A1NF	0	0	4	5	4	3	0	1	3	0	0	2	6	12	16	0	2	3
BRCA_TCGA-E9-A1NG	0	1	1	2	2	1	0	0	4	0	0	0	3	1	0	0	3	3
BRCA_TCGA-E9-A1NH	1	0	1	3	6	0	0	0	3	5	0	4	5	2	1	1	4	1
BRCA_TCGA-E9-A1QZ	0	2	1	0	2	0	0	0	0	4	1	0	1	0	0	0	12	0
BRCA_TCGA-E9-A1R0	0	3	3	5	4	1	0	0	0	0	0	0	5	8	3	0	0	3
BRCA_TCGA-E9-A1R2	0	2	2	2	2	1	0	0	0	7	0	6	9	16	0	1	14	4
BRCA_TCGA-E9-A1R3	0	2	2	1	3	0	0	0	3	0	0	4	0	2	3	0	3	2
BRCA_TCGA-E9-A1R4	4	3	6	13	1	1	0	0	3	0	4	4	3	59	45	0	4	3
BRCA_TCGA-E9-A1R5	1	0	3	0	15	0	0	0	2	2	0	5	2	4	3	0	11	3
BRCA_TCGA-E9-A1R6	3	0	5	9	6	3	0	0	0	0	0	2	0	1	3	1	2	1
BRCA_TCGA-E9-A1R7	1	4	0	8	0	2	0	0	5	1	0	1	9	8	5	3	5	11
BRCA_TCGA-E9-A1RA	1	1	0	2	3	0	0	0	0	0	0	1	4	2	5	3	0	3
BRCA_TCGA-E9-A1RB	0	3	1	6	2	0	4	0	3	1	0	5	5	0	0	0	5	3
BRCA_TCGA-E9-A1RC	0	7	4	3	7	0	0	1	2	2	3	6	3	0	4	0	9	4
BRCA_TCGA-E9-A1RD	0	2	1	4	1	1	0	0	2	0	0	0	1	4	5	0	2	0
BRCA_TCGA-E9-A1RE	0	7	4	8	9	12	0	2	0	2	4	2	3	1	5	0	7	0
BRCA_TCGA-E9-A1RF	5	7	5	13	11	14	0	3	2	0	13	7	8	24	5	0	43	10
BRCA_TCGA-E9-A1RG	0	2	1	0	4	0	1	1	2	3	3	2	2	6	7	0	5	2
BRCA_TCGA-E9-A1RH	2	1	4	19	5	9	0	2	2	7	7	2	11	14	7	1	15	3
BRCA_TCGA-E9-A1RI	3	2	1	0	4	4	0	0	0	0	0	0	3	2	4	0	2	4
BRCA_TCGA-E9-A226	1	4	8	8	1	1	0	0	0	1	0	0	0	33	22	0	0	0
BRCA_TCGA-E9-A227	0	0	1	5	0	0	0	0	2	0	0	2	0	1	8	0	0	0
BRCA_TCGA-E9-A228	0	5	0	13	4	0	1	0	0	1	5	0	2	5	14	2	0	0
BRCA_TCGA-E9-A229	1	4	0	7	1	1	0	0	0	1	0	1	4	6	1	2	1	0
BRCA_TCGA-E9-A22A	0	1	1	1	4	0	0	0	2	0	1	1	0	6	7	0	5	7
BRCA_TCGA-E9-A22B	0	6	3	6	8	0	0	6	0	0	0	3	7	6	14	3	8	6
BRCA_TCGA-E9-A22D	1	7	7	0	12	0	0	0	2	0	0	0	0	3	6	0	2	0
BRCA_TCGA-E9-A22E	3	3	2	2	8	2	1	3	3	1	6	2	8	34	11	8	22	25
BRCA_TCGA-E9-A22G	3	1	1	12	0	2	5	0	5	13	1	13	10	10	0	7	24	10
BRCA_TCGA-E9-A22H	0	2	1	9	4	0	0	0	0	1	0	1	1	0	4	0	0	3
BRCA_TCGA-E9-A243	4	2	2	0	7	7	0	1	5	2	0	10	0	20	7	1	13	8
BRCA_TCGA-E9-A244	6	7	0	5	13	4	4	2	8	0	0	9	10	8	0	3	30	12
BRCA_TCGA-E9-A245	2	0	1	2	1	0	0	1	2	0	0	1	0	0	2	1	6	4
BRCA_TCGA-E9-A247	0	11	2	12	7	5	1	0	1	3	2	0	0	1	0	1	1	0
BRCA_TCGA-E9-A248	1	4	0	6	2	0	3	0	0	0	0	0	1	4	5	0	0	2
BRCA_TCGA-E9-A249	0	5	2	0	4	0	0	0	1	0	1	3	0	1	0	0	5	3
BRCA_TCGA-E9-A24A	2	0	1	10	1	0	0	0	0	0	1	1	1	0	0	0	0	5
BRCA_TCGA-E9-A295	6	5	4	10	14	0	0	0	0	1	28	1	0	5	1	0	34	0
BRCA_TCGA-E9-A2JS	0	7	6	24	7	0	0	0	0	3	11	0	10	1	0	1	19	0
BRCA_TCGA-E9-A2JT	1	0	1	0	0	0	0	2	1	0	0	0	0	21	0	0	0	2
BRCA_TCGA-E9-A3HO	0	0	2	0	3	8	1	1	4	0	0	5	7	10	0	2	14	15
BRCA_TCGA-E9-A3QA	0	1	2	0	1	0	3	0	4	0	0	2	8	23	0	0	13	5
BRCA_TCGA-E9-A3X8	0	2	1	3	3	2	0	0	0	0	0	0	10	7	2	3	3	1
BRCA_TCGA-E9-A54Y	1	3	1	14	3	0	0	0	2	0	0	2	0	7	21	1	3	0
BRCA_TCGA-E9-A5FK	1	2	0	4	4	3	0	0	4	0	0	2	5	2	4	1	5	2
BRCA_TCGA-E9-A5FL	2	7	6	3	0	6	1	2	5	4	8	7	10	26	0	2	27	17
BRCA_TCGA-E9-A5UO	0	3	1	6	4	3	2	0	2	1	1	1	6	1	0	0	6	1
BRCA_TCGA-E9-A6HE	0	3	2	6	1	2	0	0	0	1	0	0	3	0	3	1	0	0
BRCA_TCGA-EW-A1IW	2	1	1	19	3	0	0	0	6	0	0	2	7	46	28	0	3	9
BRCA_TCGA-EW-A1IX	1	0	1	0	0	3	0	0	4	0	1	1	0	21	9	0	1	0
BRCA_TCGA-EW-A1IY	0	0	6	3	0	2	1	0	0	2	1	0	0	6	17	0	0	0
BRCA_TCGA-EW-A1IZ	1	56	28	26	71	40	44	2	41	43	4	39	17	2	0	4	0	17
BRCA_TCGA-EW-A1J1	0	3	2	3	3	0	2	0	0	0	0	0	1	0	0	2	5	2
BRCA_TCGA-EW-A1J3	0	2	0	2	1	0	0	0	0	4	3	0	7	0	10	0	0	1
BRCA_TCGA-EW-A1J5	5	0	23	2	7	0	1	0	4	0	0	0	0	298	200	0	0	0
BRCA_TCGA-EW-A1J6	0	2	1	1	6	0	0	0	2	1	4	0	5	3	0	0	19	0
BRCA_TCGA-EW-A1OV	0	0	7	5	5	0	1	0	1	0	0	0	1	60	58	0	0	2
BRCA_TCGA-EW-A1OX	0	2	1	0	1	1	0	0	1	0	0	0	0	4	4	0	1	6
BRCA_TCGA-EW-A1OZ	1	5	3	18	5	0	0	0	6	1	6	3	5	7	9	6	0	1
BRCA_TCGA-EW-A1P0	0	0	1	0	2	2	1	0	2	0	2	3	2	1	0	2	10	0
BRCA_TCGA-EW-A1P1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
BRCA_TCGA-EW-A1P3	0	0	0	8	2	0	0	0	1	0	0	3	5	0	5	0	2	2
BRCA_TCGA-EW-A1P4	1	0	3	3	8	12	0	2	0	8	0	2	1	11	0	2	16	8
BRCA_TCGA-EW-A1P5	1	7	1	4	3	1	0	0	0	0	0	0	0	1	0	0	2	0
BRCA_TCGA-EW-A1P6	0	2	1	0	5	0	0	0	1	2	0	1	2	0	4	0	6	2
BRCA_TCGA-EW-A1P7	0	0	0	3	0	6	0	0	2	1	0	0	1	0	0	1	3	2
BRCA_TCGA-EW-A1P8	0	6	2	2	1	4	2	1	1	0	1	3	5	0	6	0	4	1
BRCA_TCGA-EW-A1PA	2	4	6	1	1	0	4	0	0	2	0	0	3	3	6	0	3	6
BRCA_TCGA-EW-A1PB	7	0	2	9	3	9	0	5	2	3	2	0	9	80	21	0	29	1
BRCA_TCGA-EW-A1PD	3	2	1	0	0	5	3	2	7	3	6	0	8	18	10	2	11	12
BRCA_TCGA-EW-A1PE	0	4	2	3	1	4	0	2	1	2	0	0	0	3	7	2	6	1
BRCA_TCGA-EW-A1PG	0	1	2	2	0	0	0	0	0	2	0	0	0	0	1	0	0	3
BRCA_TCGA-EW-A1PH	1	3	4	18	3	0	0	0	3	1	0	5	4	6	2	1	2	9
BRCA_TCGA-EW-A2FR	1	1	1	10	3	0	0	0	2	0	0	4	4	11	9	0	6	2
BRCA_TCGA-EW-A2FS	1	1	0	8	5	0	3	2	4	2	2	4	5	0	4	0	0	4
BRCA_TCGA-EW-A2FV	0	1	4	0	2	3	0	2	0	0	0	3	3	1	1	0	8	4
BRCA_TCGA-EW-A2FW	1	3	0	8	3	0	0	0	0	0	0	0	2	1	4	0	0	4
BRCA_TCGA-EW-A423	0	9	3	8	5	0	0	4	9	1	0	5	12	14	16	0	1	1
BRCA_TCGA-EW-A6S9	1	3	2	5	4	2	2	0	0	0	0	3	2	2	5	0	0	0
BRCA_TCGA-EW-A6SA	2	9	7	0	10	6	1	8	14	1	6	2	9	13	13	0	15	7
BRCA_TCGA-EW-A6SB	0	3	6	11	6	3	4	0	3	6	0	6	7	6	2	4	6	8
BRCA_TCGA-EW-A6SC	0	3	0	0	2	5	0	0	3	1	1	5	4	4	7	0	3	1
BRCA_TCGA-EW-A6SD	3	4	1	5	4	1	4	0	0	1	0	5	0	24	11	0	1	4
BRCA_TCGA-GI-A2C8	2	9	1	7	6	0	3	2	12	0	9	7	6	24	0	2	38	20
BRCA_TCGA-GM-A2D9	11	0	23	19	8	0	0	0	6	0	0	0	0	305	273	0	0	0
BRCA_TCGA-GM-A2DA	1	0	4	3	8	3	0	0	3	0	0	2	0	10	1	0	5	5
BRCA_TCGA-GM-A2DB	4	5	4	2	12	0	4	1	4	1	6	4	9	10	7	2	28	25
BRCA_TCGA-GM-A2DC	0	0	0	14	5	1	0	0	0	0	0	0	3	0	0	1	0	3
BRCA_TCGA-GM-A2DD	1	4	3	4	2	7	1	2	2	1	6	5	3	6	0	2	3	16
BRCA_TCGA-GM-A2DF	0	4	3	3	8	1	2	0	2	3	0	0	12	7	1	3	0	4
BRCA_TCGA-GM-A2DH	7	4	9	2	4	5	1	1	9	0	7	4	20	106	0	2	34	17
BRCA_TCGA-GM-A2DI	0	1	9	0	3	1	0	0	0	0	0	0	4	51	21	0	1	0
BRCA_TCGA-GM-A2DK	0	0	2	9	2	1	2	2	2	2	0	4	1	2	5	1	0	2
BRCA_TCGA-GM-A2DL	4	0	2	11	3	2	0	2	1	1	0	0	0	7	8	0	8	0
BRCA_TCGA-GM-A2DM	1	0	2	0	1	0	0	0	1	3	0	2	0	1	6	0	3	7
BRCA_TCGA-GM-A2DN	0	1	1	4	1	0	0	0	1	0	2	2	1	0	4	0	0	2
BRCA_TCGA-GM-A2DO	2	1	21	6	2	0	1	0	4	0	0	0	1	111	71	0	0	0
BRCA_TCGA-GM-A3NW	1	6	5	3	8	1	0	0	3	0	0	0	3	41	20	2	1	1
BRCA_TCGA-GM-A3XL	1	3	4	13	1	0	0	1	10	4	0	14	8	48	0	0	25	12
BRCA_TCGA-GM-A4E0	0	3	3	1	6	0	2	0	2	1	1	0	1	0	1	0	11	2
BRCA_TCGA-GM-A5PV	0	1	3	0	4	0	0	0	0	4	3	4	3	5	10	0	6	4
BRCA_TCGA-GM-A5PX	0	2	2	8	1	0	0	0	5	2	0	3	4	6	4	2	2	1
BRCA_TCGA-HN-A2NL	0	2	2	0	8	1	2	1	0	2	11	7	7	11	0	0	21	16
BRCA_TCGA-HN-A2OB	0	1	1	0	5	3	0	0	0	0	0	0	1	3	0	2	1	2
BRCA_TCGA-JL-A3YX	1	3	1	5	4	0	4	0	3	0	0	1	0	11	16	0	0	0
BRCA_TCGA-LD-A66U	1	4	0	9	3	12	0	0	3	3	1	0	1	1	1	0	2	3
BRCA_TCGA-LD-A74U	0	1	17	18	9	0	0	0	1	0	0	0	4	156	146	0	0	0
BRCA_TCGA-LD-A7W5	1	4	4	6	9	9	0	0	1	0	2	3	6	12	3	1	0	4
BRCA_TCGA-LD-A7W6	1	4	1	0	7	4	0	0	0	1	0	0	4	1	7	0	4	12
BRCA_TCGA-LD-A9QF	0	3	3	1	10	0	0	0	0	3	0	0	7	3	0	0	3	6
BRCA_TCGA-LL-A440	0	0	1	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0
BRCA_TCGA-LL-A50Y	0	3	0	2	9	0	0	0	5	4	1	2	1	0	8	0	0	8
BRCA_TCGA-LL-A5YL	0	2	10	11	6	3	0	0	2	1	1	0	5	18	32	0	0	2
BRCA_TCGA-LL-A5YM	0	3	1	2	4	3	0	0	3	0	0	1	1	1	11	0	9	1
BRCA_TCGA-LL-A5YN	0	1	3	6	4	3	0	0	5	3	0	1	6	0	4	4	2	1
BRCA_TCGA-LL-A5YO	2	4	1	2	0	0	0	2	8	2	1	4	1	18	0	3	13	0
BRCA_TCGA-LL-A5YP	4	3	2	0	2	11	0	0	5	2	6	3	12	13	9	0	27	6
BRCA_TCGA-LL-A6FP	3	1	5	7	0	8	0	0	1	0	0	3	7	9	15	1	11	4
BRCA_TCGA-LL-A6FQ	0	7	3	17	7	4	1	0	0	0	0	5	7	0	8	0	4	6
BRCA_TCGA-LL-A6FR	0	1	4	4	11	2	0	1	13	5	1	3	2	3	4	0	3	6
BRCA_TCGA-LL-A73Y	3	3	14	0	5	11	0	3	1	11	2	5	1	122	0	2	10	0
BRCA_TCGA-LL-A73Z	0	3	1	3	6	0	0	1	10	0	0	1	4	1	4	1	4	9
BRCA_TCGA-LL-A740	1	3	1	14	2	5	0	0	5	6	0	0	9	2	9	0	1	10
BRCA_TCGA-LL-A7SZ	3	5	7	4	8	6	0	0	1	0	1	9	5	7	5	3	2	9
BRCA_TCGA-LL-A7T0	2	9	6	7	11	1	0	1	5	3	0	2	0	7	10	1	8	4
BRCA_TCGA-LL-A8F5	3	3	4	7	10	0	6	6	17	6	7	18	15	16	16	6	35	25
BRCA_TCGA-LL-A9Q3	0	6	4	12	1	0	3	0	5	0	1	0	1	3	10	1	6	15
BRCA_TCGA-OK-A5Q2	0	0	9	2	10	3	0	0	2	0	0	3	0	5	4	3	1	1
BRCA_TCGA-OL-A5D6	1	0	4	0	11	0	0	0	3	2	0	2	5	4	8	1	9	7
BRCA_TCGA-OL-A5D7	1	2	0	13	3	1	0	0	8	4	3	4	5	13	6	3	8	6
BRCA_TCGA-OL-A5D8	0	6	1	1	4	0	0	2	1	0	3	2	7	4	0	5	0	3
BRCA_TCGA-OL-A5DA	1	3	15	5	4	2	0	0	5	1	0	1	5	49	15	1	3	4
BRCA_TCGA-OL-A5RU	0	4	0	7	5	6	0	0	0	1	0	0	6	0	6	0	6	5
BRCA_TCGA-OL-A5RV	0	1	1	0	6	1	0	0	4	0	0	0	1	0	0	1	0	2
BRCA_TCGA-OL-A5RW	1	5	10	0	0	17	0	2	6	4	8	14	15	120	6	4	27	14
BRCA_TCGA-OL-A5RX	0	5	3	7	2	0	0	0	3	2	2	3	0	2	0	0	5	1
BRCA_TCGA-OL-A5RY	0	2	0	1	1	0	0	0	4	0	0	2	0	3	0	0	0	0
BRCA_TCGA-OL-A5RZ	4	15	8	19	11	3	1	1	3	5	6	1	12	16	12	2	20	13
BRCA_TCGA-OL-A5S0	0	2	2	12	5	4	0	0	2	3	0	0	2	4	4	2	1	1
BRCA_TCGA-OL-A66H	0	2	0	5	1	2	0	0	2	0	0	2	0	0	3	0	5	5
BRCA_TCGA-OL-A66I	0	5	3	0	8	1	3	0	0	1	3	1	7	2	14	0	8	0
BRCA_TCGA-OL-A66J	3	6	1	0	12	1	2	0	0	2	0	7	10	5	13	1	4	1
BRCA_TCGA-OL-A66K	0	11	0	4	4	2	0	0	1	0	0	1	3	0	10	0	5	6
BRCA_TCGA-OL-A66L	1	3	5	11	0	0	0	0	1	0	0	4	1	36	32	0	0	0
BRCA_TCGA-OL-A66N	0	6	4	4	11	5	1	0	0	0	1	3	4	2	3	1	8	5
BRCA_TCGA-OL-A66O	0	4	1	0	10	2	0	2	0	0	0	4	5	2	0	2	3	3
BRCA_TCGA-OL-A66P	4	4	5	11	0	9	0	3	1	9	11	6	6	1	7	0	26	20
BRCA_TCGA-OL-A6VO	3	4	0	7	4	0	0	0	5	0	0	2	4	2	1	1	0	5
BRCA_TCGA-OL-A6VQ	2	2	3	9	2	5	0	0	0	0	0	1	0	29	20	0	0	9
BRCA_TCGA-OL-A6VR	0	3	1	1	1	6	0	0	0	0	1	0	0	1	0	0	3	0
BRCA_TCGA-OL-A97C	1	5	0	5	5	8	7	3	7	1	0	3	4	1	4	0	4	12
