Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
BRCA_TCGA-A2-A04R	9.45E-01	7.31E-01	9.00E-01	1.32E+00	6.36E-01	2.00E+00	2.98E-01	2.00E+00	1.42E+00	1.37E+00	3.48E-01
BRCA_TCGA-A2-A04U	1.00E-01	9.52E-01	6.11E-01	0.00E+00	6.80E-01	7.52E-01	6.90E-01	3.14E-01	1.86E+00	9.52E-01	1.23E+00
BRCA_TCGA-A2-A04W	9.33E-01	1.16E+00	1.28E+00	1.34E+00	2.05E+00	1.77E+00	1.33E+00	0.00E+00	1.59E+00	1.85E+00	3.35E-01
BRCA_TCGA-A2-A0CK	0.00E+00	1.46E+00	0.00E+00	5.54E-01	4.96E-01	1.41E+00	4.94E-01	5.37E-01	6.32E-01	6.29E-01	0.00E+00
BRCA_TCGA-A2-A0CL	0.00E+00	1.31E+00	7.92E-01	6.53E-01	2.39E+00	1.33E+00	7.63E-01	6.11E-01	1.37E+00	2.31E+00	8.49E-01
BRCA_TCGA-A2-A0CR	7.86E-01	9.78E-01	1.00E-01	2.21E-01	1.97E+00	1.37E+00	1.14E+00	5.00E-01	1.32E+00	1.56E+00	6.51E-01
BRCA_TCGA-A2-A0CS	0.00E+00	1.45E+00	1.24E+00	9.80E-01	5.96E-01	9.57E-01	0.00E+00	0.00E+00	1.24E+00	4.07E-01	6.37E-01
BRCA_TCGA-A2-A0CV	0.00E+00	1.00E+00	0.00E+00	6.86E-01	6.84E-01	6.29E-01	8.62E-01	4.00E-01	1.11E+00	3.79E-01	0.00E+00
BRCA_TCGA-A2-A0CW	9.57E-01	1.28E+00	0.00E+00	0.00E+00	1.43E+00	0.00E+00	7.67E-01	8.09E-01	1.22E+00	1.64E+00	1.00E-01
BRCA_TCGA-A2-A0D3	5.47E-01	1.07E+00	3.00E-01	6.00E-01	1.00E-01	9.64E-01	1.33E-01	3.35E-01	1.34E+00	4.42E-01	0.00E+00
BRCA_TCGA-A2-A0EN	0.00E+00	9.98E-01	0.00E+00	4.00E-01	4.16E-01	2.08E+00	8.54E-01	4.73E-01	1.48E+00	1.33E-01	0.00E+00
BRCA_TCGA-A2-A0EP	0.00E+00	1.63E-01	0.00E+00	1.33E-01	0.00E+00	9.21E-01	7.02E-01	4.77E-01	0.00E+00	6.00E-01	3.07E-01
BRCA_TCGA-A2-A0ES	0.00E+00	4.67E-01	4.00E-01	4.33E-01	2.24E-01	1.23E+00	4.47E-01	0.00E+00	1.26E+00	2.13E-01	0.00E+00
BRCA_TCGA-A2-A0EW	4.58E-01	1.19E+00	1.31E+00	4.00E-01	6.00E-01	9.64E-01	5.39E-01	1.00E-01	1.22E+00	2.49E-01	0.00E+00
BRCA_TCGA-A2-A0ST	0.00E+00	7.37E-01	1.53E+00	5.37E-01	5.86E-01	8.36E-01	6.87E-01	0.00E+00	1.34E+00	6.33E-01	0.00E+00
BRCA_TCGA-A2-A0SU	0.00E+00	1.33E-01	0.00E+00	1.29E+00	0.00E+00	9.17E-01	2.49E-01	3.94E-01	1.46E+00	5.47E-01	0.00E+00
BRCA_TCGA-A2-A0SX	1.10E+00	1.06E+00	5.17E-01	1.01E+00	0.00E+00	1.01E+00	8.17E-01	1.40E+00	1.22E+00	1.02E+00	8.33E-01
BRCA_TCGA-A2-A0SY	4.00E-01	1.19E+00	1.54E+00	4.00E-01	1.73E+00	3.39E+00	7.95E-01	0.00E+00	8.46E-01	2.75E+00	4.23E-01
BRCA_TCGA-A2-A0T0	1.04E+00	1.60E+00	2.45E+00	1.77E+00	8.95E-01	2.54E+00	1.51E+00	2.17E+00	2.70E+00	1.58E+00	1.10E+00
BRCA_TCGA-A2-A0T1	0.00E+00	8.97E-01	0.00E+00	6.19E-01	8.06E-01	1.22E+00	1.38E+00	0.00E+00	1.52E+00	0.00E+00	4.77E-01
