Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
BRCA_TCGA-AR-A0TQ	1	5	9	4	2	0	0	13	0	15
BRCA_TCGA-AR-A0TR	0	7	15	8	0	0	6	4	0	2
BRCA_TCGA-AR-A0TS	0	11	0	5	3	8	0	47	0	16
BRCA_TCGA-AR-A0TT	0	7	17	0	9	0	7	19	1	15
BRCA_TCGA-AR-A0TU	5	6	0	0	7	8	3	48	0	13
BRCA_TCGA-AR-A0TV	0	15	14	6	0	0	6	31	0	7
BRCA_TCGA-AR-A0TW	7	16	3	8	0	2	2	24	0	5
BRCA_TCGA-AR-A0TX	4	5	30	0	1	0	1	0	9	357
BRCA_TCGA-AR-A0TZ	9	8	10	2	3	0	0	6	2	27
BRCA_TCGA-AR-A0U0	5	3	8	4	3	0	0	17	0	10
BRCA_TCGA-AR-A0U1	3	3	0	2	2	4	16	64	0	15
BRCA_TCGA-AR-A0U2	0	9	6	2	14	3	0	22	0	0
BRCA_TCGA-AR-A0U3	4	3	10	0	9	2	0	12	0	0
BRCA_TCGA-AR-A0U4	13	7	0	15	2	1	5	94	0	64
BRCA_TCGA-AR-A1AH	10	4	0	1	12	10	15	58	0	10
BRCA_TCGA-AR-A1AI	2	5	28	3	7	2	4	20	0	18
BRCA_TCGA-AR-A1AJ	0	11	7	2	0	0	4	0	0	29
BRCA_TCGA-AR-A1AK	3	9	11	0	2	0	2	18	0	37
BRCA_TCGA-AR-A1AL	0	4	2	3	1	0	5	7	0	8
BRCA_TCGA-AR-A1AN	0	13	1	0	1	0	2	9	0	5
BRCA_TCGA-AR-A1AO	2	6	14	0	5	3	3	53	6	30
BRCA_TCGA-AR-A1AP	2	13	10	0	5	0	2	7	1	11
BRCA_TCGA-AR-A1AQ	0	8	3	13	1	0	0	12	0	4
BRCA_TCGA-AR-A1AR	2	7	0	0	6	2	1	34	1	10
BRCA_TCGA-AR-A1AS	3	0	9	0	9	0	0	5	0	15
BRCA_TCGA-AR-A1AT	0	6	3	6	1	0	1	12	0	3
BRCA_TCGA-AR-A1AU	0	7	0	0	2	0	3	11	0	3
BRCA_TCGA-AR-A1AV	3	10	6	0	8	0	1	16	0	5
BRCA_TCGA-AR-A1AW	2	6	1	8	3	0	5	13	0	3
BRCA_TCGA-AR-A1AX	1	1	14	0	3	0	0	10	1	2
BRCA_TCGA-AR-A1AY	1	13	11	10	0	0	1	22	0	14
BRCA_TCGA-AR-A24H	11	11	0	13	1	2	4	79	0	31
BRCA_TCGA-AR-A24K	0	3	8	3	0	4	4	12	0	0
BRCA_TCGA-AR-A24L	0	0	1	1	4	0	4	36	0	7
BRCA_TCGA-AR-A24M	0	4	0	3	2	3	2	10	0	1
BRCA_TCGA-AR-A24N	0	11	6	6	2	1	3	11	0	7
BRCA_TCGA-AR-A24O	1	5	4	3	0	0	2	6	0	1
BRCA_TCGA-AR-A24P	1	2	7	0	3	1	0	4	1	0
BRCA_TCGA-AR-A24Q	8	0	14	26	10	5	5	117	0	47
BRCA_TCGA-AR-A24R	0	8	2	7	1	1	1	5	0	1
BRCA_TCGA-AR-A24S	0	12	7	0	1	5	11	10	0	11
BRCA_TCGA-AR-A24T	0	8	3	0	0	0	0	10	0	3
BRCA_TCGA-AR-A24U	0	5	7	0	4	1	0	7	0	20
BRCA_TCGA-AR-A24V	1	8	4	0	2	0	2	5	1	5
BRCA_TCGA-AR-A24W	0	0	6	2	1	0	0	5	0	0
BRCA_TCGA-AR-A24X	1	5	6	0	3	0	2	14	3	0
BRCA_TCGA-AR-A24Z	0	9	5	6	0	0	0	29	0	7
BRCA_TCGA-AR-A250	6	23	21	2	5	5	1	26	0	66
BRCA_TCGA-AR-A251	1	5	0	3	6	14	11	125	0	40
BRCA_TCGA-AR-A252	0	8	2	5	0	0	3	1	0	0
BRCA_TCGA-AR-A254	2	9	11	0	1	0	0	14	0	5
BRCA_TCGA-AR-A255	11	8	5	8	0	0	3	22	0	32
BRCA_TCGA-AR-A256	6	0	23	10	9	4	6	130	1	35
BRCA_TCGA-AR-A2LE	18	0	71	0	4	0	0	0	5	296
BRCA_TCGA-AR-A2LH	1	0	18	0	5	3	0	0	1	43
BRCA_TCGA-AR-A2LK	0	12	7	1	2	6	3	12	0	5
BRCA_TCGA-AR-A2LL	2	11	9	0	0	2	1	12	0	0
BRCA_TCGA-AR-A2LM	1	0	5	0	0	0	1	9	1	0
BRCA_TCGA-AR-A2LN	0	0	25	0	3	1	4	0	0	21
BRCA_TCGA-AR-A2LO	0	3	0	0	0	0	0	7	3	4
BRCA_TCGA-AR-A2LQ	0	3	1	0	0	0	2	7	0	0
BRCA_TCGA-AR-A2LR	3	5	12	0	9	1	0	38	0	2
BRCA_TCGA-AR-A5QM	0	7	5	1	1	4	0	18	0	0
BRCA_TCGA-AR-A5QN	0	8	18	0	8	0	5	6	0	4
BRCA_TCGA-AR-A5QP	1	6	11	0	0	1	6	6	0	3
BRCA_TCGA-AR-A5QQ	1	8	5	13	0	0	14	41	1	13
BRCA_TCGA-B6-A0I1	0	16	15	0	0	0	3	39	0	7
BRCA_TCGA-B6-A0IH	1	4	12	0	13	0	1	9	0	1
BRCA_TCGA-B6-A0RH	0	6	11	0	0	1	3	7	0	17
BRCA_TCGA-B6-A0RL	1	14	14	10	2	0	1	10	0	17
BRCA_TCGA-B6-A0RM	0	8	6	2	2	0	4	8	0	6
BRCA_TCGA-B6-A0RN	0	11	2	7	0	1	3	6	1	2
BRCA_TCGA-B6-A0RO	1	0	19	8	1	0	0	8	3	3
BRCA_TCGA-B6-A0RP	0	2	7	0	4	0	1	16	0	0
BRCA_TCGA-B6-A0RQ	1	3	13	0	3	0	4	13	2	17
BRCA_TCGA-B6-A0RT	2	5	0	0	2	4	4	34	0	21
BRCA_TCGA-B6-A0RU	3	5	9	2	5	1	4	17	5	7
BRCA_TCGA-B6-A0RV	3	8	0	0	0	1	2	0	0	53
BRCA_TCGA-B6-A0WS	2	1	0	4	0	0	6	1	0	4
BRCA_TCGA-B6-A0WT	3	5	5	1	0	0	4	0	3	1
BRCA_TCGA-B6-A0WV	0	3	6	5	1	0	3	14	0	5
BRCA_TCGA-B6-A0WW	3	7	6	0	0	0	6	14	0	11
BRCA_TCGA-B6-A0WX	3	10	5	3	0	0	7	16	0	1
BRCA_TCGA-B6-A0WY	1	3	3	2	7	2	3	6	2	6
BRCA_TCGA-B6-A0WZ	1	0	17	0	4	0	0	0	1	72
BRCA_TCGA-B6-A0X0	2	3	5	0	0	0	1	12	0	2
BRCA_TCGA-B6-A0X1	2	0	23	8	1	0	10	29	0	19
BRCA_TCGA-B6-A0X4	5	2	12	0	0	0	0	2	1	0
BRCA_TCGA-B6-A0X5	12	0	11	0	3	0	6	7	3	6
BRCA_TCGA-B6-A0X7	0	5	7	2	0	0	0	4	0	5
BRCA_TCGA-B6-A1KN	5	7	5	7	3	6	3	30	0	6
BRCA_TCGA-B6-A2IU	1	2	22	0	9	0	2	0	4	14
