Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
BRCA_TCGA-A2-A04U	1.33E-01	9.29E-01	1.00E+00	5.97E-01	0.00E+00	3.79E-01	7.75E-01	1.51E+00	1.16E+00	1.24E+00
BRCA_TCGA-A2-A04W	1.19E+00	1.05E+00	2.89E+00	1.78E+00	1.37E+00	0.00E+00	1.28E+00	1.25E+00	3.32E+00	2.66E+00
BRCA_TCGA-A2-A0CK	0.00E+00	1.29E+00	9.67E-01	0.00E+00	6.16E-01	7.90E-01	4.07E-01	8.83E-01	3.00E-01	7.33E-01
BRCA_TCGA-A2-A0CL	0.00E+00	1.46E+00	1.73E+00	7.77E-01	8.36E-01	6.32E-01	8.46E-01	1.44E+00	1.32E+00	1.22E+00
BRCA_TCGA-A2-A0CR	7.12E-01	1.05E+00	1.52E+00	0.00E+00	3.06E-01	0.00E+00	1.33E+00	1.42E+00	1.46E+00	1.83E+00
BRCA_TCGA-A2-A0CS	0.00E+00	1.31E+00	1.09E+00	8.06E-01	8.92E-01	0.00E+00	0.00E+00	1.70E+00	8.23E-01	3.67E-01
BRCA_TCGA-A2-A0CV	0.00E+00	1.04E+00	7.92E-01	0.00E+00	7.30E-01	3.00E-01	9.20E-01	1.10E+00	2.67E-01	3.89E-01
BRCA_TCGA-A2-A0CW	1.15E+00	1.14E+00	3.06E-01	0.00E+00	0.00E+00	8.75E-01	7.42E-01	1.17E+00	2.67E-01	1.49E+00
BRCA_TCGA-A2-A0D3	5.39E-01	8.41E-01	1.19E+00	4.00E-01	4.00E-01	5.00E-01	1.00E-01	1.57E+00	1.00E-01	4.48E-01
BRCA_TCGA-A2-A0EN	0.00E+00	1.15E+00	1.88E+00	0.00E+00	3.89E-01	8.54E-01	9.78E-01	8.57E-01	1.00E-01	1.63E-01
BRCA_TCGA-A2-A0EP	0.00E+00	2.24E-01	8.82E-01	1.00E-01	1.00E-01	7.46E-01	7.95E-01	3.00E-01	3.59E-01	5.17E-01
BRCA_TCGA-A2-A0ES	0.00E+00	5.97E-01	1.50E+00	4.01E-01	4.82E-01	0.00E+00	4.07E-01	1.08E+00	1.00E-01	3.00E-01
BRCA_TCGA-A2-A0EW	5.81E-01	1.13E+00	7.42E-01	1.31E+00	4.01E-01	5.00E-01	5.82E-01	1.44E+00	1.00E-01	2.58E-01
BRCA_TCGA-A2-A0ST	2.00E-01	6.86E-01	6.32E-01	1.40E+00	5.37E-01	0.00E+00	7.46E-01	1.40E+00	1.00E-01	6.29E-01
BRCA_TCGA-A2-A0SU	0.00E+00	2.13E-01	1.34E+00	0.00E+00	1.22E+00	4.67E-01	2.60E-01	1.79E+00	0.00E+00	5.67E-01
BRCA_TCGA-A2-A0SX	1.06E+00	1.20E+00	1.33E+00	5.12E-01	1.07E+00	0.00E+00	8.41E-01	1.77E+00	8.98E-01	9.43E-01
BRCA_TCGA-A2-A0SY	5.58E-01	1.64E+00	3.47E+00	1.18E+00	3.06E-01	4.00E-01	7.42E-01	1.16E+00	3.10E+00	2.88E+00
BRCA_TCGA-A2-A0T0	1.18E+00	1.31E+00	3.56E+00	2.44E+00	1.47E+00	2.11E+00	1.57E+00	4.41E+00	1.02E+00	1.63E+00
BRCA_TCGA-A2-A0T1	6.83E-01	1.21E+00	1.13E+00	0.00E+00	6.50E-01	0.00E+00	1.44E+00	1.34E+00	5.12E-01	0.00E+00
BRCA_TCGA-A2-A0T3	9.24E-01	1.39E+00	6.74E-01	1.04E+00	5.12E-01	8.75E-01	3.14E-01	1.11E+00	1.00E-01	7.12E-01
BRCA_TCGA-A2-A0T4	0.00E+00	9.48E-01	8.17E-01	1.01E+00	8.98E-01	0.00E+00	6.86E-01	1.78E+00	0.00E+00	1.08E+00
BRCA_TCGA-A2-A0T5	0.00E+00	8.03E-01	3.06E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.16E-01	4.16E-01	3.35E-01
BRCA_TCGA-A2-A0T6	0.00E+00	1.67E+00	1.46E+00	0.00E+00	3.67E-01	3.07E-01	1.00E-01	1.03E+00	4.00E-01	5.33E-01
BRCA_TCGA-A2-A0T7	0.00E+00	7.75E-01	7.00E-01	0.00E+00	0.00E+00	3.79E-01	4.82E-01	9.87E-01	5.39E-01	6.18E-01
BRCA_TCGA-A2-A0YC	0.00E+00	9.07E-01	1.02E+00	8.54E-01	8.46E-01	5.93E-01	7.78E-01	9.57E-01	0.00E+00	7.42E-01
BRCA_TCGA-A2-A0YD	1.48E+00	1.86E+00	2.41E+00	0.00E+00	8.17E-01	7.92E-01	0.00E+00	6.29E-01	2.71E+00	2.45E+00
BRCA_TCGA-A2-A0YE	9.07E-01	9.55E-01	1.00E+00	4.52E-01	9.32E-01	0.00E+00	2.00E-01	1.18E+00	2.00E-01	1.24E+00
BRCA_TCGA-A2-A0YF	1.23E+00	1.39E+00	1.26E+00	0.00E+00	6.00E-01	9.24E-01	6.63E-01	1.02E+00	4.16E-01	8.09E-01
BRCA_TCGA-A2-A0YG	4.77E-01	2.17E+00	4.04E+00	1.31E+00	9.92E-01	1.13E+00	1.05E+00	2.21E+00	3.96E-01	1.54E+00
BRCA_TCGA-A2-A0YH	6.74E-01	1.68E+00	1.86E+00	1.00E-01	9.07E-01	4.00E-01	1.00E-01	2.74E+00	4.00E-01	2.08E+00
BRCA_TCGA-A2-A0YI	2.13E-01	3.59E-01	1.00E+00	0.00E+00	2.24E-01	4.67E-01	3.35E-01	8.75E-01	0.00E+00	4.73E-01
BRCA_TCGA-A2-A0YJ	6.63E-01	2.07E+00	2.11E+00	2.35E+00	7.48E-01	1.28E+00	9.33E-01	2.61E+00	9.57E-01	7.61E-01
BRCA_TCGA-A2-A0YK	1.33E+00	1.60E+00	3.00E+00	0.00E+00	1.33E-01	6.71E-01	8.84E-01	6.40E-01	3.76E+00	2.54E+00
BRCA_TCGA-A2-A0YL	0.00E+00	1.07E+00	1.99E+00	5.54E-01	2.21E-01	4.00E-01	7.92E-01	5.96E-01	1.33E-01	9.40E-01
BRCA_TCGA-A2-A0YM	0.00E+00	2.43E+00	1.77E+00	7.18E-01	9.71E-01	0.00E+00	8.69E-01	1.64E+00	6.74E-01	1.53E+00
BRCA_TCGA-A2-A0YT	1.41E+00	1.87E+00	1.85E+00	6.19E-01	1.32E+00	0.00E+00	9.89E-01	2.11E+00	2.23E+00	2.47E+00
