Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
ATP2B4_boot.200	2.07E-04	4.36E-03	2.14E-04	9.82E-03	1.08E-03	7.36E-04	0.00E+00	1.38E-02
ATP2B4_boot.201	7.04E-04	2.75E-03	1.49E-04	1.01E-02	1.10E-03	4.29E-04	6.20E-04	1.04E-02
ATP2B4_boot.202	5.91E-04	5.33E-03	2.30E-04	1.12E-02	2.20E-04	1.15E-03	7.15E-04	4.69E-03
ATP2B4_boot.203	1.32E-03	6.69E-03	4.49E-04	3.30E-03	5.14E-04	2.95E-04	1.73E-03	6.82E-03
ATP2B4_boot.204	0.00E+00	5.05E-03	2.85E-04	3.34E-03	7.74E-04	6.12E-04	9.19E-04	2.77E-03
ATP2B4_boot.205	6.38E-04	4.48E-03	2.67E-04	9.05E-03	0.00E+00	9.57E-04	8.76E-04	1.32E-02
ATP2B4_boot.206	2.77E-04	1.36E-03	0.00E+00	1.32E-02	1.10E-03	6.11E-04	8.67E-23	1.30E-02
ATP2B4_boot.207	7.68E-04	3.09E-03	0.00E+00	9.85E-03	1.54E-03	4.73E-04	1.58E-03	1.32E-02
ATP2B4_boot.208	3.96E-04	1.89E-03	2.52E-04	5.85E-23	1.93E-04	5.97E-04	1.74E-03	4.37E-03
ATP2B4_boot.209	0.00E+00	8.82E-03	2.43E-04	4.15E-03	1.46E-03	1.14E-03	3.43E-03	4.62E-03
ATP2B4_boot.210	2.88E-04	8.58E-54	0.00E+00	1.53E-02	8.52E-04	6.76E-04	0.00E+00	1.52E-02
ATP2B4_boot.211	0.00E+00	4.60E-04	9.63E-05	9.09E-03	0.00E+00	7.40E-04	1.73E-03	1.07E-02
ATP2B4_boot.212	0.00E+00	8.76E-03	1.60E-04	8.67E-03	0.00E+00	6.58E-04	1.32E-03	2.58E-03
ATP2B4_boot.213	0.00E+00	1.21E-03	5.56E-04	5.34E-03	0.00E+00	0.00E+00	1.15E-03	2.32E-03
ATP2B4_boot.214	5.04E-04	9.75E-04	7.18E-05	1.47E-02	1.31E-03	5.56E-04	1.19E-03	1.38E-02
ATP2B4_boot.215	0.00E+00	8.71E-03	3.32E-04	2.25E-03	0.00E+00	7.67E-51	1.19E-03	9.31E-03
ATP2B4_boot.216	0.00E+00	2.02E-03	0.00E+00	9.76E-03	6.80E-04	7.47E-04	0.00E+00	1.20E-02
ATP2B4_boot.217	0.00E+00	0.00E+00	2.84E-04	1.48E-02	1.20E-03	7.54E-04	5.72E-03	2.07E-02
ATP2B4_boot.218	0.00E+00	5.34E-03	8.79E-04	7.65E-03	8.72E-04	1.23E-03	0.00E+00	1.32E-03
ATP2B4_boot.219	3.54E-11	8.85E-03	3.53E-04	2.65E-03	1.57E-03	7.57E-04	1.64E-03	9.04E-03
ATP2B4_boot.220	9.49E-04	1.49E-03	0.00E+00	1.65E-02	3.67E-11	1.18E-03	1.72E-03	1.44E-02
ATP2B4_boot.221	5.26E-04	6.74E-03	0.00E+00	1.03E-02	0.00E+00	9.81E-04	1.71E-03	1.75E-02
ATP2B4_boot.222	3.55E-121	2.30E-03	1.11E-04	5.46E-03	6.53E-04	3.56E-04	4.61E-04	7.21E-03
ATP2B4_boot.223	3.87E-04	2.04E-03	3.43E-86	3.28E-03	0.00E+00	8.61E-04	5.32E-04	3.35E-03
ATP2B4_boot.224	6.53E-04	6.61E-03	1.69E-04	2.13E-03	7.19E-04	3.93E-04	1.40E-03	6.86E-03
ATP2B4_boot.225	4.33E-04	1.87E-03	4.03E-04	2.81E-03	5.54E-04	5.73E-04	7.45E-04	1.78E-03
ATP2B4_boot.226	9.76E-04	4.47E-04	0.00E+00	1.41E-02	4.17E-50	9.53E-04	6.63E-04	1.21E-02
ATP2B4_boot.227	2.86E-16	3.95E-03	4.74E-04	3.61E-03	5.51E-04	1.25E-04	1.44E-03	8.95E-03
ATP2B4_boot.228	4.60E-04	1.50E-37	0.00E+00	1.38E-02	1.12E-03	6.02E-04	1.53E-03	1.35E-02
ATP2B4_boot.229	7.30E-04	3.01E-12	2.06E-04	1.40E-02	8.91E-04	7.04E-04	8.53E-04	1.25E-02
ATP2B4_boot.230	7.18E-04	1.11E-03	0.00E+00	1.43E-02	1.72E-03	8.21E-04	0.00E+00	1.22E-02
ATP2B4_boot.231	3.30E-04	5.45E-04	3.09E-04	7.09E-03	6.28E-04	3.02E-04	1.32E-03	7.73E-03
ATP2B4_boot.232	4.74E-04	4.55E-03	0.00E+00	2.98E-03	1.16E-04	3.88E-04	1.29E-03	8.91E-03
ATP2B4_boot.233	7.81E-04	8.80E-03	4.78E-04	8.60E-03	0.00E+00	4.63E-04	6.11E-04	0.00E+00
ATP2B4_boot.234	5.16E-04	3.43E-03	3.16E-04	1.84E-03	4.02E-04	4.22E-04	9.24E-04	4.98E-03
ATP2B4_boot.235	6.19E-04	3.49E-03	1.68E-04	9.39E-03	9.11E-96	8.47E-04	8.46E-04	4.94E-03
ATP2B4_boot.236	0.00E+00	1.22E-02	3.72E-04	9.58E-03	0.00E+00	7.70E-04	1.74E-03	1.37E-108
ATP2B4_boot.237	0.00E+00	8.78E-03	0.00E+00	5.94E-03	0.00E+00	6.00E-04	2.22E-03	1.59E-02
ATP2B4_boot.238	4.13E-04	1.63E-29	0.00E+00	1.88E-02	0.00E+00	1.06E-03	0.00E+00	1.89E-02
ATP2B4_boot.239	1.15E-08	0.00E+00	0.00E+00	1.60E-02	9.71E-04	5.57E-04	1.20E-03	1.62E-02
ATP2B4_boot.240	0.00E+00	3.97E-03	1.15E-03	3.56E-03	1.11E-03	4.24E-04	1.54E-03	8.45E-03
ATP2B4_boot.241	1.38E-03	3.37E-04	2.64E-04	1.48E-02	0.00E+00	1.27E-03	3.26E-04	1.21E-02
ATP2B4_boot.242	6.28E-04	4.93E-03	9.18E-05	2.07E-03	6.47E-04	3.00E-04	5.72E-04	4.35E-03
ATP2B4_boot.243	0.00E+00	3.79E-03	1.47E-132	8.84E-03	1.76E-03	3.27E-04	1.59E-03	1.23E-02
ATP2B4_boot.244	1.39E-03	1.85E-03	0.00E+00	1.53E-02	0.00E+00	1.63E-03	0.00E+00	1.05E-02
ATP2B4_boot.245	0.00E+00	5.13E-04	0.00E+00	1.09E-02	8.17E-04	6.55E-04	4.36E-04	9.64E-03
ATP2B4_boot.246	9.06E-04	3.55E-03	4.25E-04	4.33E-03	6.80E-111	5.97E-04	4.77E-04	4.57E-04
ATP2B4_boot.247	7.53E-04	8.49E-04	2.68E-11	1.24E-02	9.64E-04	8.05E-04	7.22E-04	9.47E-03
ATP2B4_boot.248	9.75E-04	5.76E-03	5.62E-04	2.65E-03	1.06E-03	4.20E-04	2.54E-03	1.08E-02
ATP2B4_boot.249	5.52E-04	4.35E-20	2.43E-15	1.39E-02	1.14E-03	5.27E-04	1.00E-03	1.29E-02
ATP2B4_boot.250	0.00E+00	5.17E-03	7.45E-04	7.34E-03	9.40E-04	1.43E-03	1.32E-03	5.82E-04
ATP2B4_boot.251	2.36E-14	0.00E+00	0.00E+00	1.44E-02	1.74E-03	4.99E-04	3.84E-03	1.77E-02
ATP2B4_boot.252	9.28E-05	9.05E-03	3.00E-04	8.04E-03	6.68E-04	6.05E-04	7.73E-04	3.79E-30
ATP2B4_boot.253	0.00E+00	2.93E-03	4.99E-04	9.83E-87	1.39E-03	2.11E-03	4.78E-03	9.34E-03
ATP2B4_boot.254	0.00E+00	2.10E-71	5.55E-04	1.73E-02	1.86E-03	7.59E-04	2.86E-03	1.82E-02
ATP2B4_boot.255	7.36E-04	4.84E-04	9.26E-05	1.33E-02	0.00E+00	1.04E-03	5.54E-04	1.19E-02
ATP2B4_boot.256	0.00E+00	4.22E-03	1.63E-04	5.60E-03	0.00E+00	4.89E-04	1.01E-03	7.14E-04
ATP2B4_boot.257	1.08E-03	4.65E-03	1.53E-04	6.73E-03	0.00E+00	4.21E-04	6.20E-04	6.37E-04
ATP2B4_boot.258	8.78E-04	7.61E-03	8.11E-04	6.24E-03	0.00E+00	6.07E-04	4.64E-04	2.27E-03
ATP2B4_boot.259	2.59E-04	5.19E-03	0.00E+00	1.04E-02	1.28E-03	7.10E-04	1.03E-04	1.49E-02
ATP2B4_boot.260	7.34E-04	1.65E-03	6.73E-05	1.99E-03	1.26E-04	4.96E-04	6.21E-04	7.43E-04
ATP2B4_boot.261	5.89E-04	5.10E-03	5.66E-04	2.56E-03	0.00E+00	3.21E-04	1.36E-03	8.27E-03
ATP2B4_boot.262	5.68E-04	2.79E-03	1.30E-04	3.59E-61	8.18E-04	1.49E-03	3.19E-03	7.15E-03
ATP2B4_boot.263	0.00E+00	1.31E-03	5.18E-04	5.02E-04	6.82E-04	6.15E-04	1.97E-03	4.50E-03
ATP2B4_boot.264	5.41E-04	9.15E-32	0.00E+00	1.47E-02	1.18E-03	5.58E-04	1.97E-03	1.49E-02
ATP2B4_boot.265	7.54E-04	1.26E-03	7.23E-04	1.58E-02	1.08E-03	5.80E-04	1.51E-03	1.43E-02
ATP2B4_boot.266	4.04E-04	2.48E-03	3.33E-04	4.28E-03	2.92E-83	4.09E-04	7.47E-04	6.60E-03
ATP2B4_boot.267	0.00E+00	4.00E-03	0.00E+00	1.36E-02	6.15E-04	1.13E-03	3.21E-21	7.57E-03
ATP2B4_boot.268	5.94E-04	4.52E-03	3.22E-04	4.91E-03	4.10E-04	8.82E-04	9.54E-04	9.17E-04
ATP2B4_boot.269	0.00E+00	2.28E-03	5.40E-04	8.12E-03	7.24E-52	6.68E-04	1.25E-03	9.62E-03
ATP2B4_boot.270	8.09E-04	4.64E-03	5.06E-04	1.16E-03	0.00E+00	3.60E-04	1.49E-03	6.57E-03
ATP2B4_boot.271	0.00E+00	9.21E-03	5.10E-04	7.56E-03	6.99E-04	6.25E-04	1.12E-03	2.97E-03
ATP2B4_boot.272	9.40E-04	3.01E-03	0.00E+00	1.67E-02	7.97E-04	1.18E-03	8.44E-135	1.12E-02
ATP2B4_boot.273	0.00E+00	7.61E-04	1.67E-04	2.66E-03	4.17E-04	5.68E-04	1.52E-03	3.50E-03
ATP2B4_boot.274	0.00E+00	2.28E-06	4.82E-04	1.76E-02	8.99E-04	8.02E-04	1.69E-03	1.74E-02
ATP2B4_boot.275	0.00E+00	3.57E-03	5.18E-04	4.33E-03	6.90E-04	6.20E-04	5.81E-04	1.38E-03
ATP2B4_boot.276	0.00E+00	9.03E-03	3.27E-04	4.12E-03	6.66E-05	5.08E-04	1.38E-03	6.64E-03
ATP2B4_boot.277	1.04E-03	1.06E-02	8.81E-04	1.08E-02	3.22E-37	7.55E-04	1.04E-03	1.10E-03
ATP2B4_boot.278	4.04E-04	4.02E-04	1.99E-04	5.27E-03	0.00E+00	5.27E-04	4.61E-04	4.38E-03
ATP2B4_boot.279	3.23E-04	3.13E-03	6.31E-04	4.94E-03	9.71E-04	0.00E+00	2.04E-03	8.96E-03
ATP2B4_boot.280	8.85E-04	6.88E-03	0.00E+00	3.29E-03	1.43E-03	7.65E-04	2.65E-03	3.70E-03
ATP2B4_boot.281	0.00E+00	6.41E-03	3.53E-04	1.73E-03	7.78E-04	4.71E-04	3.09E-03	1.08E-02
ATP2B4_boot.282	4.40E-04	1.37E-03	6.28E-04	4.90E-21	0.00E+00	6.47E-04	2.83E-03	5.59E-03
ATP2B4_boot.283	0.00E+00	7.17E-03	0.00E+00	8.53E-03	1.16E-03	6.85E-04	1.88E-03	1.64E-02
ATP2B4_boot.284	0.00E+00	7.82E-03	3.08E-04	4.48E-03	9.01E-145	4.17E-04	1.68E-03	6.07E-03
ATP2B4_boot.285	7.04E-04	1.19E-03	1.42E-04	1.45E-02	8.43E-04	9.99E-04	6.07E-04	1.17E-02
ATP2B4_boot.286	7.08E-04	3.22E-03	0.00E+00	5.68E-03	1.18E-03	4.05E-04	1.08E-03	9.85E-03
ATP2B4_boot.287	0.00E+00	2.75E-03	7.93E-04	2.73E-03	8.82E-04	8.64E-04	3.44E-04	5.20E-04
ATP2B4_boot.288	0.00E+00	1.94E-03	0.00E+00	1.54E-02	7.48E-04	9.29E-04	0.00E+00	1.26E-02
ATP2B4_boot.289	4.12E-04	2.57E-03	3.67E-04	2.92E-03	2.26E-65	6.26E-04	7.62E-04	5.28E-03
ATP2B4_boot.290	5.92E-04	5.34E-03	0.00E+00	9.37E-03	0.00E+00	8.62E-04	1.32E-03	1.44E-02
ATP2B4_boot.291	6.35E-04	4.29E-03	1.32E-04	6.05E-03	0.00E+00	9.99E-04	1.53E-03	1.12E-03
ATP2B4_boot.292	0.00E+00	2.65E-03	0.00E+00	9.46E-03	0.00E+00	1.43E-03	7.14E-04	1.01E-02
ATP2B4_boot.293	5.41E-04	6.90E-04	4.26E-04	4.70E-03	1.58E-126	8.01E-04	5.73E-04	3.38E-03
ATP2B4_real	8.50E-04	4.62E-03	8.52E-04	3.97E-03	6.43E-47	5.81E-04	1.21E-03	7.97E-04
ATP2B4_real.1	5.07E-04	4.81E-03	3.21E-04	5.85E-03	9.90E-04	3.26E-20	1.14E-03	1.01E-02
ATP2B4_real.2	1.52E-03	3.76E-03	1.45E-04	1.07E-02	5.18E-04	3.89E-110	1.78E-03	3.06E-03
ATP2B4_real.3	1.83E-03	1.00E-02	4.07E-04	1.31E-02	3.00E-04	1.78E-03	4.19E-03	4.59E-03
ATP2B4_real.4	5.54E-04	3.33E-03	1.97E-04	1.46E-03	4.35E-04	3.71E-04	7.19E-04	3.71E-03
