Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
MLH1_real	0.00E+00	3.91E-02	1.32E-01	0.00E+00	1.49E-01	1.59E-01	1.21E-01	1.29E-01	1.66E-01
MLH1_real.1	0.00E+00	4.26E-02	1.24E-01	0.00E+00	1.39E-01	1.27E-01	1.25E-01	1.23E-01	1.22E-01
MLH1_real.2	9.40E-02	1.33E-01	9.75E-02	0.00E+00	1.11E-01	2.20E-01	7.38E-02	1.66E-01	1.28E-01
MSH2_boot	9.76E-02	7.81E-02	9.85E-02	0.00E+00	1.12E-01	1.30E-01	1.18E-01	1.45E-01	1.37E-01
MSH2_boot.1	1.00E-01	7.77E-02	1.04E-01	0.00E+00	1.17E-01	1.46E-01	1.15E-01	1.48E-01	1.42E-01
MSH2_boot.2	0.00E+00	4.87E-02	1.41E-01	0.00E+00	1.40E-01	1.31E-01	1.16E-01	1.21E-01	1.29E-01
MSH2_boot.3	0.00E+00	4.75E-02	1.42E-01	0.00E+00	1.39E-01	1.29E-01	1.19E-01	1.22E-01	1.27E-01
MSH2_boot.4	0.00E+00	4.55E-02	1.43E-01	0.00E+00	1.40E-01	1.29E-01	1.21E-01	1.22E-01	1.27E-01
MSH2_boot.5	0.00E+00	4.50E-02	1.43E-01	0.00E+00	1.40E-01	1.29E-01	1.14E-01	1.23E-01	1.47E-01
MSH2_boot.6	0.00E+00	4.75E-02	1.38E-01	0.00E+00	1.36E-01	1.30E-01	1.17E-01	1.18E-01	1.27E-01
MSH2_boot.7	0.00E+00	4.57E-02	1.41E-01	0.00E+00	1.38E-01	1.29E-01	1.20E-01	1.21E-01	1.26E-01
MSH2_boot.8	9.91E-02	7.75E-02	1.02E-01	0.00E+00	1.15E-01	1.14E-01	1.26E-01	1.48E-01	1.41E-01
MSH2_boot.9	9.80E-02	7.81E-02	9.99E-02	0.00E+00	1.13E-01	1.19E-01	1.25E-01	1.48E-01	1.39E-01
MSH2_boot.10	0.00E+00	4.67E-02	1.43E-01	0.00E+00	1.40E-01	1.29E-01	1.20E-01	1.22E-01	1.28E-01
MSH2_boot.11	9.81E-02	7.70E-02	1.02E-01	0.00E+00	1.16E-01	1.64E-01	1.09E-01	1.49E-01	1.41E-01
MSH2_boot.12	9.82E-02	7.74E-02	1.02E-01	0.00E+00	1.16E-01	1.65E-01	1.09E-01	1.52E-01	1.43E-01
MSH2_boot.13	1.01E-01	7.81E-02	1.03E-01	0.00E+00	1.15E-01	1.18E-01	1.26E-01	1.47E-01	1.40E-01
MSH2_boot.14	9.90E-02	7.84E-02	9.97E-02	0.00E+00	1.12E-01	1.25E-01	1.18E-01	1.43E-01	1.32E-01
MSH2_boot.15	0.00E+00	4.81E-02	1.42E-01	0.00E+00	1.40E-01	1.30E-01	1.17E-01	1.22E-01	1.29E-01
MSH2_boot.16	0.00E+00	4.62E-02	1.40E-01	0.00E+00	1.38E-01	1.29E-01	1.19E-01	1.21E-01	1.26E-01
MSH2_boot.17	0.00E+00	4.51E-02	1.44E-01	0.00E+00	1.41E-01	1.29E-01	1.14E-01	1.24E-01	1.47E-01
MSH2_boot.18	0.00E+00	4.35E-02	1.31E-01	0.00E+00	1.50E-01	1.30E-01	1.16E-01	1.30E-01	1.51E-01
MSH2_boot.19	0.00E+00	4.46E-02	1.43E-01	0.00E+00	1.40E-01	1.29E-01	1.15E-01	1.22E-01	1.47E-01
