Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
BRCA_TCGA-AR-A24O	1	4	3	2	11	1
BRCA_TCGA-AR-A24P	4	6	1	1	6	1
BRCA_TCGA-AR-A24Q	10	0	36	17	108	61
BRCA_TCGA-AR-A24R	0	9	5	3	8	1
BRCA_TCGA-AR-A24S	1	14	3	8	16	15
BRCA_TCGA-AR-A24T	1	9	0	0	10	4
BRCA_TCGA-AR-A24U	1	10	1	0	7	25
BRCA_TCGA-AR-A24V	3	11	0	3	4	7
BRCA_TCGA-AR-A24W	1	1	5	0	5	2
BRCA_TCGA-AR-A24X	4	8	0	4	17	1
BRCA_TCGA-AR-A24Z	0	12	3	1	30	10
BRCA_TCGA-AR-A250	11	32	9	0	26	77
BRCA_TCGA-AR-A251	0	0	15	11	130	49
BRCA_TCGA-AR-A252	0	8	1	5	5	0
BRCA_TCGA-AR-A254	5	13	0	0	15	9
BRCA_TCGA-AR-A255	13	7	4	8	19	38
BRCA_TCGA-AR-A256	10	1	17	11	137	48
BRCA_TCGA-AR-A2LE	30	7	6	4	0	347
BRCA_TCGA-AR-A2LH	5	7	4	1	0	54
BRCA_TCGA-AR-A2LK	0	16	10	0	15	7
BRCA_TCGA-AR-A2LL	4	12	1	0	19	1
BRCA_TCGA-AR-A2LM	3	1	0	2	10	1
BRCA_TCGA-AR-A2LN	4	7	3	4	7	29
BRCA_TCGA-AR-A2LO	0	3	0	0	10	4
BRCA_TCGA-AR-A2LQ	0	3	0	1	9	0
BRCA_TCGA-AR-A2LR	5	13	6	0	41	5
BRCA_TCGA-AR-A5QM	1	9	7	0	18	1
BRCA_TCGA-AR-A5QN	2	18	5	9	7	8
BRCA_TCGA-AR-A5QP	3	9	2	6	9	5
BRCA_TCGA-AR-A5QQ	0	6	5	22	47	16
BRCA_TCGA-B6-A0I1	3	19	0	0	46	12
BRCA_TCGA-B6-A0IH	3	16	4	7	7	4
BRCA_TCGA-B6-A0RH	0	7	2	2	14	20
BRCA_TCGA-B6-A0RL	1	17	9	4	17	21
BRCA_TCGA-B6-A0RM	0	12	2	6	8	8
BRCA_TCGA-B6-A0RN	1	11	5	5	8	3
BRCA_TCGA-B6-A0RO	5	2	10	5	14	7
BRCA_TCGA-B6-A0RP	0	6	3	1	19	1
BRCA_TCGA-B6-A0RQ	3	6	0	6	20	21
BRCA_TCGA-B6-A0RT	3	5	2	4	34	24
BRCA_TCGA-B6-A0RU	8	10	2	9	19	10
BRCA_TCGA-B6-A0RV	1	7	0	0	0	59
BRCA_TCGA-B6-A0WS	2	2	1	8	1	4
BRCA_TCGA-B6-A0WT	5	7	0	5	3	2
BRCA_TCGA-B6-A0WV	0	3	4	5	19	6
BRCA_TCGA-B6-A0WW	5	8	0	6	13	15
BRCA_TCGA-B6-A0WX	5	11	0	10	17	2
BRCA_TCGA-B6-A0WY	2	10	5	7	0	11
BRCA_TCGA-B6-A0WZ	2	4	4	2	0	83
BRCA_TCGA-B6-A0X0	4	3	0	0	15	3
BRCA_TCGA-B6-A0X1	7	2	10	17	29	27
BRCA_TCGA-B6-A0X4	9	4	0	0	7	2
BRCA_TCGA-B6-A0X5	19	4	0	11	5	9
BRCA_TCGA-B6-A0X7	1	6	2	2	6	6
BRCA_TCGA-B6-A1KN	6	8	14	3	34	7
BRCA_TCGA-B6-A2IU	7	14	1	10	2	20
BRCA_TCGA-B6-A401	1	9	5	0	11	2
BRCA_TCGA-B6-A409	1	13	3	1	28	10
BRCA_TCGA-B6-A40B	0	9	6	6	22	23
BRCA_TCGA-B6-A40C	1	18	1	1	26	7
BRCA_TCGA-BH-A0AU	0	6	4	0	9	4
BRCA_TCGA-BH-A0AV	3	0	12	12	40	20
BRCA_TCGA-BH-A0AY	7	9	1	0	19	10
BRCA_TCGA-BH-A0AZ	1	0	4	6	33	26
BRCA_TCGA-BH-A0B0	10	8	0	0	0	81
BRCA_TCGA-BH-A0B3	2	5	2	0	5	4
BRCA_TCGA-BH-A0B6	21	22	13	9	0	1225
BRCA_TCGA-BH-A0B7	4	10	0	0	16	12
BRCA_TCGA-BH-A0B8	2	1	8	0	16	7
BRCA_TCGA-BH-A0BA	0	6	3	5	5	10
