Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
EXO1_0_multinomial_train1.75	9.90E-02	3.73E-02	3.71E-02	8.41E-03	1.53E-26	1.20E-03
EXO1_0_multinomial_train1.76	1.00E-01	3.24E-02	3.49E-02	8.60E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.77	1.04E-01	3.42E-02	3.95E-02	1.04E-02	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.78	1.02E-01	3.37E-02	3.60E-02	9.70E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.79	1.02E-01	3.36E-02	3.74E-02	9.78E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.80	1.01E-01	3.37E-02	3.74E-02	8.09E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.81	1.00E-01	3.18E-02	3.49E-02	1.06E-02	1.33E-26	1.53E-26
EXO1_0_multinomial_train1.82	1.01E-01	3.28E-02	3.62E-02	9.64E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.83	1.01E-01	3.45E-02	3.56E-02	9.59E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.84	1.02E-01	3.26E-02	3.62E-02	9.70E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.85	9.93E-02	3.38E-02	3.57E-02	7.02E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.86	1.02E-01	3.43E-02	3.77E-02	8.93E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.87	1.01E-01	3.39E-02	3.53E-02	9.13E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.88	9.93E-02	3.16E-02	3.39E-02	1.04E-02	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.89	1.01E-01	3.21E-02	3.55E-02	9.88E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.90	1.01E-01	3.74E-02	3.91E-02	8.13E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.91	9.93E-02	3.27E-02	3.65E-02	8.42E-03	1.53E-26	1.53E-26
