	0	1	2	3	4	5	6	7	8	9
11000	[2.5367223117280315, 2.368488612194816, 1.6823369953321563, 1.0, 0.0]	[2.5356995111542155, 2.365944125614188, 1.6975538554002716, 1.0, 0.0]	[2.536613537306951, 2.3689172941689223, 1.6769624313802884, 1.0, 0.0]	[2.5363132347521287, 2.3690299241437165, 1.6728331060841193, 1.0, 0.0]	[2.5994879431844007, 2.329830530167467, 2.6965741301693344, 1.0, 0.0]	[2.536757806960589, 2.3689109162701882, 1.67846890690401, 1.0, 0.0]	[2.536527413148325, 2.3692319664597745, 1.6729544668855036, 1.0, 0.0]	[2.536651435997463, 2.3687065633256887, 1.6794487267177423, 1.0, 0.0]	[2.5375958094929625, 2.3673765056816114, 1.7021930381135122, 1.0, 0.0]	[2.53802744075606, 2.367868270676461, 1.7015917007959906, 1.0, 0.0]
12000	[2.5366494403435453, 2.3682634023442657, 1.683860379992796, 1.0, 0.0]	[2.535773207173861, 2.3661225977254996, 1.696506094483615, 1.0, 0.0]	[2.536624151042491, 2.368798612581621, 1.6782553846087018, 1.0, 0.0]	[2.53641603787509, 2.3688028786031716, 1.6761315927191835, 1.0, 0.0]	[2.599498318438897, 2.3296437233042684, 2.698545951346286, 1.0, 0.0]	[2.536762696743123, 2.368718321506158, 1.6804437523696536, 1.0, 0.0]	[2.5365274529995983, 2.3689749440740893, 1.6755250892550908, 1.0, 0.0]	[2.5365764894573832, 2.3684995223580367, 1.680769670993464, 1.0, 0.0]	[2.5375829593184775, 2.367183802563733, 1.7039915675474429, 1.0, 0.0]	[2.5379482482064484, 2.3675913268195132, 1.7035692138693517, 1.0, 0.0]
13000	[2.536586094177123, 2.3681468301651947, 1.684392640119286, 1.0, 0.0]	[2.5357515340909877, 2.3661118879837084, 1.6963964610727928, 1.0, 0.0]	[2.5366053935950243, 2.3686210972506734, 1.6798429634435093, 1.0, 0.0]	[2.536384248167646, 2.368623688522278, 1.6776055964536833, 1.0, 0.0]	[2.599385582122487, 2.3295438188456647, 2.6984176327682197, 1.0, 0.0]	[2.5367368136764488, 2.368614386113153, 1.6812242756329574, 1.0, 0.0]	[2.5365355214192187, 2.368730531427667, 1.6780498999155178, 1.0, 0.0]	[2.5365233639519182, 2.368328288180827, 1.6819507577109116, 1.0, 0.0]	[2.5375624742404694, 2.367051825935787, 1.705106483046824, 1.0, 0.0]	[2.537910709319852, 2.367368184621481, 1.705425246983707, 1.0, 0.0]
14000	[2.536539390199194, 2.368041187905745, 1.6849820229344918, 1.0, 0.0]	[2.5359294806240698, 2.3662937130355313, 1.6963576758853844, 1.0, 0.0]	[2.536593433628246, 2.368508778009, 1.6808465561924568, 1.0, 0.0]	[2.5363010852788084, 2.3684387705919527, 1.6786231468685557, 1.0, 0.0]	[2.599418286380788, 2.3294325405747074, 2.6998574580608077, 1.0, 0.0]	[2.536781542569779, 2.368601976829371, 1.6817956574040749, 1.0, 0.0]	[2.5364605581313544, 2.368581651239905, 1.6787890689144955, 1.0, 0.0]	[2.5364394561841874, 2.3682263194563578, 1.6821313672782967, 1.0, 0.0]	[2.537521538209349, 2.36693416443701, 1.7058737377233926, 1.0, 0.0]	[2.5378482564478766, 2.3672065813817724, 1.7064167506610413, 1.0, 0.0]
15000	[2.5365196100145377, 2.3679436519888104, 1.6857595802572716, 1.0, 0.0]	[2.535835709934087, 2.3663994613282755, 1.6943624860581168, 1.0, 0.0]	[2.5366744255712126, 2.3684538097087957, 1.6822061586241683, 1.0, 0.0]	[2.536318727593033, 2.368285822658768, 1.6803290493426486, 1.0, 0.0]	[2.5996856802214263, 2.3293036560220264, 2.703820241993998, 1.0, 0.0]	[2.536790338780293, 2.3685423840905377, 1.6824795468975515, 1.0, 0.0]	[2.53647724607116, 2.3684477514776923, 1.6802949459346763, 1.0, 0.0]	[2.536496088724426, 2.368114827440889, 1.68381261283537, 1.0, 0.0]	[2.5375119668850004, 2.3668744553882815, 1.7063751149671882, 1.0, 0.0]	[2.5378260026544366, 2.367074437721914, 1.707515649325225, 1.0, 0.0]
16000	[2.5365239672179603, 2.367884000648681, 1.6863996656927904, 1.0, 0.0]	[2.53582819935615, 2.3664836981257533, 1.6934450123039653, 1.0, 0.0]			[2.5997797842948054, 2.3291883948850605, 2.7059138940974488, 1.0, 0.0]		[2.536515543434616, 2.368381947136485, 1.681335962981311, 1.0, 0.0]	[2.53654560682642, 2.3680795924684466, 1.6846601435797355, 1.0, 0.0]	[2.53757011037687, 2.366838286827113, 1.7073182354975658, 1.0, 0.0]	
17000	[2.536513712641226, 2.3678247885525754, 1.686889240886503, 1.0, 0.0]	[2.5359999404982574, 2.3664030414452837, 1.6959689905297348, 1.0, 0.0]			[2.5997856379777327, 2.329106719012672, 2.706789189650608, 1.0, 0.0]		[2.5365290015220463, 2.368284037403019, 1.682449641190273, 1.0, 0.0]	[2.5365249455685706, 2.3680045553960483, 1.6852039017252225, 1.0, 0.0]	[2.537554657295389, 2.3667685268505823, 1.707861304448068, 1.0, 0.0]	
18000	[2.5365148922030585, 2.367766142581687, 1.6874874962137167, 1.0, 0.0]	[2.535825249109173, 2.366339278675312, 1.6948597043386084, 1.0, 0.0]			[2.599773745233049, 2.329044474923339, 2.7072927030971012, 1.0, 0.0]		[2.5365376454941577, 2.3681950362815383, 1.6834260921261934, 1.0, 0.0]	[2.5365847016373437, 2.3679506972512927, 1.6863400438605105, 1.0, 0.0]	[2.537526429280784, 2.366706370901119, 1.7082005837966503, 1.0, 0.0]	
19000	[2.536517354888689, 2.3677286244307676, 1.6878873045792155, 1.0, 0.0]	[2.535871428958815, 2.366394309393959, 1.6947711956485598, 1.0, 0.0]			[2.5997572238376607, 2.3289949783336463, 2.7076224550401435, 1.0, 0.0]		[2.5365685159492033, 2.3681214556599692, 1.6844706028923393, 1.0, 0.0]	[2.536542361690659, 2.3679074895981533, 1.6863487209250567, 1.0, 0.0]	[2.5375186733330657, 2.366674000264083, 1.708446730689825, 1.0, 0.0]	
20000	[2.5365054672005924, 2.367693960391018, 1.688115068095747, 1.0, 0.0]	[2.535724843392106, 2.3663296629430515, 1.6939518044905473, 1.0, 0.0]			[2.5999469625233402, 2.328924834116172, 2.7102212840716815, 1.0, 0.0]		[2.5365934662896237, 2.368066713798356, 1.6852675249126747, 1.0, 0.0]	[2.5365516815898093, 2.367876701275231, 1.6867498031457822, 1.0, 0.0]	[2.5375705107735915, 2.3666577966297537, 1.7091271414383775, 1.0, 0.0]	
