Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S
BRCA_TCGA-A2-A3XX	0	6	5	4	1	0	2	0	3	1	2	2	3	2	2	17	0	0	2
BRCA_TCGA-A2-A3XZ	0	6	1	5	0	2	0	0	4	0	2	1	0	19	4	6	0	0	2
BRCA_TCGA-A2-A3Y0	4	6	9	4	1	5	0	3	10	17	13	23	7	47	0	87	5	2	0
BRCA_TCGA-A2-A4S1	7	3	6	0	6	18	0	1	0	4	1	0	1	6	2	28	2	9	4
BRCA_TCGA-A2-A4S2	0	4	3	0	0	2	0	0	4	3	2	2	0	4	4	4	1	6	4
BRCA_TCGA-A2-A4S3	4	13	4	2	6	0	2	0	5	5	5	7	3	13	6	17	0	3	12
BRCA_TCGA-A7-A0CE	1	2	3	1	0	0	0	1	4	3	3	1	6	2	9	16	0	1	8
BRCA_TCGA-A7-A0CH	0	0	0	1	0	5	0	0	0	0	2	4	0	0	2	2	0	0	1
BRCA_TCGA-A7-A0D9	0	1	1	0	0	0	0	0	0	0	0	1	0	2	6	0	1	0	0
BRCA_TCGA-A7-A0DA	2	2	4	5	2	12	3	1	9	0	8	8	10	14	4	83	7	8	5
BRCA_TCGA-A7-A0DB	1	7	2	2	1	2	2	0	1	2	1	0	0	14	7	6	3	1	1
BRCA_TCGA-A7-A13D	0	8	3	3	0	7	4	1	10	2	5	9	7	14	6	60	0	1	0
BRCA_TCGA-A7-A13E	0	27	7	2	5	0	0	3	4	0	3	0	0	4	4	14	0	7	0
BRCA_TCGA-A7-A13F	2	5	4	5	0	10	0	0	5	1	2	2	0	3	2	2	0	2	0
BRCA_TCGA-A7-A13G	1	1	4	0	0	4	0	0	4	0	2	0	0	6	4	3	1	0	2
BRCA_TCGA-A7-A26E	0	11	1	9	3	3	0	1	2	0	2	0	1	10	15	5	2	2	0
BRCA_TCGA-A7-A26F	2	13	0	3	3	0	0	1	2	0	0	3	0	3	3	7	0	2	4
BRCA_TCGA-A7-A26G	2	0	3	2	0	8	1	2	5	1	0	2	2	14	3	13	0	1	9
BRCA_TCGA-A7-A26H	4	17	1	5	5	14	0	0	0	0	2	0	1	68	23	6	0	4	0
BRCA_TCGA-A7-A26I	1	3	1	2	2	4	0	0	1	1	3	5	0	5	5	8	0	1	4
BRCA_TCGA-A7-A26J	3	7	0	0	0	0	0	0	2	0	0	1	1	1	7	15	0	2	3
BRCA_TCGA-A7-A2KD	1	3	5	3	3	14	0	0	0	0	1	5	0	5	6	6	1	0	2
BRCA_TCGA-A7-A3RF	0	6	1	0	0	0	0	0	3	3	2	3	2	2	0	5	0	4	9
BRCA_TCGA-A7-A425	0	9	2	0	0	0	0	0	0	1	1	0	5	0	3	2	0	3	7
BRCA_TCGA-A7-A4SC	1	0	4	3	0	9	0	0	0	0	2	2	1	0	4	5	2	5	0
BRCA_TCGA-A7-A4SD	0	11	3	4	0	12	0	2	7	4	0	0	3	2	0	5	5	4	0
BRCA_TCGA-A7-A4SE	2	5	0	0	7	0	4	1	13	7	0	5	2	36	5	48	2	0	9
BRCA_TCGA-A7-A56D	9	14	10	14	0	6	0	1	12	0	1	3	0	74	49	22	1	0	9
BRCA_TCGA-A7-A5ZV	3	8	9	7	3	31	1	3	4	4	18	16	14	34	1	90	13	3	6
BRCA_TCGA-A7-A5ZW	1	5	1	3	2	0	0	0	1	2	5	0	1	13	0	0	0	2	0
BRCA_TCGA-A7-A5ZX	1	1	2	4	0	4	0	0	2	2	2	0	2	0	8	9	4	1	0
BRCA_TCGA-A7-A6VV	0	11	1	0	0	3	0	3	3	0	6	16	0	9	0	12	0	0	0
BRCA_TCGA-A7-A6VW	0	7	0	3	0	0	0	1	4	7	5	13	5	7	1	22	2	1	14
BRCA_TCGA-A7-A6VX	0	4	2	2	7	2	2	1	7	2	8	8	16	24	28	34	7	8	15
BRCA_TCGA-A7-A6VY	3	4	2	4	11	4	3	2	5	4	5	9	2	15	7	56	0	0	0
BRCA_TCGA-A8-A075	2	6	2	1	1	0	0	0	0	0	3	10	3	15	20	27	2	0	8
BRCA_TCGA-AC-A23C	5	3	7	4	0	4	0	0	11	8	4	1	0	37	26	16	2	2	15
BRCA_TCGA-AC-A23E	1	3	1	2	0	8	0	0	0	0	1	2	0	0	0	6	0	0	0
BRCA_TCGA-AC-A23H	122	0	28	302	0	0	0	12	80	0	0	0	0	4506	1085	0	1	242	0
BRCA_TCGA-AC-A2B8	1	7	0	7	3	3	0	0	4	0	1	0	0	60	31	3	0	8	0
BRCA_TCGA-AC-A2BK	0	3	12	4	2	17	0	2	2	5	4	7	4	3	0	37	0	8	0
BRCA_TCGA-AC-A2BM	0	1	2	1	4	3	0	0	1	0	0	1	0	2	0	1	4	2	4
BRCA_TCGA-AC-A2FB	0	2	1	0	0	0	0	0	0	2	1	4	0	1	4	0	0	0	2
BRCA_TCGA-AC-A2FF	0	1	0	0	0	0	0	0	0	0	0	0	2	2	5	1	0	0	0
BRCA_TCGA-AC-A2FG	0	7	0	2	0	0	0	0	4	1	1	0	2	5	5	1	0	1	10
BRCA_TCGA-AC-A2FK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
BRCA_TCGA-AC-A2FO	1	2	0	2	0	0	0	0	1	0	0	0	0	6	9	2	0	2	2
BRCA_TCGA-AC-A2QH	1	6	4	0	0	0	0	1	4	1	0	0	1	4	0	2	0	2	1
BRCA_TCGA-AC-A3HN	0	1	3	1	1	1	0	0	0	2	0	0	0	2	1	3	2	0	5
BRCA_TCGA-AC-A3OD	2	2	4	4	0	0	0	1	4	1	0	5	1	3	6	0	0	0	6
BRCA_TCGA-AC-A3QP	0	1	1	3	0	2	0	0	2	2	5	3	0	1	0	6	0	4	5
BRCA_TCGA-AC-A3QQ	1	3	4	0	4	5	0	0	0	0	0	6	0	1	3	2	2	0	5
BRCA_TCGA-AC-A3W5	1	6	8	7	10	0	0	1	6	0	5	22	0	54	9	69	6	2	5
BRCA_TCGA-AC-A3YI	0	0	2	2	0	3	0	0	0	2	1	2	0	0	1	3	0	2	0
BRCA_TCGA-AC-A3YJ	1	5	4	1	0	4	0	0	0	2	1	8	0	2	6	1	0	0	3
BRCA_TCGA-AC-A4ZE	0	8	4	2	11	0	0	1	0	0	7	1	1	3	8	17	0	8	3
BRCA_TCGA-AC-A5EH	7	2	3	5	6	21	2	3	11	0	14	11	11	20	10	55	6	13	5
BRCA_TCGA-AC-A5EI	0	7	1	3	0	0	0	0	0	2	2	3	0	4	11	4	0	2	4
BRCA_TCGA-AC-A5XS	16	3	1	55	0	2	2	2	2	0	0	0	0	401	203	20	0	8	0
BRCA_TCGA-AC-A5XU	1	18	14	3	0	14	2	3	5	3	0	0	0	7	23	6	0	12	2
BRCA_TCGA-AC-A62V	5	9	20	4	0	16	0	0	7	0	1	8	1	7	5	23	0	0	0
BRCA_TCGA-AC-A62X	5	18	12	2	0	19	0	1	0	4	1	5	0	3	3	8	2	4	0
BRCA_TCGA-AC-A62Y	0	12	2	2	1	0	0	1	4	2	5	2	5	24	9	12	2	0	6
BRCA_TCGA-AC-A6IV	0	2	0	4	2	3	0	1	1	0	1	5	0	0	0	0	0	1	7
BRCA_TCGA-AC-A6IW	0	6	12	6	2	17	1	1	5	0	6	25	0	80	15	32	4	9	10
BRCA_TCGA-AC-A6IX	0	7	3	1	6	0	0	0	0	1	6	4	0	19	20	0	0	1	3
BRCA_TCGA-AC-A6NO	0	10	1	2	13	0	0	0	0	0	4	0	0	1	5	1	0	6	0
BRCA_TCGA-AC-A7VB	0	8	4	1	6	0	0	0	0	0	3	7	0	0	0	0	0	6	0
BRCA_TCGA-AC-A7VC	0	6	1	3	3	1	0	0	2	1	1	2	0	0	0	5	0	1	0
BRCA_TCGA-AC-A8OP	10	21	12	13	0	17	6	14	18	8	8	6	16	20	11	54	2	4	4
BRCA_TCGA-AC-A8OQ	0	21	7	9	13	0	0	2	0	3	0	6	3	11	14	23	6	11	8
BRCA_TCGA-AC-A8OR	0	0	4	0	3	6	0	0	0	0	0	3	9	1	0	2	1	0	3
BRCA_TCGA-AC-A8OS	0	11	0	1	0	2	1	0	5	4	7	4	0	11	13	12	4	1	3
BRCA_TCGA-AN-A0XL	3	5	0	2	2	6	0	3	0	1	3	3	0	0	5	2	0	5	0
BRCA_TCGA-AN-A0XN	4	4	6	3	1	5	0	5	14	12	6	9	5	15	2	53	9	7	15
BRCA_TCGA-AN-A0XO	0	2	2	5	2	0	0	0	0	3	4	0	0	4	8	9	0	0	4
BRCA_TCGA-AN-A0XP	1	1	2	1	1	5	0	0	1	5	0	0	2	7	1	4	2	0	1
BRCA_TCGA-AN-A0XR	0	5	0	0	6	1	0	0	1	0	0	5	1	5	3	9	0	1	1
BRCA_TCGA-AN-A0XS	0	1	1	3	5	4	0	0	0	0	0	2	1	5	2	2	0	1	5
BRCA_TCGA-AN-A0XT	0	7	1	1	0	0	0	0	2	1	0	6	3	1	0	0	0	0	0
BRCA_TCGA-AN-A0XU	7	9	0	3	6	0	2	2	3	0	8	13	2	18	0	39	0	3	22
BRCA_TCGA-AN-A0XV	0	1	6	3	0	6	0	0	3	4	1	2	1	6	0	8	0	0	3
BRCA_TCGA-AN-A0XW	5	4	2	11	0	0	2	1	4	0	0	0	0	331	61	0	2	0	0
BRCA_TCGA-AO-A03M	19	9	0	59	0	0	0	0	0	0	2	0	0	869	192	0	0	0	0
BRCA_TCGA-AO-A03N	4	9	4	8	0	0	2	5	9	0	0	0	0	55	32	2	0	4	0
BRCA_TCGA-AO-A03U	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0
BRCA_TCGA-AO-A03V	2	7	0	4	8	0	2	0	0	0	1	5	3	12	13	4	2	9	0
BRCA_TCGA-AO-A0JG	2	0	0	0	2	0	0	1	0	1	1	0	0	0	3	5	2	0	4
BRCA_TCGA-AO-A124	5	8	4	5	0	4	2	0	13	1	12	13	3	5	7	61	5	22	8
BRCA_TCGA-AO-A125	1	5	2	4	0	7	0	3	4	0	1	6	0	3	1	4	0	0	4
BRCA_TCGA-AO-A126	0	8	0	2	0	0	0	0	1	0	2	0	1	2	1	3	0	2	3
BRCA_TCGA-AO-A128	4	227	130	35	122	74	0	109	66	107	270	0	6	25	14	0	21	0	0
BRCA_TCGA-AO-A129	2	10	3	1	0	0	2	6	6	5	9	3	8	29	7	38	6	5	4
BRCA_TCGA-AO-A12A	0	2	3	0	0	7	0	0	0	0	0	0	0	2	3	0	0	0	2
BRCA_TCGA-AO-A12B	0	6	1	0	0	3	2	1	0	0	0	0	0	1	1	4	0	0	4
BRCA_TCGA-AO-A12D	0	7	0	9	0	2	0	0	2	0	1	3	0	17	23	4	0	5	0
BRCA_TCGA-AO-A12E	0	5	4	2	0	4	0	0	2	0	1	1	0	1	4	6	0	0	3
BRCA_TCGA-AO-A12F	1	0	8	2	0	11	4	0	3	0	0	0	2	0	0	4	0	0	5
BRCA_TCGA-AO-A12G	0	13	0	0	1	0	0	0	5	6	0	0	0	5	5	4	0	1	2
BRCA_TCGA-AO-A12H	0	9	0	2	6	0	0	0	0	0	3	0	0	0	3	6	0	0	1
BRCA_TCGA-AO-A1KO	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	4	0	0	2
BRCA_TCGA-AO-A1KR	1	3	0	3	2	14	0	0	8	0	8	3	3	12	1	29	0	2	0
BRCA_TCGA-AO-A1KT	0	5	2	3	0	7	0	1	3	7	3	0	0	2	3	7	0	1	7
BRCA_TCGA-AQ-A04H	2	24	9	5	2	1	0	0	4	7	0	6	0	6	0	8	2	2	3
BRCA_TCGA-AQ-A0Y5	0	11	5	6	0	5	0	2	0	2	2	0	0	17	6	13	1	0	0
BRCA_TCGA-AQ-A1H2	0	7	2	3	0	0	0	0	3	1	2	0	0	1	2	4	2	3	4
BRCA_TCGA-AQ-A1H3	0	12	2	0	0	6	0	0	0	1	0	2	0	0	0	2	2	0	0
BRCA_TCGA-AQ-A54O	1	1	2	0	0	6	0	0	5	0	1	0	0	2	2	0	2	0	3
BRCA_TCGA-AQ-A7U7	0	4	4	8	4	0	0	0	4	0	2	0	0	43	16	0	2	5	4
BRCA_TCGA-AR-A0TP	0	3	0	1	1	0	0	2	6	2	6	1	7	6	2	26	2	3	3
BRCA_TCGA-AR-A0TQ	1	2	2	2	2	9	0	0	3	0	0	0	2	5	13	2	1	3	2
BRCA_TCGA-AR-A0TR	0	1	2	3	3	13	0	0	5	0	5	1	0	1	4	2	0	0	2
BRCA_TCGA-AR-A0TS	1	2	5	0	0	15	0	5	1	0	3	8	3	11	4	24	3	3	2
BRCA_TCGA-AR-A0TT	0	6	7	4	1	3	0	0	2	6	1	11	0	11	7	9	2	0	5
BRCA_TCGA-AR-A0TU	5	7	5	1	0	0	0	1	5	3	1	4	7	11	0	34	2	0	4
BRCA_TCGA-AR-A0TV	1	17	1	1	5	1	0	0	7	4	1	10	1	4	5	14	0	4	3
BRCA_TCGA-AR-A0TW	4	12	3	4	1	3	0	1	5	0	3	0	4	4	1	13	0	2	7
BRCA_TCGA-AR-A0TX	2	5	1	33	0	0	0	0	6	0	1	0	0	270	85	4	0	0	0
BRCA_TCGA-AR-A0TZ	3	6	3	8	0	0	2	0	5	0	2	0	3	19	4	2	0	4	6
BRCA_TCGA-AR-A0U0	3	0	2	2	1	7	2	0	5	0	0	6	0	10	1	6	2	3	0
BRCA_TCGA-AR-A0U1	2	0	2	0	2	9	0	1	0	8	8	3	6	12	3	35	2	6	10
BRCA_TCGA-AR-A0U2	0	6	9	2	4	2	0	1	3	0	2	4	3	0	1	6	0	5	8
BRCA_TCGA-AR-A0U3	2	2	8	3	0	3	0	1	5	1	0	2	0	0	4	6	0	1	2
BRCA_TCGA-AR-A0U4	9	0	4	4	0	14	1	3	9	5	3	13	0	51	4	61	4	12	4
BRCA_TCGA-AR-A1AH	8	5	7	1	11	0	0	5	0	12	2	5	3	9	0	28	4	17	3
BRCA_TCGA-AR-A1AI	1	8	5	7	1	0	0	2	8	5	1	14	0	18	4	7	0	2	6
BRCA_TCGA-AR-A1AJ	0	10	2	4	0	0	0	0	4	0	3	0	0	16	12	0	0	0	2
BRCA_TCGA-AR-A1AK	1	8	3	6	0	0	0	0	0	2	1	7	1	28	11	3	0	10	1
BRCA_TCGA-AR-A1AL	0	1	2	1	0	5	0	0	0	0	7	1	1	4	5	1	0	1	1
BRCA_TCGA-AR-A1AN	0	9	3	2	0	0	0	0	3	2	0	0	0	4	1	5	0	0	2
BRCA_TCGA-AR-A1AO	2	5	4	6	0	4	3	0	5	2	3	2	10	20	11	40	4	1	0
BRCA_TCGA-AR-A1AP	1	11	5	4	4	2	0	0	0	2	0	3	0	7	7	4	1	0	0
BRCA_TCGA-AR-A1AQ	0	0	3	1	0	13	0	0	8	0	5	0	0	2	2	7	0	0	0
BRCA_TCGA-AR-A1AR	2	4	6	0	0	5	0	0	0	2	0	8	2	9	1	9	4	3	8
BRCA_TCGA-AR-A1AS	1	0	5	3	1	0	0	0	5	1	0	0	0	7	11	4	0	0	3
BRCA_TCGA-AR-A1AT	0	0	2	1	0	11	2	0	2	0	2	2	1	2	0	7	0	0	0
BRCA_TCGA-AR-A1AU	0	7	2	0	0	0	0	0	0	2	2	0	0	0	5	6	1	1	0
BRCA_TCGA-AR-A1AV	1	9	7	3	0	0	2	0	0	0	4	2	0	0	9	6	0	5	1
BRCA_TCGA-AR-A1AW	1	1	3	0	6	10	2	0	0	0	4	4	0	2	2	3	0	0	3
BRCA_TCGA-AR-A1AX	0	3	2	4	0	0	0	0	3	0	2	3	0	0	6	4	0	2	3
BRCA_TCGA-AR-A1AY	1	13	1	3	3	3	0	0	4	0	7	5	2	8	8	10	0	3	1
BRCA_TCGA-AR-A24H	7	9	2	0	4	0	2	0	7	1	4	17	7	25	1	47	0	3	16
BRCA_TCGA-AR-A24K	0	4	0	2	0	0	0	3	6	4	0	3	0	0	0	10	0	2	0
BRCA_TCGA-AR-A24L	0	0	2	0	4	1	0	0	1	2	0	6	0	6	0	21	1	7	2
BRCA_TCGA-AR-A24M	0	2	2	0	2	0	0	1	0	0	5	0	4	1	0	1	0	6	1
BRCA_TCGA-AR-A24N	0	7	3	1	3	5	0	2	3	2	0	4	0	3	7	3	1	3	0
BRCA_TCGA-AR-A24O	1	7	0	0	2	3	0	0	2	0	1	1	1	1	0	3	0	0	0
BRCA_TCGA-AR-A24P	0	2	2	3	0	0	0	0	2	1	0	2	3	0	0	1	0	0	3
BRCA_TCGA-AR-A24Q	4	0	5	3	3	5	5	4	21	4	7	7	14	27	19	76	2	11	15
BRCA_TCGA-AR-A24R	0	4	3	1	0	3	0	2	1	0	4	5	0	1	0	2	0	0	0
BRCA_TCGA-AR-A24S	1	11	3	2	1	1	0	1	0	8	0	4	2	7	6	6	0	0	4
BRCA_TCGA-AR-A24T	0	6	1	2	0	4	0	0	0	0	1	2	0	2	1	1	0	4	0
BRCA_TCGA-AR-A24U	0	4	4	3	0	0	0	0	2	0	0	0	2	13	9	0	0	4	3
BRCA_TCGA-AR-A24V	0	1	3	3	0	8	0	0	0	0	2	0	0	4	1	2	0	2	2
BRCA_TCGA-AR-A24W	0	0	1	1	0	0	0	0	4	0	0	3	0	0	2	0	0	1	2
BRCA_TCGA-AR-A24X	0	4	3	4	2	0	0	0	0	1	4	1	2	0	1	5	2	4	1
BRCA_TCGA-AR-A24Z	0	4	3	2	0	10	0	0	7	0	2	1	1	4	3	14	0	3	2
BRCA_TCGA-AR-A250	5	14	8	13	1	10	0	3	4	1	1	13	4	59	3	16	0	0	0
BRCA_TCGA-AR-A251	5	1	4	0	7	11	0	3	0	0	13	22	17	34	0	79	3	0	6
BRCA_TCGA-AR-A252	0	1	2	0	1	10	0	0	1	0	2	0	0	0	2	0	0	0	0
BRCA_TCGA-AR-A254	1	10	2	4	2	0	0	0	1	0	0	0	1	2	7	7	0	1	4
BRCA_TCGA-AR-A255	7	1	2	6	1	15	0	0	6	0	4	1	4	28	4	5	0	3	2
BRCA_TCGA-AR-A256	3	2	5	5	0	6	3	3	11	5	8	19	4	19	18	79	6	13	15
BRCA_TCGA-AR-A2LE	12	4	1	31	0	0	0	0	8	0	0	0	0	184	148	0	1	5	0
BRCA_TCGA-AR-A2LH	1	2	3	6	0	0	0	1	0	0	0	0	2	23	27	0	0	0	6
BRCA_TCGA-AR-A2LK	0	10	4	2	0	5	0	5	1	2	1	2	0	0	9	5	0	2	0
